"FIES_preocupacion_alimentos","FIES_no_alimentos_saludables","FIES_poca_variedad_alimentos","FIES_saltar_comida","FIES_comio_menos","FIES_sin_alimentos","FIES_hambre_sin_comer","FIES_no_comio_dia_entero","IPM_Total","IPC_Total","Pobreza_monetaria","Vida_general","Ingreso","FIES_leve_moderado","FIES_grave","FIES_moderada","departamento_num","tiempo","departamento","año","mes_num","mes","clave"
24.0180701002493,16.4699872459976,21.7383607583884,22.0974678636731,18.2320228232702,11.9118279844555,13.1155010777172,5.19065789884398,27.9,131.19,54.6,8.5,7.5,18.6,3.4,15.2,1,1,"Amazonas",2022,1,"enero","Amazonas_2022_enero"
31.0285595704923,26.955414801392,30.5174189091972,19.6326180236653,21.0027801148653,10.9277707798289,11.466793593719,3.03614292099989,10.7,133.56,48.7,8.2,7.1,20.9,3.3,17.6,2,1,"Antioquia",2022,1,"enero","Antioquia_2022_enero"
45.3209324735985,38.8186836071376,46.0007044209893,40.6561815740621,38.0878120299001,26.9808114866175,24.8816336057189,5.9297626274569,22.6,131.19,74.5,8,6.8,39.3,11,28.3,3,1,"Arauca",2022,1,"enero","Arauca_2022_enero"
55.1630310888315,48.790394631293,56.3433497785655,45.6265544854043,44.5773257135885,24.4554623054209,24.9919515861308,4.19873965769878,10.2,131.02,56.9,8,6.6,46.1,8.3,37.8,4,1,"Atlantico",2022,1,"enero","Atlantico_2022_enero"
31.1817577577583,33.6356200166701,37.2279654757188,23.8313150591941,26.0375720687522,14.6614620316439,13.5234436814724,2.38781486888154,3.8,133.78,32.3,7.8,6.6,25.4,4.2,21.2,5,1,"Bogotá",2022,1,"enero","Bogotá_2022_enero"
45.606240861578,33.9573958057547,43.088224846213,34.4832599472283,32.9311502778694,18.9663378272717,18.0479399371321,3.27746317617277,19.4,130.79,66.9,8.3,7.2,32.6,5.1,27.5,6,1,"Bolivar",2022,1,"enero","Bolivar_2022_enero"
26.1711229959776,28.1164040717748,28.9301376074068,21.6570933652853,20.7688487615023,9.77718650983221,12.057057309705,3.07521213650846,9.6,133.59,43.4,7.5,6,20.7,2.1,18.6,7,1,"Boyaca",2022,1,"enero","Boyaca_2022_enero"
21.5738712167282,21.7920902160893,20.5605087399749,17.2111577470179,14.7229844242894,8.45417135278594,10.9599714005603,2.68099091156222,10.5,135.02,33.4,8.4,7.3,14.6,2.5,12.1,8,1,"Caldas",2022,1,"enero","Caldas_2022_enero"
38.4014250280823,29.6351743771217,37.0743213268588,26.2057473923002,26.4349990929236,12.5268605219415,12.5824086188963,3.53804703853797,19.6,140.61,69.1,8.1,6.5,27.2,3.2,24,9,1,"Caqueta",2022,1,"enero","Caqueta_2022_enero"
33.5747954686943,33.9098246038369,36.3190565229546,28.4699442702951,26.7802235909579,14.319172176012,14.8249808151325,1.74692666463351,13.3,131.19,46.5,8.2,6.3,28.2,4.3,23.9,10,1,"Casanare",2022,1,"enero","Casanare_2022_enero"
32.3434953405528,30.4522894390056,33.6831120161665,20.3528454940077,21.6007583512132,9.67054748549379,11.5433879309035,3.65295666343252,18.3,144.34,58.3,7.5,5.9,22.3,2.8,19.5,11,1,"Cauca",2022,1,"enero","Cauca_2022_enero"
49.5875363144743,44.3007009148104,50.2066193176025,41.2542745883864,41.636295196829,24.4940505962946,24.4652675778098,6.20424638173988,19.1,133.86,70.5,7.9,6.3,41.1,9.4,31.7,12,1,"Cesar",2022,1,"enero","Cesar_2022_enero"
49.4364703285868,41.965481793795,49.454142802993,44.9261016971158,40.7420564731417,26.5820311340544,28.5281239848662,9.43807102314072,36.8,131.19,83.4,7.2,6.2,43.2,10.4,32.8,13,1,"Choco",2022,1,"enero","Choco_2022_enero"
25.9399710670371,29.9513332713359,31.7582076967769,21.20785191213,21.2247994115957,10.0189098705341,12.2386340224914,1.8487194638415,7.3,133.78,39.2,7.8,6.3,23,3.7,19.3,15,1,"Cordoba",2022,1,"enero","Cordoba_2022_enero"
46.9931346332796,39.1248660873162,46.544474535539,40.3292193095328,37.5691796028366,22.0206097024114,25.5345494176132,5.18912585242391,26.9,131.51,83.7,7.6,6.2,38.9,8.1,30.8,14,1,"Cundinamarca",2022,1,"enero","Cundinamarca_2022_enero"
34.4600516231296,27.4038624267784,34.5729980072666,33.4770748300204,28.9738202264981,14.5139932894096,19.9572430065626,12.5653617674015,46.5,131.19,53.3,7.7,6.9,29.8,4.4,25.4,16,1,"Guainia",2022,1,"enero","Guainia_2022_enero"
36.973341612776,36.3177895645185,40.704902868849,35.5366306980717,31.1135635422196,19.256383729079,19.6514968959953,2.80662752055494,26.9,131.19,55.9,7.8,5.9,30.4,6.2,24.2,18,1,"Huila",2022,1,"enero","Huila_2022_enero"
33.3234727356533,25.9033915132426,29.7466866047861,17.0613171022118,20.1228689533891,9.20317693024196,9.47858603734909,1.31035187929595,13.3,142.52,65.7,7.9,6.3,19,2.4,16.6,19,1,"Guajira",2022,1,"enero","Guajira_2022_enero"
64.5442837760211,56.2051152986929,63.754298653285,62.1663625509534,58.0344431644446,38.7780911220957,40.1323541244841,16.3909125560925,42.9,136.35,80.8,7.6,5.6,59.7,17.5,42.2,17,1,"Guaviare",2022,1,"enero","Guaviare_2022_enero"
51.4084536310744,45.8271123289778,54.7747297909171,43.6167468751644,44.3095261405652,26.5461635307059,25.3993387962336,7.58683937404105,23,131.46,71.6,7.9,6.5,45.3,10.4,34.9,20,1,"Magdalena",2022,1,"enero","Magdalena_2022_enero"
