"FIES_preocupacion_alimentos","FIES_no_alimentos_saludables","FIES_poca_variedad_alimentos","FIES_saltar_comida","FIES_comio_menos","FIES_sin_alimentos","FIES_hambre_sin_comer","FIES_no_comio_dia_entero","IPM_Total","IPC_Total","Pobreza_monetaria","Vida_general","Ingreso","FIES_leve_moderado","FIES_grave","FIES_moderada","departamento_num","tiempo"
23.4893809398981,18.3674333965566,23.6991706387441,23.9451653689336,16.7306158671677,10.4243834349379,11.737823489005,7.70463996095751,27.9,131.19,54.6,8.5,7.5,18.6,3.4,15.2,1,1
26.6973630600676,24.4537870050428,28.075567609564,18.5010788879359,20.8061046989383,9.10773988057698,11.8940162077312,3.44240228659695,10.7,133.56,48.7,8.2,7.1,20.9,3.3,17.6,2,1
39.3241687053499,39.8207882221677,46.475363628519,40.5810802784354,37.4355165347734,28.3181330650258,25.6817241241412,1.667018706958,22.6,131.19,74.5,8,6.8,39.3,11,28.3,3,1
55.3904607119564,47.109251826788,56.9919515865061,46.0567850735958,45.1318456959853,22.7781362573216,24.3398464471045,3.4356984835849,10.2,131.02,56.9,8,6.6,46.1,8.3,37.8,4,1
35.4044156262835,33.2958274579042,34.2421682543011,22.1038697080152,26.8413300823062,14.3677050871807,13.1269220742639,3.14054085731915,3.8,133.78,32.3,7.8,6.6,25.4,4.2,21.2,5,1
44.3244947490604,29.4864599715468,41.7435779516629,35.1521408966821,31.1913003999701,17.2069558607278,18.8820695044915,2.35839946637268,19.4,130.79,66.9,8.3,7.2,32.6,5.1,27.5,6,1
13.4108504880765,19.9435074654722,24.6681890298686,26.7295503781215,22.7538709634303,13.0528402494097,12.1735580438875,0.88566252878687,9.6,133.59,43.4,7.5,6,20.7,2.1,18.6,7,1
29.5227756830286,27.0353259658273,24.6546324270918,15.2017280876194,13.7587992965713,6.06618655625104,8.49742506347097,1.1679155733796,10.5,135.02,33.4,8.4,7.3,14.6,2.5,12.1,8,1
39.8695307999502,33.8692812254072,41.6117337671697,23.6576110880503,29.4596789861061,10.2464959046912,13.9771032912126,4.87965463445969,19.6,140.61,69.1,8.1,6.5,27.2,3.2,24,9,1
36.6291470353125,36.3789031319555,37.1465130163227,24.979077070292,24.1189248250268,12.9854586110959,16.4890589339524,0.584746917629916,13.3,131.19,46.5,8.2,6.3,28.2,4.3,23.9,10,1
31.8351163897935,27.8025032205248,35.6881250234925,17.0160507424962,19.1693291337816,9.51806483521697,9.52397379493358,6.33634767963883,18.3,144.34,58.3,7.5,5.9,22.3,2.8,19.5,11,1
44.0115453441264,41.8137546642189,49.492662806249,42.3725322648475,38.8841177394766,27.7100524109061,23.5864821930137,3.90778119804767,19.1,133.86,70.5,7.9,6.3,41.1,9.4,31.7,12,1
49.9242667781425,43.2489598476832,51.3233226943191,44.7259602401231,40.7824068319597,23.6316244934,27.5979120837707,6.52292689577984,36.8,131.19,83.4,7.2,6.2,43.2,10.4,32.8,13,1
28.2963917762724,31.964429697592,32.4772589069202,22.093209685538,22.800953158823,11.3145304630918,16.6154796868957,1.71276890853594,7.3,133.78,39.2,7.8,6.3,23,3.7,19.3,15,1
44.3630839215065,36.3950204587208,47.6105368940798,37.1966868622117,35.1981716920914,19.6500597165943,25.266926049631,6.34203212182904,26.9,131.51,83.7,7.6,6.2,38.9,8.1,30.8,14,1
30.3829598720129,26.8190169920777,34.7736293812785,32.8238094859917,28.1245854457716,17.4504228620723,21.6211225883199,18.9749394055355,46.5,131.19,53.3,7.7,6.9,29.8,4.4,25.4,16,1
36.6177164683473,38.9650800455609,41.3936304273934,29.9494103822029,29.38039887868,20.0688150827787,22.622950143309,4.79519690789219,26.9,131.19,55.9,7.8,5.9,30.4,6.2,24.2,18,1
34.1932756357942,23.7546546709542,26.6807535604398,18.6888155549961,17.0905844094272,7.69050041803033,8.06851246643203,2.32014153771119,13.3,142.52,65.7,7.9,6.3,19,2.4,16.6,19,1
65.3154215067306,57.8169042396075,63.9399267414951,58.1413842455678,55.4428808513293,37.0805960911991,41.8188095057764,18.3432629479935,42.9,136.35,80.8,7.6,5.6,59.7,17.5,42.2,17,1
51.1602588433852,44.5384694726226,59.9576332687384,42.7882427368965,45.2036685022115,26.5527238434578,23.6439587485519,6.48709907078237,23,131.46,71.6,7.9,6.5,45.3,10.4,34.9,20,1
31.8688680861646,27.294208352501,34.803778329611,20.1416031257415,25.4477797463382,9.13160758776318,13.5297236945131,1.89174223930511,11.3,139.82,43.2,8.1,6.7,25.5,4.1,21.4,21,1
47.3933032888356,43.8869478429999,51.5276023333379,34.8113985684686,34.0375108082371,17.9282598253469,23.6985260122862,2.07523054519376,17.6,133.94,71.5,7.1,5.3,37.1,7.4,29.7,22,1
38.4199860080536,30.5154775042388,33.5404899658164,26.7789530071089,23.9802830162022,12.1210451351505,11.5497423289862,4.77668606207062,18.5,144.11,52.3,8.1,6.8,25.8,2.9,22.9,23,1
37.4292712001635,29.5176126432426,37.4751081963513,25.0049968519513,24.5252453994236,13.9470922381379,11.1704803500858,0.554269961044528,20.8,131.19,71.6,7.5,5.7,24.4,3,21.4,24,1
26.3829260351221,22.6100182715198,27.9177166294497,15.4777955787623,18.2776911198983,6.46824006495596,7.99528821401987,0.505340582772789,10,137.15,37.9,8.4,6.8,17.3,2.2,15.1,25,1
23.654175240532,27.1099864245011,24.0250840933871,17.5821511133562,20.6491505774784,10.7156199369788,10.7763125500793,2.34022251307543,10,136.99,30.5,8.4,7.3,17.5,2.5,15,26,1
33.2090764291382,29.8050442109233,33.3453017051191,18.172059203719,22.1730952381307,6.53205748577866,8.29616273535663,1.84303653561905,10.4,139.69,49.5,8.2,6.7,20.5,2.5,18,27,1
60.0422867446907,45.4104188367277,59.1948943035196,48.2207106747825,46.3363795762853,26.0226679468531,26.7983717549756,7.73299447119737,26,128.08,78.7,8.1,5.7,47.9,10.4,37.5,28,1
44.4019462819423,33.3458857865184,38.4210805222193,23.5119464043483,24.0074848541354,7.25415250668181,14.3436900402506,0.915382463893305,10.5,139.72,54,7.7,6.3,27.4,3.3,24.1,29,1
36.0909186678689,38.8081964826637,33.8946632429702,23.5104068216208,26.0170317776381,12.4793122796048,15.9587181643464,6.76047787966752,9.7,138.63,40.6,7.9,6.7,28,4.5,23.5,30,1
43.4478294470313,35.8286540375014,48.6239465347415,37.0551957230922,36.2225108610861,20.4921626096011,22.4654286816757,12.738287193587,47.1,131.19,66.5,7.3,6,36.5,8.7,27.8,31,1
34.8271106483399,24.8897756868916,37.2546749458994,34.8122350465089,28.8117196600832,20.6727112776676,29.7129085341299,18.9636845552105,75.4,131.19,85.8,7.5,6.8,30.7,9.2,21.5,32,1
