"departamento","año","mes","fecha","Analfabetismo","Bajo_logro_educativo","Barreras_acceso_salud","Desempleo_larga_duracion","Inasistencia_escolar","Rezago_escolar","Sin_aseguramiento_salud","Trabajo_informal","IPM_Total","Vida_general","Salud","Seguridad","Trabajo_actividad","Tiempo_libre","Ingreso","Propia_totalmente_pagada","Propia_la_estan_pagando","En_arriendo_o_subarriendo","Con_permiso_sin_pago","Posesion_sin_titulo","Propiedad_colectiva","Deficit_cuantitativo","Deficit_cualitativo","Deficit_habitacional","No_alcanzan_gastos_minimos","Alcanzan_gastos_minimos","Cubren_mas_gastos_minimos","Pobreza_monetaria","No_pobres","Energia","Gas_natural","Acueducto","Alcantarillado","Recoleccion_basura","Telefono_fijo","Ningun_servicio","precipitacion_promedio","temperatura_promedio","ndvi_promedio","IPC_Total","FIES_preocupacion_alimentos","FIES_no_alimentos_saludables","FIES_poca_variedad_alimentos","FIES_saltar_comida","FIES_comio_menos","FIES_sin_alimentos","FIES_hambre_sin_comer","FIES_no_comio_dia_entero","FIES_moderado_grave","FIES_grave","clave"
"Cauca",2022,"enero","2022-01-01",9.5,59.9,3.1,14.7,2.8,22.5,5.3,88.9,18.3,7.5,7.3,6.8,6.6,6.7,5.9,37.4,1.8,19.9,23.3,9.3,8.4,12.4,37.8,50.2,50.6,46.4,3,58.3,41.7,97.3,26.5,74.8,40.5,42.6,4.8,2.3,7.30094004043449,17.6160007555827,0.617342525687227,144.34,32.3434953405528,30.4522894390056,33.6831120161665,20.3528454940077,21.6007583512132,9.67054748549379,11.5433879309035,3.65295666343252,22.3,2.8,"Cauca_2022_enero"
"Cesar",2022,"enero","2022-01-01",14,45.5,0.4,9.9,4.4,32.9,9.8,84.6,19.1,7.9,7.8,6.7,6.7,7.1,6.3,31.7,1.8,38,18.4,5.9,4.1,7.9,38.6,46.5,65.4,31.5,3.1,70.5,29.5,98.2,68.5,87.8,74.1,78.1,9.3,1.6,0.417952490681804,27.2011643200314,0.618965931951376,133.86,49.5875363144743,44.3007009148104,50.2066193176025,41.2542745883864,41.636295196829,24.4940505962946,24.4652675778098,6.20424638173988,41.1,9.4,"Cesar_2022_enero"
"Choco",2022,"enero","2022-01-01",21.9,58.9,2.2,19.4,4,35.8,3.5,92.1,36.8,7.2,7.2,6.4,6.2,6.7,6.2,61,0.6,19.3,16.7,1.4,1,43.5,40.8,84.3,68.3,29.4,2.2,83.4,16.6,91.4,0,41.1,21.8,50.9,1.7,8.1,4.19487330708642,25.0104240291304,0.60243680011182,131.19,49.4364703285868,41.965481793795,49.454142802993,44.9261016971158,40.7420564731417,26.5820311340544,28.5281239848662,9.43807102314072,43.2,10.4,"Choco_2022_enero"
"Cundinamarca",2022,"enero","2022-01-01",4.2,38.1,2.3,15.4,2,24.1,8.9,67,7.3,7.8,7.5,6.9,6.7,6.9,6.3,28.2,9.9,47.4,11.3,1.6,1.6,2.3,16,18.3,47.1,48.6,4.3,39.2,60.8,99.7,77.4,96.2,80,87.1,11.9,0.1,1.87090405105151,18.2878790807159,0.642120161035712,133.78,46.9931346332796,39.1248660873162,46.544474535539,40.3292193095328,37.5691796028366,22.0206097024114,25.5345494176132,5.18912585242391,23,3.7,"Cundinamarca_2022_enero"
"Cordoba",2022,"enero","2022-01-01",18.1,55.6,1.3,16.2,2,26.5,3.1,89.8,26.9,7.6,7.7,7.5,6.9,7.2,6.2,40,1,19.6,19.9,18.7,0.8,21.3,39.3,60.6,66.2,31.5,2.2,83.7,16.3,99.7,49,71,43.1,55.9,3.6,0.2,0.399865077600004,27.3685187743466,0.646569710869136,131.51,25.9399710670371,29.9513332713359,31.7582076967769,21.20785191213,21.2247994115957,10.0189098705341,12.2386340224914,1.8487194638415,38.9,8.1,"Cordoba_2022_enero"
"Guainia",2022,"enero","2022-01-01",14,67,0.2,7.9,8.9,38,12.7,91.2,46.5,7.7,7.6,7.3,7,7.3,6.9,16.9,0.6,18.2,6.7,6.4,51.2,56.2,30.8,87,46,49.6,4.4,53.3,46.7,76.5,0,24.4,26.5,37.6,0.1,22.1,2.66820553400705,26.9037921128738,0.66503315011387,131.19,34.4600516231296,27.4038624267784,34.5729980072666,33.4770748300204,28.9738202264981,14.5139932894096,19.9572430065626,12.5653617674015,29.8,4.4,"Guainia_2022_enero"
"Guaviare",2022,"enero","2022-01-01",10,57.7,5.5,9.9,4.5,26.8,13.2,86.5,26.9,7.8,7.4,7.4,6.9,7.1,5.9,36,3,32.3,21.9,5.1,1.7,47.9,19.2,67,58.3,39.9,1.8,55.9,44.1,93,15.9,50.9,47.3,60.4,0.3,6.4,0.806566881674036,27.2685750395517,0.683900459111769,131.19,64.5442837760211,56.2051152986929,63.754298653285,62.1663625509534,58.0344431644446,38.7780911220957,40.1323541244841,16.3909125560925,30.4,6.2,"Guaviare_2022_enero"
"Huila",2022,"enero","2022-01-01",8.8,55.3,2.8,12.3,3.9,27.1,4,84,13.3,7.9,7.8,7.3,7,7.3,6.3,39.8,3.5,32.6,19.2,3,1.8,4.3,27.4,31.8,52.6,44.2,3.2,65.7,34.3,99.6,65.8,87.8,67.4,69.2,7.4,0.3,4.05846179799454,19.5426189954005,0.662495905001206,142.52,36.973341612776,36.3177895645185,40.704902868849,35.5366306980717,31.1135635422196,19.256383729079,19.6514968959953,2.80662752055494,19,2.4,"Huila_2022_enero"
"Guajira",2022,"enero","2022-01-01",23.2,56.5,0.9,8.4,5.1,38.3,13.8,90.6,42.9,7.6,7.7,7.2,6.3,7.1,5.6,21.6,0.5,24.6,18.1,13.9,21.3,8.7,48.9,57.6,71.1,27.4,1.5,80.8,19.2,68.4,40.7,49.7,41.6,53.4,2,31.4,0.177140098278855,26.3936321529475,0.446769531320166,136.35,33.3234727356533,25.9033915132426,29.7466866047861,17.0613171022118,20.1228689533891,9.20317693024196,9.47858603734909,1.31035187929595,59.7,17.5,"Guajira_2022_enero"
"Magdalena",2022,"enero","2022-01-01",15.5,48.9,0.5,12.6,3.2,33.4,7.4,87.2,23,7.9,7.8,7.3,6.7,7.2,6.5,39.7,0.8,26.1,20,11.9,1.5,10.3,51.6,61.9,54,43.7,2.3,71.6,28.4,98.7,66.3,85.4,51.5,75.7,3.4,1,0.307938920261521,28.5365997059635,0.581336591900691,131.46,51.4084536310744,45.8271123289778,54.7747297909171,43.6167468751644,44.3095261405652,26.5461635307059,25.3993387962336,7.58683937404105,45.3,10.4,"Magdalena_2022_enero"
