"FIES_preocupacion_alimentos","FIES_no_alimentos_saludables","FIES_poca_variedad_alimentos","FIES_saltar_comida","FIES_comio_menos","FIES_sin_alimentos","FIES_hambre_sin_comer","FIES_no_comio_dia_entero","IPM_Total","IPC_Total","Pobreza_monetaria","Vida_general","Ingreso","FIES_leve_moderado","FIES_grave","FIES_moderada","departamento_num","tiempo"
12.6237744083086,14.9093652743624,19.0438258795336,26.7001899038987,16.6016226519268,10.7163591319748,14.3423197817113,5.28060046946926,27.9,131.19,54.6,8.5,7.5,18.6,3.4,15.2,1,1
32.0944151535252,24.7776046688338,30.5682741562663,21.815481767529,22.3747188505,11.5554909230206,9.89889265469126,2.40962600281289,10.7,133.56,48.7,8.2,7.1,20.9,3.3,17.6,2,1
49.087143212705,39.6911687637963,46.2371308733143,41.4871100944535,38.8431754937414,25.329487009747,21.8390154933634,3.17685507713776,22.6,131.19,74.5,8,6.8,39.3,11,28.3,3,1
51.6191061944023,56.2757630222022,58.3110125318792,42.5733808773794,43.3965745983715,24.2330440030078,26.8759337292763,8.24382771871835,10.2,131.02,56.9,8,6.6,46.1,8.3,37.8,4,1
28.5258117785,33.037006742239,38.5815358202185,27.4153453550181,26.2810218700642,13.6933942925133,12.8395097500616,0.724205377685476,3.8,133.78,32.3,7.8,6.6,25.4,4.2,21.2,5,1
43.5173199057975,36.0217475887544,43.5096254425684,35.7741312171027,33.8123631254591,18.4324159147157,18.6800563061928,4.12768123530463,19.4,130.79,66.9,8.3,7.2,32.6,5.1,27.5,6,1
30.6162316686974,35.6515729794451,28.3458811569303,24.9327223442986,16.3691087180005,8.55226741528216,10.3932207961754,7.16476110774611,9.6,133.59,43.4,7.5,6,20.7,2.1,18.6,7,1
24.9000585483254,24.5056677344791,17.8296797487038,11.8384967330763,10.8385526060142,5.99943586933903,11.5614400707904,7.19087738933365,10.5,135.02,33.4,8.4,7.3,14.6,2.5,12.1,8,1
39.6620911124914,25.8665305285273,34.5250133814193,24.963204530621,24.4079494748557,12.7842979714831,10.544374156577,2.45014562145103,19.6,140.61,69.1,8.1,6.5,27.2,3.2,24,9,1
33.8935644783443,35.2262724924829,38.5565024004257,25.2374417530703,26.302574872261,9.06526600788163,12.5974926499383,2.89368351551375,13.3,131.19,46.5,8.2,6.3,28.2,4.3,23.9,10,1
35.8161320850542,32.759069336292,31.7803415403391,18.7795913584966,24.6389621910642,5.01637332622267,14.5161185552006,4.6555499157456,18.3,144.34,58.3,7.5,5.9,22.3,2.8,19.5,11,1
53.4856843431771,51.5323074504936,48.9166551451604,37.6317734386282,41.3396855338607,23.1424169773631,23.1971505050428,8.96927004274893,19.1,133.86,70.5,7.9,6.3,41.1,9.4,31.7,12,1
48.2399637908268,45.2501516479938,50.1760236675748,43.1769818993006,38.4637581720404,23.1863380030172,30.5205104965787,12.2974834864851,36.8,131.19,83.4,7.2,6.2,43.2,10.4,32.8,13,1
21.1340358880086,31.4389077743914,28.8726118854694,19.7250491088314,19.6341610821069,7.38103446061555,11.8249098421763,1.89224782437499,7.3,133.78,39.2,7.8,6.3,23,3.7,19.3,15,1
43.0054397428928,45.1253591238878,48.3619729511219,40.5770306278605,37.0137806931125,21.9332688349558,25.4579946189524,4.04683226501044,26.9,131.51,83.7,7.6,6.2,38.9,8.1,30.8,14,1
36.2208508209103,28.4771732408164,34.28552575553,32.6311629780512,29.238359367602,13.5769581046797,18.9154350093691,12.6438078344498,46.5,131.19,53.3,7.7,6.9,29.8,4.4,25.4,16,1
41.5873585513036,39.4515985161769,42.2808180015586,34.5013275957272,31.7946476439544,17.1478907656171,20.5625658026295,0.0983708361214521,26.9,131.19,55.9,7.8,5.9,30.4,6.2,24.2,18,1
33.9578863098081,29.3574768773416,34.3602939104724,12.3261460154495,19.1142130355259,7.25115593773903,9.51416641674776,1.75944346347464,13.3,142.52,65.7,7.9,6.3,19,2.4,16.6,19,1
61.4870983876685,57.7408254246236,66.3583774369754,63.4111246763041,59.165257377237,37.7924786893772,39.0727677538061,15.7618235888129,42.9,136.35,80.8,7.6,5.6,59.7,17.5,42.2,17,1
50.5200424269276,43.267977681655,50.8804955913812,46.0742875198415,47.2271622582075,26.8526017408937,24.1939393396241,3.4439330726575,23,131.46,71.6,7.9,6.5,45.3,10.4,34.9,20,1
34.0794514602315,30.1797607567409,31.008960040608,25.3129833950409,21.6391189360481,13.9656386559396,16.4026193447171,3.8856540393323,11.3,139.82,43.2,8.1,6.7,25.5,4.1,21.4,21,1
54.4504905079123,45.3348997906666,53.103175804447,36.8825243516959,35.718477551973,21.4651875006832,18.7660227399045,0.370545319047516,17.6,133.94,71.5,7.1,5.3,37.1,7.4,29.7,22,1
34.4277676863759,28.205120812358,33.3886285791954,27.0239659724563,24.9198999252953,10.4835733440116,12.3439952276883,6.69190345319376,18.5,144.11,52.3,8.1,6.8,25.8,2.9,22.9,23,1
36.0962801023429,34.021488457283,38.4488637798325,27.0734817749581,23.4691954645092,12.5674868851558,10.987595869137,0.805879530938911,20.8,131.19,71.6,7.5,5.7,24.4,3,21.4,24,1
