"FIES_preocupacion_alimentos","FIES_no_alimentos_saludables","FIES_poca_variedad_alimentos","FIES_saltar_comida","FIES_comio_menos","FIES_sin_alimentos","FIES_hambre_sin_comer","FIES_no_comio_dia_entero","IPM_Total","IPC_Total","Pobreza_monetaria","Vida_general","Ingreso","FIES_leve_moderado","FIES_grave","FIES_moderada","departamento_num","tiempo"
27.6723569323406,14.5335635174451,20.8454256961859,21.9854632049062,21.5020122093822,15.1341584839722,15.6244670096711,3.82682468640473,27.9,131.19,54.6,8.5,7.5,18.6,3.4,15.2,1,1
34.9979747397498,27.3366836368082,30.006043347619,17.4325434849145,18.8344044989427,13.8601396661051,12.18220275597,3.64565281154826,10.7,133.56,48.7,8.2,7.1,20.9,3.3,17.6,2,1
45.0751007521113,34.75166930134,45.7701742377387,41.5190151421441,37.6411706291778,28.8233482768684,27.1512663040588,8.09866411731632,22.6,131.19,74.5,8,6.8,39.3,11,28.3,3,1
56.4848318563882,48.8805456924212,54.627867276617,47.1666797991165,45.0865910353702,25.1459735531266,24.5049956386522,2.63870526244954,10.2,131.02,56.9,8,6.6,46.1,8.3,37.8,4,1
24.2745579116362,34.2275624908535,37.4768901270071,24.7820590195312,28.5785544903556,15.1290039430276,14.1361693144495,1.50902189202932,3.8,133.78,32.3,7.8,6.6,25.4,4.2,21.2,5,1
45.0881038525139,31.4227253943465,40.0644123641847,35.8639434190365,32.6066845798954,20.9454431618129,16.5061800954243,5.71950221329639,19.4,130.79,66.9,8.3,7.2,32.6,5.1,27.5,6,1
21.8880047723081,30.2081857931227,27.7180056362296,16.5521135168921,18.3261677122033,9.29170441408488,12.5532027860737,3.74898254817813,9.6,133.59,43.4,7.5,6,20.7,2.1,18.6,7,1
17.1204283362862,20.7642335566621,18.5771270546335,19.4925236351707,15.1071825588462,7.47448449720449,13.4065349527861,0.38512048748806,10.5,135.02,33.4,8.4,7.3,14.6,2.5,12.1,8,1
42.9290033390412,31.1747383918231,35.0395323478845,29.6183072507161,24.5995317786492,13.5674270438996,11.6460212361056,4.14657949979491,19.6,140.61,69.1,8.1,6.5,27.2,3.2,24,9,1
35.7868459176298,32.4172961514064,36.9116017375781,32.3638109010025,27.4345100457834,17.5621334131538,12.4022675137742,2.97160005316339,13.3,131.19,46.5,8.2,6.3,28.2,4.3,23.9,10,1
30.9833645072408,25.2949465372638,27.0417813876552,27.0668264399878,19.730036098481,11.1796492500748,12.6304661117197,2.90053166669406,18.3,144.34,58.3,7.5,5.9,22.3,2.8,19.5,11,1
49.7350323423169,39.3904228294078,52.1947200305945,41.6830587812991,41.9650828181463,27.8302998851575,24.8729767620251,3.85424119725363,19.1,133.86,70.5,7.9,6.3,41.1,9.4,31.7,12,1
52.0782459015592,41.0865820531523,45.9694817383722,43.7150231646635,38.6010429563497,27.1933352178811,28.8424583957784,15.4964870518167,36.8,131.19,83.4,7.2,6.2,43.2,10.4,32.8,13,1
23.0080307035785,26.7252174761438,34.3543425912813,23.7806292145565,21.3691544203654,12.2670307751094,12.2473170943262,2.11405021343703,7.3,133.78,39.2,7.8,6.3,23,3.7,19.3,15,1
43.3614271742593,34.0313773188506,40.9927744181016,45.7057033979131,38.1775144067421,24.5879154559132,26.1217529001246,5.10102589809715,26.9,131.51,83.7,7.6,6.2,38.9,8.1,30.8,14,1
35.3034799941295,27.6192165089177,37.0824370408289,35.4029559904879,33.1376707668613,16.0789833433964,18.4405654230007,6.10514355110084,46.5,131.19,53.3,7.7,6.9,29.8,4.4,25.4,16,1
33.628828713938,32.5677284619062,42.3415408718206,39.499403722632,32.6597070452627,20.9511918547172,17.6790952121436,0.186533887476914,26.9,131.19,55.9,7.8,5.9,30.4,6.2,24.2,18,1
36.0838233142697,25.9926696845421,32.9819049965028,16.2203923155676,22.7603414953276,10.3237854729434,7.09114646012457,1.0155912044729,13.3,142.52,65.7,7.9,6.3,19,2.4,16.6,19,1
59.6199401148027,53.227601237173,63.2881782029912,66.6181330711412,59.3280644079569,41.9607881802086,39.9458029729265,17.1148195757729,42.9,136.35,80.8,7.6,5.6,59.7,17.5,42.2,17,1
49.4191253567973,44.080531770226,51.4164551530602,44.1923606539595,44.9861962482437,29.8754921853292,26.2661561960635,5.27184813514861,23,131.46,71.6,7.9,6.5,45.3,10.4,34.9,20,1
40.5859716279258,32.2013759659331,33.1664681584617,25.126626398117,25.560270165461,12.7994607919203,14.7746541235813,9.15314470858242,11.3,139.82,43.2,8.1,6.7,25.5,4.1,21.4,21,1
