departamento,fecha,temperatura_media
Boyaca,2022-01-06,15.958867044247796
Caldas,2022-01-06,17.640698536431916
Caqueta,2022-01-06,25.73913029586664
Casanare,2022-01-06,27.901360224645483
Cauca,2022-01-06,17.21479627384602
Cesar,2022-01-06,25.87988809872864
Choco,2022-01-06,24.62903875649032
Cordoba,2022-01-06,26.63769729073514
Cundinamarca,2022-01-06,17.78599617546021
Guainia,2022-01-06,26.568796188731103
Guajira,2022-01-06,26.28728261342766
Guaviare,2022-01-06,26.927934063078705
Huila,2022-01-06,18.98277572996893
Magdalena,2022-01-06,27.563457072819705
Meta,2022-01-06,27.61670388958056
Narino,2022-01-06,18.36758459299256
Norte De Santander,2022-01-06,19.48874619128608
Putumayo,2022-01-06,24.716904014858542
Quindio,2022-01-06,16.597931322461683
Risaralda,2022-01-06,17.14164276014342
Santander,2022-01-06,20.806101770737627
Sucre,2022-01-06,27.33453019900025
Tolima,2022-01-06,20.74375650012558
Valle Del Cauca,2022-01-06,17.72549869142954
Vaupes,2022-01-06,26.024807678977467
Vichada,2022-01-06,28.74104323689461
Amazonas,2022-01-07,26.18675858679738
Antioquia,2022-01-07,20.73401571182604
Arauca,2022-01-07,27.283456149197004
Atlantico,2022-01-07,28.00857797903988
Bolivar,2022-01-07,26.097945059967778
Boyaca,2022-01-07,15.81720035054196
Caldas,2022-01-07,17.133023788197836
Caqueta,2022-01-07,26.21490064846337
Casanare,2022-01-07,28.289845906666685
Cauca,2022-01-07,17.642091939224535
Cesar,2022-01-07,26.244912196847988
Choco,2022-01-07,24.19559142676756
Cordoba,2022-01-07,26.617913279171624
Cundinamarca,2022-01-07,17.65456337721728
Guainia,2022-01-07,27.125995042368046
Guajira,2022-01-07,26.20747007523111
Guaviare,2022-01-07,27.50777895984223
Huila,2022-01-07,19.06478577439704
Magdalena,2022-01-07,27.6753309690992
Meta,2022-01-07,28.100746448495105
Narino,2022-01-07,18.02539692138488
Norte De Santander,2022-01-07,19.78937222380012
Putumayo,2022-01-07,24.77446340172165
Quindio,2022-01-07,17.429935809601304
Risaralda,2022-01-07,17.466001422182856
Santander,2022-01-07,20.78135647487414
Sucre,2022-01-07,27.238567314747115
Tolima,2022-01-07,21.251280027165464
Valle Del Cauca,2022-01-07,18.138657808263392
Vaupes,2022-01-07,26.13882830689322
Vichada,2022-01-07,29.454370394618177
Amazonas,2022-01-08,26.87284976052769
Antioquia,2022-01-08,21.03709712725756
Arauca,2022-01-08,27.58624639066094
Atlantico,2022-01-08,28.044021185256213
Bolivar,2022-01-08,26.49378119073957
Boyaca,2022-01-08,15.628208095316303
Caldas,2022-01-08,17.610396060963815
Caqueta,2022-01-08,26.67766766030024
Casanare,2022-01-08,28.39378142541634
Cauca,2022-01-08,17.864998223842207
Cesar,2022-01-08,26.54382580361025
Choco,2022-01-08,24.710415093978103
Cordoba,2022-01-08,26.72039065340085
Cundinamarca,2022-01-08,17.404213496505484
Guainia,2022-01-08,27.291890005854924
Guajira,2022-01-08,25.934366301807948
Guaviare,2022-01-08,27.86433997531526
Huila,2022-01-08,19.06866206718245
Magdalena,2022-01-08,28.05606790478574
Meta,2022-01-08,28.491826223444026
Narino,2022-01-08,18.45128289241236
Norte De Santander,2022-01-08,19.783552767921435
Putumayo,2022-01-08,25.81334940700469
Quindio,2022-01-08,16.82416100811911
Risaralda,2022-01-08,17.865501631903925
Santander,2022-01-08,20.78184786015401
Sucre,2022-01-08,27.597132588638843
Tolima,2022-01-08,21.01568434861873
Valle Del Cauca,2022-01-08,18.122990060958024
Vaupes,2022-01-08,26.602021152515583
Vichada,2022-01-08,29.52484245371864
Amazonas,2022-01-09,27.04325109871524
Antioquia,2022-01-09,21.25769939594445
Arauca,2022-01-09,27.42406125413692
Atlantico,2022-01-09,28.43703550375557
Bolivar,2022-01-09,26.7225887271544
