Departamento,Año,Mes,leve_moderado,grave,moderada,inseguridad_alimentaria
Caldas,2022,12,14.6,2.5,12.1,leve
Caquetá,2022,1,27.2,3.2,24.0,moderado
Caquetá,2022,2,27.2,3.2,24.0,moderado
Caquetá,2022,3,27.2,3.2,24.0,moderado
Caquetá,2022,4,27.2,3.2,24.0,moderado
Caquetá,2022,5,27.2,3.2,24.0,moderado
Caquetá,2022,6,27.2,3.2,24.0,moderado
Caquetá,2022,7,27.2,3.2,24.0,moderado
Caquetá,2022,8,27.2,3.2,24.0,moderado
Caquetá,2022,9,27.2,3.2,24.0,moderado
Caquetá,2022,10,27.2,3.2,24.0,moderado
Caquetá,2022,11,27.2,3.2,24.0,moderado
Caquetá,2022,12,27.2,3.2,24.0,moderado
Casanare,2022,1,28.2,4.3,23.9,moderado
Casanare,2022,2,28.2,4.3,23.9,moderado
Casanare,2022,3,28.2,4.3,23.9,moderado
Casanare,2022,4,28.2,4.3,23.9,moderado
Casanare,2022,5,28.2,4.3,23.9,moderado
Casanare,2022,6,28.2,4.3,23.9,moderado
Casanare,2022,7,28.2,4.3,23.9,moderado
Casanare,2022,8,28.2,4.3,23.9,moderado
Casanare,2022,9,28.2,4.3,23.9,moderado
Casanare,2022,10,28.2,4.3,23.9,moderado
Casanare,2022,11,28.2,4.3,23.9,moderado
Casanare,2022,12,28.2,4.3,23.9,moderado
Cauca,2022,1,22.3,2.8,19.5,moderado
Cauca,2022,2,22.3,2.8,19.5,moderado
Cauca,2022,3,22.3,2.8,19.5,moderado
Cauca,2022,4,22.3,2.8,19.5,moderado
Cauca,2022,5,22.3,2.8,19.5,moderado
Cauca,2022,6,22.3,2.8,19.5,moderado
Cauca,2022,7,22.3,2.8,19.5,moderado
Cauca,2022,8,22.3,2.8,19.5,moderado
Cauca,2022,9,22.3,2.8,19.5,moderado
Cauca,2022,10,22.3,2.8,19.5,moderado
Cauca,2022,11,22.3,2.8,19.5,moderado
Cauca,2022,12,22.3,2.8,19.5,moderado
Cesar,2022,1,41.1,9.4,31.700000000000003,severo
Cesar,2022,2,41.1,9.4,31.700000000000003,severo
Cesar,2022,3,41.1,9.4,31.700000000000003,severo
Cesar,2022,4,41.1,9.4,31.700000000000003,severo
Cesar,2022,5,41.1,9.4,31.700000000000003,severo
Cesar,2022,6,41.1,9.4,31.700000000000003,severo
Cesar,2022,7,41.1,9.4,31.700000000000003,severo
Cesar,2022,8,41.1,9.4,31.700000000000003,severo
Cesar,2022,9,41.1,9.4,31.700000000000003,severo
Cesar,2022,10,41.1,9.4,31.700000000000003,severo
Cesar,2022,11,41.1,9.4,31.700000000000003,severo
Cesar,2022,12,41.1,9.4,31.700000000000003,severo
Córdoba,2022,1,38.9,8.1,30.799999999999997,severo
Córdoba,2022,2,38.9,8.1,30.799999999999997,severo
Córdoba,2022,3,38.9,8.1,30.799999999999997,severo
Córdoba,2022,4,38.9,8.1,30.799999999999997,severo
Córdoba,2022,5,38.9,8.1,30.799999999999997,severo
Córdoba,2022,6,38.9,8.1,30.799999999999997,severo
Córdoba,2022,7,38.9,8.1,30.799999999999997,severo
Córdoba,2022,8,38.9,8.1,30.799999999999997,severo
Córdoba,2022,9,38.9,8.1,30.799999999999997,severo
Córdoba,2022,10,38.9,8.1,30.799999999999997,severo
Córdoba,2022,11,38.9,8.1,30.799999999999997,severo
Córdoba,2022,12,38.9,8.1,30.799999999999997,severo
Cundinamarca,2022,1,23.0,3.7,19.3,moderado
Cundinamarca,2022,2,23.0,3.7,19.3,moderado
Cundinamarca,2022,3,23.0,3.7,19.3,moderado
Cundinamarca,2022,4,23.0,3.7,19.3,moderado
Cundinamarca,2022,5,23.0,3.7,19.3,moderado
Cundinamarca,2022,6,23.0,3.7,19.3,moderado
Cundinamarca,2022,7,23.0,3.7,19.3,moderado
Cundinamarca,2022,8,23.0,3.7,19.3,moderado
Cundinamarca,2022,9,23.0,3.7,19.3,moderado
Cundinamarca,2022,10,23.0,3.7,19.3,moderado
Cundinamarca,2022,11,23.0,3.7,19.3,moderado
Cundinamarca,2022,12,23.0,3.7,19.3,moderado
Chocó,2022,1,43.2,10.4,32.800000000000004,severo
Chocó,2022,2,43.2,10.4,32.800000000000004,severo
Chocó,2022,3,43.2,10.4,32.800000000000004,severo
Chocó,2022,4,43.2,10.4,32.800000000000004,severo
Chocó,2022,5,43.2,10.4,32.800000000000004,severo
Chocó,2022,6,43.2,10.4,32.800000000000004,severo
Chocó,2022,7,43.2,10.4,32.800000000000004,severo
Chocó,2022,8,43.2,10.4,32.800000000000004,severo
Chocó,2022,9,43.2,10.4,32.800000000000004,severo
Chocó,2022,10,43.2,10.4,32.800000000000004,severo
Chocó,2022,11,43.2,10.4,32.800000000000004,severo
Chocó,2022,12,43.2,10.4,32.800000000000004,severo
Guainía,2022,1,29.8,4.4,25.4,moderado
Guainía,2022,2,29.8,4.4,25.4,moderado
Guainía,2022,3,29.8,4.4,25.4,moderado
Guainía,2022,4,29.8,4.4,25.4,moderado
Guainía,2022,5,29.8,4.4,25.4,moderado
Guainía,2022,6,29.8,4.4,25.4,moderado
Guainía,2022,7,29.8,4.4,25.4,moderado
Guainía,2022,8,29.8,4.4,25.4,moderado
Guainía,2022,9,29.8,4.4,25.4,moderado
Guainía,2022,10,29.8,4.4,25.4,moderado
Guainía,2022,11,29.8,4.4,25.4,moderado
Guainía,2022,12,29.8,4.4,25.4,moderado
Guaviare,2022,1,30.4,6.2,24.2,moderado
Guaviare,2022,2,30.4,6.2,24.2,moderado
Guaviare,2022,3,30.4,6.2,24.2,moderado
Guaviare,2022,4,30.4,6.2,24.2,moderado
Guaviare,2022,5,30.4,6.2,24.2,moderado
Guaviare,2022,6,30.4,6.2,24.2,moderado
Guaviare,2022,7,30.4,6.2,24.2,moderado
Guaviare,2022,8,30.4,6.2,24.2,moderado
Guaviare,2022,9,30.4,6.2,24.2,moderado
Guaviare,2022,10,30.4,6.2,24.2,moderado
Guaviare,2022,11,30.4,6.2,24.2,moderado
Guaviare,2022,12,30.4,6.2,24.2,moderado
Huila,2022,1,19.0,2.4,16.6,moderado
Huila,2022,2,19.0,2.4,16.6,moderado
Huila,2022,3,19.0,2.4,16.6,moderado
Huila,2022,4,19.0,2.4,16.6,moderado
Huila,2022,5,19.0,2.4,16.6,moderado
Huila,2022,6,19.0,2.4,16.6,moderado
Huila,2022,7,19.0,2.4,16.6,moderado
Huila,2022,8,19.0,2.4,16.6,moderado
Huila,2022,9,19.0,2.4,16.6,moderado
Huila,2022,10,19.0,2.4,16.6,moderado
Huila,2022,11,19.0,2.4,16.6,moderado
Huila,2022,12,19.0,2.4,16.6,moderado
La Guajira,2022,1,59.7,17.5,42.2,severo
La Guajira,2022,2,59.7,17.5,42.2,severo
La Guajira,2022,3,59.7,17.5,42.2,severo
La Guajira,2022,4,59.7,17.5,42.2,severo
La Guajira,2022,5,59.7,17.5,42.2,severo
La Guajira,2022,6,59.7,17.5,42.2,severo
La Guajira,2022,7,59.7,17.5,42.2,severo
La Guajira,2022,8,59.7,17.5,42.2,severo
La Guajira,2022,9,59.7,17.5,42.2,severo
La Guajira,2022,10,59.7,17.5,42.2,severo
La Guajira,2022,11,59.7,17.5,42.2,severo
La Guajira,2022,12,59.7,17.5,42.2,severo
Magdalena,2022,1,45.3,10.4,34.9,severo
Magdalena,2022,2,45.3,10.4,34.9,severo
Magdalena,2022,3,45.3,10.4,34.9,severo
Magdalena,2022,4,45.3,10.4,34.9,severo
Magdalena,2022,5,45.3,10.4,34.9,severo
Magdalena,2022,6,45.3,10.4,34.9,severo
Magdalena,2022,7,45.3,10.4,34.9,severo
Magdalena,2022,8,45.3,10.4,34.9,severo
Magdalena,2022,9,45.3,10.4,34.9,severo
Magdalena,2022,10,45.3,10.4,34.9,severo
Magdalena,2022,11,45.3,10.4,34.9,severo
Magdalena,2022,12,45.3,10.4,34.9,severo
Meta,2022,1,25.5,4.1,21.4,moderado
Meta,2022,2,25.5,4.1,21.4,moderado
Meta,2022,3,25.5,4.1,21.4,moderado
Meta,2022,4,25.5,4.1,21.4,moderado
Meta,2022,5,25.5,4.1,21.4,moderado
Meta,2022,6,25.5,4.1,21.4,moderado
Meta,2022,7,25.5,4.1,21.4,moderado
Meta,2022,8,25.5,4.1,21.4,moderado
Meta,2022,9,25.5,4.1,21.4,moderado
Meta,2022,10,25.5,4.1,21.4,moderado
Meta,2022,11,25.5,4.1,21.4,moderado
Meta,2022,12,25.5,4.1,21.4,moderado
Nariño,2022,1,37.1,7.4,29.700000000000003,severo
Nariño,2022,2,37.1,7.4,29.700000000000003,severo
Nariño,2022,3,37.1,7.4,29.700000000000003,severo
Nariño,2022,4,37.1,7.4,29.700000000000003,severo
Nariño,2022,5,37.1,7.4,29.700000000000003,severo
Nariño,2022,6,37.1,7.4,29.700000000000003,severo
Nariño,2022,7,37.1,7.4,29.700000000000003,severo
Nariño,2022,8,37.1,7.4,29.700000000000003,severo
Nariño,2022,9,37.1,7.4,29.700000000000003,severo
Nariño,2022,10,37.1,7.4,29.700000000000003,severo
Nariño,2022,11,37.1,7.4,29.700000000000003,severo
Nariño,2022,12,37.1,7.4,29.700000000000003,severo
Norte de Santander,2022,1,25.8,2.9,22.900000000000002,moderado
Norte de Santander,2022,2,25.8,2.9,22.900000000000002,moderado
Norte de Santander,2022,3,25.8,2.9,22.900000000000002,moderado
Norte de Santander,2022,4,25.8,2.9,22.900000000000002,moderado
Norte de Santander,2022,5,25.8,2.9,22.900000000000002,moderado
Norte de Santander,2022,6,25.8,2.9,22.900000000000002,moderado
Norte de Santander,2022,7,25.8,2.9,22.900000000000002,moderado
Norte de Santander,2022,8,25.8,2.9,22.900000000000002,moderado
Norte de Santander,2022,9,25.8,2.9,22.900000000000002,moderado
Norte de Santander,2022,10,25.8,2.9,22.900000000000002,moderado
Norte de Santander,2022,11,25.8,2.9,22.900000000000002,moderado
