departamento,año,mes,fecha,Pobreza_monetaria,No_pobres
Huila,2022,8,2022-08-01,65.7,34.3
La_Guajira,2022,8,2022-08-01,80.8,19.2
Magdalena,2022,8,2022-08-01,71.6,28.4
Meta,2022,8,2022-08-01,43.2,56.8
Narino,2022,8,2022-08-01,71.5,28.5
Norte_de_Santander,2022,8,2022-08-01,52.3,47.7
Putumayo,2022,8,2022-08-01,71.6,28.4
Quindio,2022,8,2022-08-01,37.9,62.1
Risaralda,2022,8,2022-08-01,30.5,69.5
Santander,2022,8,2022-08-01,49.5,50.5
Sucre,2022,8,2022-08-01,78.7,21.3
Tolima,2022,8,2022-08-01,54.0,46.0
Valle,2022,8,2022-08-01,40.6,59.4
Vaupes,2022,8,2022-08-01,66.5,33.5
Vichada,2022,8,2022-08-01,85.8,14.2
Amazonas,2022,9,2022-09-01,54.6,45.4
Antioquia,2022,9,2022-09-01,48.7,51.3
Arauca,2022,9,2022-09-01,74.5,25.5
Atlantico,2022,9,2022-09-01,56.9,43.1
Bogota_DC,2022,9,2022-09-01,32.3,67.7
Bolivar,2022,9,2022-09-01,66.9,33.1
Boyaca,2022,9,2022-09-01,43.4,56.6
Caldas,2022,9,2022-09-01,33.4,66.6
Caqueta,2022,9,2022-09-01,69.1,30.9
Casanare,2022,9,2022-09-01,46.5,53.5
Cauca,2022,9,2022-09-01,58.3,41.7
Cesar,2022,9,2022-09-01,70.5,29.5
Choco,2022,9,2022-09-01,83.4,16.6
Cordoba,2022,9,2022-09-01,83.7,16.3
Cundinamarca,2022,9,2022-09-01,39.2,60.8
Guainia,2022,9,2022-09-01,53.3,46.7
Guaviare,2022,9,2022-09-01,55.9,44.1
Huila,2022,9,2022-09-01,65.7,34.3
La_Guajira,2022,9,2022-09-01,80.8,19.2
Magdalena,2022,9,2022-09-01,71.6,28.4
Meta,2022,9,2022-09-01,43.2,56.8
Narino,2022,9,2022-09-01,71.5,28.5
Norte_de_Santander,2022,9,2022-09-01,52.3,47.7
Putumayo,2022,9,2022-09-01,71.6,28.4
Quindio,2022,9,2022-09-01,37.9,62.1
Risaralda,2022,9,2022-09-01,30.5,69.5
Santander,2022,9,2022-09-01,49.5,50.5
Sucre,2022,9,2022-09-01,78.7,21.3
Tolima,2022,9,2022-09-01,54.0,46.0
Valle,2022,9,2022-09-01,40.6,59.4
Vaupes,2022,9,2022-09-01,66.5,33.5
Vichada,2022,9,2022-09-01,85.8,14.2
Amazonas,2022,10,2022-10-01,54.6,45.4
Antioquia,2022,10,2022-10-01,48.7,51.3
Arauca,2022,10,2022-10-01,74.5,25.5
Atlantico,2022,10,2022-10-01,56.9,43.1
Bogota_DC,2022,10,2022-10-01,32.3,67.7
Bolivar,2022,10,2022-10-01,66.9,33.1
Boyaca,2022,10,2022-10-01,43.4,56.6
Caldas,2022,10,2022-10-01,33.4,66.6
Caqueta,2022,10,2022-10-01,69.1,30.9
Casanare,2022,10,2022-10-01,46.5,53.5
Cauca,2022,10,2022-10-01,58.3,41.7
Cesar,2022,10,2022-10-01,70.5,29.5
Choco,2022,10,2022-10-01,83.4,16.6
Cordoba,2022,10,2022-10-01,83.7,16.3
Cundinamarca,2022,10,2022-10-01,39.2,60.8
Guainia,2022,10,2022-10-01,53.3,46.7
Guaviare,2022,10,2022-10-01,55.9,44.1
Huila,2022,10,2022-10-01,65.7,34.3
La_Guajira,2022,10,2022-10-01,80.8,19.2
Magdalena,2022,10,2022-10-01,71.6,28.4
Meta,2022,10,2022-10-01,43.2,56.8
Narino,2022,10,2022-10-01,71.5,28.5
Norte_de_Santander,2022,10,2022-10-01,52.3,47.7
Putumayo,2022,10,2022-10-01,71.6,28.4
Quindio,2022,10,2022-10-01,37.9,62.1
Risaralda,2022,10,2022-10-01,30.5,69.5
Santander,2022,10,2022-10-01,49.5,50.5
Sucre,2022,10,2022-10-01,78.7,21.3
Tolima,2022,10,2022-10-01,54.0,46.0
Valle,2022,10,2022-10-01,40.6,59.4
Vaupes,2022,10,2022-10-01,66.5,33.5
Vichada,2022,10,2022-10-01,85.8,14.2
Amazonas,2022,11,2022-11-01,54.6,45.4
Antioquia,2022,11,2022-11-01,48.7,51.3
Arauca,2022,11,2022-11-01,74.5,25.5
Atlantico,2022,11,2022-11-01,56.9,43.1
Bogota_DC,2022,11,2022-11-01,32.3,67.7
Bolivar,2022,11,2022-11-01,66.9,33.1
Boyaca,2022,11,2022-11-01,43.4,56.6
Caldas,2022,11,2022-11-01,33.4,66.6
Caqueta,2022,11,2022-11-01,69.1,30.9
Casanare,2022,11,2022-11-01,46.5,53.5
Cauca,2022,11,2022-11-01,58.3,41.7
Cesar,2022,11,2022-11-01,70.5,29.5
Choco,2022,11,2022-11-01,83.4,16.6
Cordoba,2022,11,2022-11-01,83.7,16.3
Cundinamarca,2022,11,2022-11-01,39.2,60.8
Guainia,2022,11,2022-11-01,53.3,46.7
Guaviare,2022,11,2022-11-01,55.9,44.1
Huila,2022,11,2022-11-01,65.7,34.3
La_Guajira,2022,11,2022-11-01,80.8,19.2
Magdalena,2022,11,2022-11-01,71.6,28.4
Meta,2022,11,2022-11-01,43.2,56.8
Narino,2022,11,2022-11-01,71.5,28.5
Norte_de_Santander,2022,11,2022-11-01,52.3,47.7
Putumayo,2022,11,2022-11-01,71.6,28.4
Quindio,2022,11,2022-11-01,37.9,62.1
Risaralda,2022,11,2022-11-01,30.5,69.5
Santander,2022,11,2022-11-01,49.5,50.5
Sucre,2022,11,2022-11-01,78.7,21.3
Tolima,2022,11,2022-11-01,54.0,46.0
Valle,2022,11,2022-11-01,40.6,59.4
Vaupes,2022,11,2022-11-01,66.5,33.5
Vichada,2022,11,2022-11-01,85.8,14.2
Amazonas,2022,12,2022-12-01,54.6,45.4
Antioquia,2022,12,2022-12-01,48.7,51.3
Arauca,2022,12,2022-12-01,74.5,25.5
Atlantico,2022,12,2022-12-01,56.9,43.1
Bogota_DC,2022,12,2022-12-01,32.3,67.7
Bolivar,2022,12,2022-12-01,66.9,33.1
Boyaca,2022,12,2022-12-01,43.4,56.6
Caldas,2022,12,2022-12-01,33.4,66.6
Caqueta,2022,12,2022-12-01,69.1,30.9
Casanare,2022,12,2022-12-01,46.5,53.5
Cauca,2022,12,2022-12-01,58.3,41.7
Cesar,2022,12,2022-12-01,70.5,29.5
Choco,2022,12,2022-12-01,83.4,16.6
Cordoba,2022,12,2022-12-01,83.7,16.3
Cundinamarca,2022,12,2022-12-01,39.2,60.8
Guainia,2022,12,2022-12-01,53.3,46.7
Guaviare,2022,12,2022-12-01,55.9,44.1
Huila,2022,12,2022-12-01,65.7,34.3
La_Guajira,2022,12,2022-12-01,80.8,19.2
Magdalena,2022,12,2022-12-01,71.6,28.4
Meta,2022,12,2022-12-01,43.2,56.8
Narino,2022,12,2022-12-01,71.5,28.5
Norte_de_Santander,2022,12,2022-12-01,52.3,47.7
Putumayo,2022,12,2022-12-01,71.6,28.4
Quindio,2022,12,2022-12-01,37.9,62.1
Risaralda,2022,12,2022-12-01,30.5,69.5
Santander,2022,12,2022-12-01,49.5,50.5
Sucre,2022,12,2022-12-01,78.7,21.3
Tolima,2022,12,2022-12-01,54.0,46.0
Valle,2022,12,2022-12-01,40.6,59.4
Vaupes,2022,12,2022-12-01,66.5,33.5
Vichada,2022,12,2022-12-01,85.8,14.2
Amazonas,2023,1,2023-01-01,45.8,54.2
Antioquia,2023,1,2023-01-01,44.1,55.9
Arauca,2023,1,2023-01-01,68.3,31.7
Atlantico,2023,1,2023-01-01,56.7,43.3
Bogota_DC,2023,1,2023-01-01,25.5,74.5
Bolivar,2023,1,2023-01-01,64.5,35.5
Boyaca,2023,1,2023-01-01,43.1,56.9
Caldas,2023,1,2023-01-01,28.5,71.5
Caqueta,2023,1,2023-01-01,69.5,30.5
Casanare,2023,1,2023-01-01,44.3,55.7
Cauca,2023,1,2023-01-01,60.7,39.3
Cesar,2023,1,2023-01-01,67.8,32.2
Choco,2023,1,2023-01-01,81.7,18.3
Cordoba,2023,1,2023-01-01,71.3,28.7
Cundinamarca,2023,1,2023-01-01,41.9,58.1
Guainia,2023,1,2023-01-01,70.7,29.3
Guaviare,2023,1,2023-01-01,55.3,44.7
Huila,2023,1,2023-01-01,60.1,39.9
La_Guajira,2023,1,2023-01-01,78.9,21.1
Magdalena,2023,1,2023-01-01,67.8,32.2
