departamento,año,mes,fecha,Pobreza_monetaria,No_pobres
Sucre,2022,4,2022-04-01,78.7,21.3
Tolima,2022,4,2022-04-01,54.0,46.0
Valle,2022,4,2022-04-01,40.6,59.4
Vaupes,2022,4,2022-04-01,66.5,33.5
Vichada,2022,4,2022-04-01,85.8,14.2
Amazonas,2022,5,2022-05-01,54.6,45.4
Antioquia,2022,5,2022-05-01,48.7,51.3
Arauca,2022,5,2022-05-01,74.5,25.5
Atlantico,2022,5,2022-05-01,56.9,43.1
Bogota_DC,2022,5,2022-05-01,32.3,67.7
Bolivar,2022,5,2022-05-01,66.9,33.1
Boyaca,2022,5,2022-05-01,43.4,56.6
Caldas,2022,5,2022-05-01,33.4,66.6
Caqueta,2022,5,2022-05-01,69.1,30.9
Casanare,2022,5,2022-05-01,46.5,53.5
Cauca,2022,5,2022-05-01,58.3,41.7
Cesar,2022,5,2022-05-01,70.5,29.5
Choco,2022,5,2022-05-01,83.4,16.6
Cordoba,2022,5,2022-05-01,83.7,16.3
Cundinamarca,2022,5,2022-05-01,39.2,60.8
Guainia,2022,5,2022-05-01,53.3,46.7
Guaviare,2022,5,2022-05-01,55.9,44.1
Huila,2022,5,2022-05-01,65.7,34.3
La_Guajira,2022,5,2022-05-01,80.8,19.2
Magdalena,2022,5,2022-05-01,71.6,28.4
Meta,2022,5,2022-05-01,43.2,56.8
Narino,2022,5,2022-05-01,71.5,28.5
Norte_de_Santander,2022,5,2022-05-01,52.3,47.7
Putumayo,2022,5,2022-05-01,71.6,28.4
Quindio,2022,5,2022-05-01,37.9,62.1
Risaralda,2022,5,2022-05-01,30.5,69.5
Santander,2022,5,2022-05-01,49.5,50.5
Sucre,2022,5,2022-05-01,78.7,21.3
Tolima,2022,5,2022-05-01,54.0,46.0
Valle,2022,5,2022-05-01,40.6,59.4
Vaupes,2022,5,2022-05-01,66.5,33.5
Vichada,2022,5,2022-05-01,85.8,14.2
Amazonas,2022,6,2022-06-01,54.6,45.4
Antioquia,2022,6,2022-06-01,48.7,51.3
Arauca,2022,6,2022-06-01,74.5,25.5
Atlantico,2022,6,2022-06-01,56.9,43.1
Bogota_DC,2022,6,2022-06-01,32.3,67.7
Bolivar,2022,6,2022-06-01,66.9,33.1
Boyaca,2022,6,2022-06-01,43.4,56.6
Caldas,2022,6,2022-06-01,33.4,66.6
Caqueta,2022,6,2022-06-01,69.1,30.9
Casanare,2022,6,2022-06-01,46.5,53.5
Cauca,2022,6,2022-06-01,58.3,41.7
Cesar,2022,6,2022-06-01,70.5,29.5
Choco,2022,6,2022-06-01,83.4,16.6
Cordoba,2022,6,2022-06-01,83.7,16.3
Cundinamarca,2022,6,2022-06-01,39.2,60.8
Guainia,2022,6,2022-06-01,53.3,46.7
Guaviare,2022,6,2022-06-01,55.9,44.1
Huila,2022,6,2022-06-01,65.7,34.3
La_Guajira,2022,6,2022-06-01,80.8,19.2
Magdalena,2022,6,2022-06-01,71.6,28.4
Meta,2022,6,2022-06-01,43.2,56.8
Narino,2022,6,2022-06-01,71.5,28.5
Norte_de_Santander,2022,6,2022-06-01,52.3,47.7
Putumayo,2022,6,2022-06-01,71.6,28.4
Quindio,2022,6,2022-06-01,37.9,62.1
Risaralda,2022,6,2022-06-01,30.5,69.5
Santander,2022,6,2022-06-01,49.5,50.5
Sucre,2022,6,2022-06-01,78.7,21.3
Tolima,2022,6,2022-06-01,54.0,46.0
Valle,2022,6,2022-06-01,40.6,59.4
Vaupes,2022,6,2022-06-01,66.5,33.5
Vichada,2022,6,2022-06-01,85.8,14.2
Amazonas,2022,7,2022-07-01,54.6,45.4
Antioquia,2022,7,2022-07-01,48.7,51.3
Arauca,2022,7,2022-07-01,74.5,25.5
Atlantico,2022,7,2022-07-01,56.9,43.1
Bogota_DC,2022,7,2022-07-01,32.3,67.7
Bolivar,2022,7,2022-07-01,66.9,33.1
Boyaca,2022,7,2022-07-01,43.4,56.6
Caldas,2022,7,2022-07-01,33.4,66.6
Caqueta,2022,7,2022-07-01,69.1,30.9
Casanare,2022,7,2022-07-01,46.5,53.5
Cauca,2022,7,2022-07-01,58.3,41.7
Cesar,2022,7,2022-07-01,70.5,29.5
Choco,2022,7,2022-07-01,83.4,16.6
Cordoba,2022,7,2022-07-01,83.7,16.3
Cundinamarca,2022,7,2022-07-01,39.2,60.8
Guainia,2022,7,2022-07-01,53.3,46.7
Guaviare,2022,7,2022-07-01,55.9,44.1
Huila,2022,7,2022-07-01,65.7,34.3
La_Guajira,2022,7,2022-07-01,80.8,19.2
Magdalena,2022,7,2022-07-01,71.6,28.4
Meta,2022,7,2022-07-01,43.2,56.8
Narino,2022,7,2022-07-01,71.5,28.5
Norte_de_Santander,2022,7,2022-07-01,52.3,47.7
Putumayo,2022,7,2022-07-01,71.6,28.4
Quindio,2022,7,2022-07-01,37.9,62.1
Risaralda,2022,7,2022-07-01,30.5,69.5
Santander,2022,7,2022-07-01,49.5,50.5
Sucre,2022,7,2022-07-01,78.7,21.3
Tolima,2022,7,2022-07-01,54.0,46.0
Valle,2022,7,2022-07-01,40.6,59.4
Vaupes,2022,7,2022-07-01,66.5,33.5
Vichada,2022,7,2022-07-01,85.8,14.2
Amazonas,2022,8,2022-08-01,54.6,45.4
Antioquia,2022,8,2022-08-01,48.7,51.3
Arauca,2022,8,2022-08-01,74.5,25.5
Atlantico,2022,8,2022-08-01,56.9,43.1
Bogota_DC,2022,8,2022-08-01,32.3,67.7
Bolivar,2022,8,2022-08-01,66.9,33.1
Boyaca,2022,8,2022-08-01,43.4,56.6
Caldas,2022,8,2022-08-01,33.4,66.6
Caqueta,2022,8,2022-08-01,69.1,30.9
Casanare,2022,8,2022-08-01,46.5,53.5
Cauca,2022,8,2022-08-01,58.3,41.7
Cesar,2022,8,2022-08-01,70.5,29.5
Choco,2022,8,2022-08-01,83.4,16.6
Cordoba,2022,8,2022-08-01,83.7,16.3
Cundinamarca,2022,8,2022-08-01,39.2,60.8
Guainia,2022,8,2022-08-01,53.3,46.7
Guaviare,2022,8,2022-08-01,55.9,44.1
