departamento,fecha,precipitacion_media
Choco,2022-01-05,0.5220687784928452
Cordoba,2022-01-05,0.0
Cundinamarca,2022-01-05,0.568416011892578
Guainia,2022-01-05,0.0
Guajira,2022-01-05,0.0
Guaviare,2022-01-05,0.0
Huila,2022-01-05,0.0
Magdalena,2022-01-05,0.0
Meta,2022-01-05,0.2827266297340243
Narino,2022-01-05,0.3051693162469568
Norte De Santander,2022-01-05,0.0
Putumayo,2022-01-05,0.0
Quindio,2022-01-05,0.0
Risaralda,2022-01-05,0.0
Santander,2022-01-05,0.0
Sucre,2022-01-05,0.0
Tolima,2022-01-05,0.0
Valle Del Cauca,2022-01-05,0.1271703842801885
Vaupes,2022-01-05,0.0
Vichada,2022-01-05,0.0
Amazonas,2022-01-06,0.0
Antioquia,2022-01-06,0.4253920940275384
Arauca,2022-01-06,0.0073688229655226
Atlantico,2022-01-06,0.0
Bogotá,2022-01-06,0.0
Bolivar,2022-01-06,0.9243830276415684
Boyaca,2022-01-06,0.0207202314845567
Caldas,2022-01-06,0.0549720015617553
Caqueta,2022-01-06,0.0
Casanare,2022-01-06,0.0
Cauca,2022-01-06,0.3099831450160195
Cesar,2022-01-06,0.2827934755738294
Choco,2022-01-06,0.2949645291461338
Cordoba,2022-01-06,0.1558309265298573
Cundinamarca,2022-01-06,0.0
Guainia,2022-01-06,0.0
Guajira,2022-01-06,0.0
Guaviare,2022-01-06,0.0
Huila,2022-01-06,0.1406538193927158
Magdalena,2022-01-06,0.0
Meta,2022-01-06,0.0
Narino,2022-01-06,0.3627099192926419
Norte De Santander,2022-01-06,0.4304280093697772
Putumayo,2022-01-06,0.0
Quindio,2022-01-06,0.6918288796919456
Risaralda,2022-01-06,1.875627442713836
Santander,2022-01-06,0.6680598296839618
Sucre,2022-01-06,0.0
Tolima,2022-01-06,0.1269799418010472
Valle Del Cauca,2022-01-06,0.8793496640910181
Vaupes,2022-01-06,0.0
Vichada,2022-01-06,0.0
Amazonas,2022-01-07,4.909681884531642
Antioquia,2022-01-07,23.28097300305733
Arauca,2022-01-07,0.0
Atlantico,2022-01-07,0.0327877956807071
Bogotá,2022-01-07,2.544276650177945
Bolivar,2022-01-07,8.268143756343054
Boyaca,2022-01-07,2.686217686505642
Caldas,2022-01-07,37.53090252070165
Caqueta,2022-01-07,0.0
Casanare,2022-01-07,0.0
Cauca,2022-01-07,0.3571041092078297
Cesar,2022-01-07,1.511460197333322
Choco,2022-01-07,7.90791252421756
Cordoba,2022-01-07,2.2678629345916983
Cundinamarca,2022-01-07,2.544276650177945
Guainia,2022-01-07,0.0
Guajira,2022-01-07,0.0
Guaviare,2022-01-07,0.0
Huila,2022-01-07,0.0
Magdalena,2022-01-07,0.0089432355557029
Meta,2022-01-07,0.0157535152566188
Narino,2022-01-07,52.10665908481917
Norte De Santander,2022-01-07,1.887074313892156
Putumayo,2022-01-07,0.0017335402789348
Quindio,2022-01-07,34.8080360791959
Risaralda,2022-01-07,39.75034228990224
Santander,2022-01-07,10.293313452329084
Sucre,2022-01-07,1.0517801456812108
Tolima,2022-01-07,3.754700601654502
Valle Del Cauca,2022-01-07,13.779733136642047
Vaupes,2022-01-07,0.0
Vichada,2022-01-07,0.0
Amazonas,2022-01-08,0.0745392958768387
Antioquia,2022-01-08,4.01859176274891
Arauca,2022-01-08,0.9826176992849502
Atlantico,2022-01-08,0.6341705263358569
Bogotá,2022-01-08,0.2485894732873284
Bolivar,2022-01-08,1.7041181162364365
Boyaca,2022-01-08,0.237732038880551
Caldas,2022-01-08,0.0
Caqueta,2022-01-08,0.0
Casanare,2022-01-08,0.1143945401395964
Cauca,2022-01-08,4.415370281143829
Cesar,2022-01-08,1.859828574652272
Choco,2022-01-08,7.840887544538062
Cordoba,2022-01-08,2.056674104249463
