departamento,año,mes,fecha,Preocupacion_alimentos,No_alimentos_saludables,Poca_variedad_alimentos,Saltar_comida,Comio_menos,Sin_alimentos,Hambre_no_comio,No_comio_dia_entero
Amazonas,2024,1,2024-01-01,35.0,21.8,27.4,13.8,17.8,10.2,5.5,2.7
Amazonas,2024,2,2024-02-01,35.0,21.8,27.4,13.8,17.8,10.2,5.5,2.7
Amazonas,2024,3,2024-03-01,35.0,21.8,27.4,13.8,17.8,10.2,5.5,2.7
Amazonas,2024,4,2024-04-01,35.0,21.8,27.4,13.8,17.8,10.2,5.5,2.7
Amazonas,2024,5,2024-05-01,35.0,21.8,27.4,13.8,17.8,10.2,5.5,2.7
Amazonas,2024,6,2024-06-01,35.0,21.8,27.4,13.8,17.8,10.2,5.5,2.7
Amazonas,2024,7,2024-07-01,35.0,21.8,27.4,13.8,17.8,10.2,5.5,2.7
Amazonas,2024,8,2024-08-01,35.0,21.8,27.4,13.8,17.8,10.2,5.5,2.7
Amazonas,2024,9,2024-09-01,35.0,21.8,27.4,13.8,17.8,10.2,5.5,2.7
Amazonas,2024,10,2024-10-01,35.0,21.8,27.4,13.8,17.8,10.2,5.5,2.7
Amazonas,2024,11,2024-11-01,35.0,21.8,27.4,13.8,17.8,10.2,5.5,2.7
Amazonas,2024,12,2024-12-01,35.0,21.8,27.4,13.8,17.8,10.2,5.5,2.7
Antioquia,2024,1,2024-01-01,41.3,39.2,36.5,18.3,25.4,11.7,13.2,14.2
Antioquia,2024,2,2024-02-01,41.3,39.2,36.5,18.3,25.4,11.7,13.2,14.2
Antioquia,2024,3,2024-03-01,41.3,39.2,36.5,18.3,25.4,11.7,13.2,14.2
Antioquia,2024,4,2024-04-01,41.3,39.2,36.5,18.3,25.4,11.7,13.2,14.2
Antioquia,2024,5,2024-05-01,41.3,39.2,36.5,18.3,25.4,11.7,13.2,14.2
Antioquia,2024,6,2024-06-01,41.3,39.2,36.5,18.3,25.4,11.7,13.2,14.2
Antioquia,2024,7,2024-07-01,41.3,39.2,36.5,18.3,25.4,11.7,13.2,14.2
Antioquia,2024,8,2024-08-01,41.3,39.2,36.5,18.3,25.4,11.7,13.2,14.2
Antioquia,2024,9,2024-09-01,41.3,39.2,36.5,18.3,25.4,11.7,13.2,14.2
Antioquia,2024,10,2024-10-01,41.3,39.2,36.5,18.3,25.4,11.7,13.2,14.2
Antioquia,2024,11,2024-11-01,41.3,39.2,36.5,18.3,25.4,11.7,13.2,14.2
Antioquia,2024,12,2024-12-01,41.3,39.2,36.5,18.3,25.4,11.7,13.2,14.2
Arauca,2024,1,2024-01-01,33.4,25.8,30.7,16.2,20.9,8.7,16.9,4.2
Arauca,2024,2,2024-02-01,33.4,25.8,30.7,16.2,20.9,8.7,16.9,4.2
Arauca,2024,3,2024-03-01,33.4,25.8,30.7,16.2,20.9,8.7,16.9,4.2
Arauca,2024,4,2024-04-01,33.4,25.8,30.7,16.2,20.9,8.7,16.9,4.2
Arauca,2024,5,2024-05-01,33.4,25.8,30.7,16.2,20.9,8.7,16.9,4.2
Arauca,2024,6,2024-06-01,33.4,25.8,30.7,16.2,20.9,8.7,16.9,4.2
Arauca,2024,7,2024-07-01,33.4,25.8,30.7,16.2,20.9,8.7,16.9,4.2
Arauca,2024,8,2024-08-01,33.4,25.8,30.7,16.2,20.9,8.7,16.9,4.2
Arauca,2024,9,2024-09-01,33.4,25.8,30.7,16.2,20.9,8.7,16.9,4.2
Arauca,2024,10,2024-10-01,33.4,25.8,30.7,16.2,20.9,8.7,16.9,4.2
Arauca,2024,11,2024-11-01,33.4,25.8,30.7,16.2,20.9,8.7,16.9,4.2
Arauca,2024,12,2024-12-01,33.4,25.8,30.7,16.2,20.9,8.7,16.9,4.2
Atlántico,2024,1,2024-01-01,50.6,41.6,46.6,36.3,39.3,21.6,22.1,5.7
Atlántico,2024,2,2024-02-01,50.6,41.6,46.6,36.3,39.3,21.6,22.1,5.7
Atlántico,2024,3,2024-03-01,50.6,41.6,46.6,36.3,39.3,21.6,22.1,5.7
Atlántico,2024,4,2024-04-01,50.6,41.6,46.6,36.3,39.3,21.6,22.1,5.7
Atlántico,2024,5,2024-05-01,50.6,41.6,46.6,36.3,39.3,21.6,22.1,5.7
Atlántico,2024,6,2024-06-01,50.6,41.6,46.6,36.3,39.3,21.6,22.1,5.7
Atlántico,2024,7,2024-07-01,50.6,41.6,46.6,36.3,39.3,21.6,22.1,5.7
