departamento,fecha,temperatura_media
Amazonas,2023-01-01,25.34899365919623
Antioquia,2023-01-01,21.33760193357515
Arauca,2023-01-01,27.61136536325128
Atlantico,2023-01-01,28.667821296726444
Bolivar,2023-01-01,26.85614968853865
Boyaca,2023-01-01,16.03529032832179
Caldas,2023-01-01,17.77117167553434
Caqueta,2023-01-01,26.81178297747863
Casanare,2023-01-01,28.03935339369625
Cauca,2023-01-01,17.123420941979614
Cesar,2023-01-01,26.55966615392535
Choco,2023-01-01,23.88698692950968
Cordoba,2023-01-01,27.23382422149539
Cundinamarca,2023-01-01,17.606038851200662
Guainia,2023-01-01,26.245994627272765
Guajira,2023-01-01,26.021252430638857
Guaviare,2023-01-01,26.821316550858928
Huila,2023-01-01,19.59723551227796
Magdalena,2023-01-01,27.843371244344336
Meta,2023-01-01,27.67218952260464
Narino,2023-01-01,18.134187785090703
Norte De Santander,2023-01-01,19.962274671998408
Putumayo,2023-01-01,25.590412283526994
Quindio,2023-01-01,16.183040009504616
Risaralda,2023-01-01,16.710046701972445
Santander,2023-01-01,21.3411622899621
Sucre,2023-01-01,27.79113745125864
Tolima,2023-01-01,21.251654274589104
Valle Del Cauca,2023-01-01,17.72725960231754
Vaupes,2023-01-01,25.3040068087262
Vichada,2023-01-01,29.155445999182056
Amazonas,2023-01-02,24.861477700854028
Antioquia,2023-01-02,20.853305448663
Arauca,2023-01-02,27.332827633446342
Atlantico,2023-01-02,28.606248109648
Bolivar,2023-01-02,26.257461691895784
Boyaca,2023-01-02,16.002954439972
Caldas,2023-01-02,17.857077604065445
Caqueta,2023-01-02,25.672554552256624
Casanare,2023-01-02,28.006810789823515
Cauca,2023-01-02,16.7322868810829
Cesar,2023-01-02,26.30977095969577
Choco,2023-01-02,23.987811559151115
Cordoba,2023-01-02,26.68771315982954
Cundinamarca,2023-01-02,17.42627860944791
Guainia,2023-01-02,26.209284748001853
Guajira,2023-01-02,25.53188207937237
Guaviare,2023-01-02,26.43317342003244
Huila,2023-01-02,19.09829015525308
Magdalena,2023-01-02,27.51097625993168
Meta,2023-01-02,27.3190752905658
Narino,2023-01-02,17.461218772823727
Norte De Santander,2023-01-02,19.60865432886187
Putumayo,2023-01-02,24.055970836853945
Quindio,2023-01-02,15.752590777639098
Risaralda,2023-01-02,16.73019765787221
Santander,2023-01-02,21.020395626861
Sucre,2023-01-02,27.42523315461384
Tolima,2023-01-02,20.94591210479756
Valle Del Cauca,2023-01-02,17.217600510945392
Vaupes,2023-01-02,24.633953341281423
Vichada,2023-01-02,28.809225482558023
Amazonas,2023-01-03,24.908920699992315
Antioquia,2023-01-03,20.773993848085592
Arauca,2023-01-03,27.08233764977799
Atlantico,2023-01-03,28.38785227088666
Bolivar,2023-01-03,26.19491209217975
Boyaca,2023-01-03,15.727066884653274
Caldas,2023-01-03,17.39781262047514
Caqueta,2023-01-03,24.77700652792825
Casanare,2023-01-03,27.68567896276234
Cauca,2023-01-03,17.142478484007814
Cesar,2023-01-03,26.003152113040937
Choco,2023-01-03,24.27320865494645
Cordoba,2023-01-03,26.87463285609955
Cundinamarca,2023-01-03,17.42994629495263
Guainia,2023-01-03,24.87407749469061
Guajira,2023-01-03,25.387650685819104
Guaviare,2023-01-03,26.662659642514463
Huila,2023-01-03,18.11947888103234
Magdalena,2023-01-03,27.54786473813436
Meta,2023-01-03,26.89333179628745
Narino,2023-01-03,18.214516142085767
Norte De Santander,2023-01-03,19.54129214757986
Putumayo,2023-01-03,24.3884776948142
Quindio,2023-01-03,15.87808887553667
Risaralda,2023-01-03,16.779937160281907
Santander,2023-01-03,20.69051679224581
Sucre,2023-01-03,27.358119119099463
Tolima,2023-01-03,20.23010004023239
Valle Del Cauca,2023-01-03,17.819379752965638
Vaupes,2023-01-03,24.55004949279575
Vichada,2023-01-03,28.25365290451841
Amazonas,2023-01-04,25.554897161960785
Antioquia,2023-01-04,21.00215528967973
Arauca,2023-01-04,27.284710755119367
Atlantico,2023-01-04,28.36096002825505
Bolivar,2023-01-04,26.29466998129074
Boyaca,2023-01-04,15.348158119404996
Caldas,2023-01-04,17.707221982046566
Caqueta,2023-01-04,26.08205807515918
Casanare,2023-01-04,27.4672985408962
Cauca,2023-01-04,17.686805555322078
Cesar,2023-01-04,26.083816183479527
Choco,2023-01-04,24.823317075473938
Cordoba,2023-01-04,26.86153604269715
Cundinamarca,2023-01-04,17.34987646604694
Guainia,2023-01-04,24.68923085530604
Guajira,2023-01-04,25.27921874345427
Guaviare,2023-01-04,27.21541910052178
Huila,2023-01-04,18.55902730960048
Magdalena,2023-01-04,27.59141779806928
Meta,2023-01-04,27.21401768151853
Narino,2023-01-04,19.01919473162383
Norte De Santander,2023-01-04,19.20470253720273
Putumayo,2023-01-04,25.38299057208359
Quindio,2023-01-04,16.61832195098047
Risaralda,2023-01-04,17.66729109286666
Santander,2023-01-04,20.631622870556896
Sucre,2023-01-04,27.37133140259525
Tolima,2023-01-04,20.423671503007665
Valle Del Cauca,2023-01-04,18.149870944279066
Vaupes,2023-01-04,24.88366540552728
Vichada,2023-01-04,28.225624422770696
Amazonas,2023-01-05,25.77078163216089
Antioquia,2023-01-05,21.223998968450893
Arauca,2023-01-05,27.331990796967112
Atlantico,2023-01-05,28.63545132087815
Bolivar,2023-01-05,26.59211080119779
Boyaca,2023-01-05,15.849226186699047
Caldas,2023-01-05,18.06509461721718
Caqueta,2023-01-05,26.73656352491764
Casanare,2023-01-05,27.976852195386385
Cauca,2023-01-05,17.672407374990055
Cesar,2023-01-05,26.181211589398377
Choco,2023-01-05,24.81045265021491
Cordoba,2023-01-05,27.218612327038446
Cundinamarca,2023-01-05,17.71149789488409
Guainia,2023-01-05,25.616599191739304
Guajira,2023-01-05,25.620852235980497
Guaviare,2023-01-05,27.404442726283825
Huila,2023-01-05,19.20418888211827
Magdalena,2023-01-05,27.698801381018413
Meta,2023-01-05,27.774516736951632
