departamento,año,mes,fecha,Deficit_cuantitativo,Deficit_cualitativo,Deficit_habitacional
Cundinamarca,2023,1,2023-01-01,0.9,16.0,17.0
Guainia,2023,1,2023-01-01,52.1,32.5,84.6
Guaviare,2023,1,2023-01-01,43.2,19.2,62.4
Huila,2023,1,2023-01-01,4.1,24.3,28.5
La_Guajira,2023,1,2023-01-01,6.7,46.2,52.9
Magdalena,2023,1,2023-01-01,10.8,48.0,58.8
Meta,2023,1,2023-01-01,8.3,18.4,26.7
Narino,2023,1,2023-01-01,20.3,25.5,45.8
Norte_de_Santander,2023,1,2023-01-01,11.0,29.4,40.4
Putumayo,2023,1,2023-01-01,38.0,24.8,62.8
Quindio,2023,1,2023-01-01,3.8,10.6,14.4
Risaralda,2023,1,2023-01-01,3.3,19.3,22.6
Santander,2023,1,2023-01-01,4.8,18.3,23.1
Sucre,2023,1,2023-01-01,9.9,48.7,58.6
Tolima,2023,1,2023-01-01,5.2,21.5,26.8
Valle,2023,1,2023-01-01,3.9,11.5,15.4
Vaupes,2023,1,2023-01-01,84.3,6.3,90.6
Vichada,2023,1,2023-01-01,43.1,49.1,92.2
Amazonas,2023,2,2023-02-01,50.7,31.5,82.2
Antioquia,2023,2,2023-02-01,3.9,19.4,23.3
Arauca,2023,2,2023-02-01,30.1,20.8,50.9
Atlantico,2023,2,2023-02-01,3.1,26.0,29.0
Bogota_DC,2023,2,2023-02-01,0.7,10.4,11.1
Bolivar,2023,2,2023-02-01,13.1,47.6,60.7
Boyaca,2023,2,2023-02-01,1.8,18.3,20.1
Caldas,2023,2,2023-02-01,2.9,16.7,19.7
Caqueta,2023,2,2023-02-01,22.3,18.3,40.6
Casanare,2023,2,2023-02-01,6.1,23.9,30.0
Cauca,2023,2,2023-02-01,9.0,35.1,44.2
Cesar,2023,2,2023-02-01,9.1,35.9,45.0
Choco,2023,2,2023-02-01,46.9,41.5,88.4
Cordoba,2023,2,2023-02-01,19.6,36.5,56.1
Cundinamarca,2023,2,2023-02-01,0.9,16.0,17.0
Guainia,2023,2,2023-02-01,52.1,32.5,84.6
Guaviare,2023,2,2023-02-01,43.2,19.2,62.4
Huila,2023,2,2023-02-01,4.1,24.3,28.5
La_Guajira,2023,2,2023-02-01,6.7,46.2,52.9
Magdalena,2023,2,2023-02-01,10.8,48.0,58.8
Meta,2023,2,2023-02-01,8.3,18.4,26.7
Narino,2023,2,2023-02-01,20.3,25.5,45.8
Norte_de_Santander,2023,2,2023-02-01,11.0,29.4,40.4
Putumayo,2023,2,2023-02-01,38.0,24.8,62.8
Quindio,2023,2,2023-02-01,3.8,10.6,14.4
Risaralda,2023,2,2023-02-01,3.3,19.3,22.6
Santander,2023,2,2023-02-01,4.8,18.3,23.1
Sucre,2023,2,2023-02-01,9.9,48.7,58.6
