departamento,año,mes,fecha,Energia,Gas_natural,Acueducto,Alcantarillado,Recoleccion_basura,Telefono_fijo,Ningun_servicio
Guaviare,2022,10,2022-10-01,93.0,15.9,50.9,47.3,60.4,0.3,6.4
Huila,2022,10,2022-10-01,99.6,65.8,87.8,67.4,69.2,7.4,0.3
La_Guajira,2022,10,2022-10-01,68.4,40.7,49.7,41.6,53.4,2.0,31.4
Magdalena,2022,10,2022-10-01,98.7,66.3,85.4,51.5,75.7,3.4,1.0
Meta,2022,10,2022-10-01,98.6,68.7,82.8,77.4,85.6,5.2,1.3
Narino,2022,10,2022-10-01,99.5,7.9,72.6,44.5,54.5,6.0,0.3
Norte_de_Santander,2022,10,2022-10-01,99.3,60.9,86.2,83.5,85.2,9.0,0.5
Putumayo,2022,10,2022-10-01,87.9,13.2,54.4,54.6,63.7,0.5,10.5
Quindio,2022,10,2022-10-01,99.7,81.4,97.8,88.7,95.6,15.2,0.0
Risaralda,2022,10,2022-10-01,99.7,80.3,96.0,85.9,91.1,20.5,0.1
Santander,2022,10,2022-10-01,99.7,73.8,87.8,76.1,80.8,23.9,0.2
Sucre,2022,10,2022-10-01,98.9,53.9,81.8,53.4,62.0,2.3,0.8
Tolima,2022,10,2022-10-01,99.5,77.3,88.4,72.2,76.7,12.5,0.2
Valle,2022,10,2022-10-01,99.5,82.0,96.9,89.6,95.2,23.5,0.1
Vaupes,2022,10,2022-10-01,91.4,0.0,29.4,26.0,28.8,0.1,8.6
Vichada,2022,10,2022-10-01,45.1,0.0,36.8,2.0,32.8,0.4,51.9
Amazonas,2022,11,2022-11-01,83.2,0.0,43.3,42.3,53.3,0.4,13.6
Antioquia,2022,11,2022-11-01,99.9,64.5,93.1,80.9,91.6,24.2,0.0
Arauca,2022,11,2022-11-01,99.5,12.6,73.0,54.9,64.4,1.4,0.4
Atlantico,2022,11,2022-11-01,99.9,93.1,97.7,87.0,96.0,26.4,0.1
Bogota_DC,2022,11,2022-11-01,100.0,93.5,99.6,99.1,99.6,41.1,0.0
Bolivar,2022,11,2022-11-01,98.5,67.2,86.1,50.8,75.7,8.8,1.0
Boyaca,2022,11,2022-11-01,99.4,63.3,89.5,65.6,67.1,2.3,0.3
Caldas,2022,11,2022-11-01,99.8,70.6,92.1,83.6,86.6,20.4,0.1
Caqueta,2022,11,2022-11-01,97.4,46.4,80.6,64.1,74.9,2.4,2.2
Casanare,2022,11,2022-11-01,97.2,83.8,82.2,70.8,78.5,1.5,1.7
Cauca,2022,11,2022-11-01,97.3,26.5,74.8,40.5,42.6,4.8,2.3
Cesar,2022,11,2022-11-01,98.2,68.5,87.8,74.1,78.1,9.3,1.6
Choco,2022,11,2022-11-01,91.4,0.0,41.1,21.8,50.9,1.7,8.1
Cordoba,2022,11,2022-11-01,99.7,49.0,71.0,43.1,55.9,3.6,0.2
Cundinamarca,2022,11,2022-11-01,99.7,77.4,96.2,80.0,87.1,11.9,0.1
Guainia,2022,11,2022-11-01,76.5,0.0,24.4,26.5,37.6,0.1,22.1
Guaviare,2022,11,2022-11-01,93.0,15.9,50.9,47.3,60.4,0.3,6.4
Huila,2022,11,2022-11-01,99.6,65.8,87.8,67.4,69.2,7.4,0.3
La_Guajira,2022,11,2022-11-01,68.4,40.7,49.7,41.6,53.4,2.0,31.4
Magdalena,2022,11,2022-11-01,98.7,66.3,85.4,51.5,75.7,3.4,1.0
Meta,2022,11,2022-11-01,98.6,68.7,82.8,77.4,85.6,5.2,1.3
Narino,2022,11,2022-11-01,99.5,7.9,72.6,44.5,54.5,6.0,0.3
Norte_de_Santander,2022,11,2022-11-01,99.3,60.9,86.2,83.5,85.2,9.0,0.5
Putumayo,2022,11,2022-11-01,87.9,13.2,54.4,54.6,63.7,0.5,10.5
Quindio,2022,11,2022-11-01,99.7,81.4,97.8,88.7,95.6,15.2,0.0
Risaralda,2022,11,2022-11-01,99.7,80.3,96.0,85.9,91.1,20.5,0.1
Santander,2022,11,2022-11-01,99.7,73.8,87.8,76.1,80.8,23.9,0.2
Sucre,2022,11,2022-11-01,98.9,53.9,81.8,53.4,62.0,2.3,0.8
Tolima,2022,11,2022-11-01,99.5,77.3,88.4,72.2,76.7,12.5,0.2
Valle,2022,11,2022-11-01,99.5,82.0,96.9,89.6,95.2,23.5,0.1
Vaupes,2022,11,2022-11-01,91.4,0.0,29.4,26.0,28.8,0.1,8.6
Vichada,2022,11,2022-11-01,45.1,0.0,36.8,2.0,32.8,0.4,51.9
Amazonas,2022,12,2022-12-01,83.2,0.0,43.3,42.3,53.3,0.4,13.6
Antioquia,2022,12,2022-12-01,99.9,64.5,93.1,80.9,91.6,24.2,0.0
Arauca,2022,12,2022-12-01,99.5,12.6,73.0,54.9,64.4,1.4,0.4
Atlantico,2022,12,2022-12-01,99.9,93.1,97.7,87.0,96.0,26.4,0.1
Bogota_DC,2022,12,2022-12-01,100.0,93.5,99.6,99.1,99.6,41.1,0.0
Bolivar,2022,12,2022-12-01,98.5,67.2,86.1,50.8,75.7,8.8,1.0
Boyaca,2022,12,2022-12-01,99.4,63.3,89.5,65.6,67.1,2.3,0.3
Caldas,2022,12,2022-12-01,99.8,70.6,92.1,83.6,86.6,20.4,0.1
Caqueta,2022,12,2022-12-01,97.4,46.4,80.6,64.1,74.9,2.4,2.2
Casanare,2022,12,2022-12-01,97.2,83.8,82.2,70.8,78.5,1.5,1.7
Cauca,2022,12,2022-12-01,97.3,26.5,74.8,40.5,42.6,4.8,2.3
Cesar,2022,12,2022-12-01,98.2,68.5,87.8,74.1,78.1,9.3,1.6
Choco,2022,12,2022-12-01,91.4,0.0,41.1,21.8,50.9,1.7,8.1
Cordoba,2022,12,2022-12-01,99.7,49.0,71.0,43.1,55.9,3.6,0.2
Cundinamarca,2022,12,2022-12-01,99.7,77.4,96.2,80.0,87.1,11.9,0.1
Guainia,2022,12,2022-12-01,76.5,0.0,24.4,26.5,37.6,0.1,22.1
Guaviare,2022,12,2022-12-01,93.0,15.9,50.9,47.3,60.4,0.3,6.4
Huila,2022,12,2022-12-01,99.6,65.8,87.8,67.4,69.2,7.4,0.3
La_Guajira,2022,12,2022-12-01,68.4,40.7,49.7,41.6,53.4,2.0,31.4
Magdalena,2022,12,2022-12-01,98.7,66.3,85.4,51.5,75.7,3.4,1.0
Meta,2022,12,2022-12-01,98.6,68.7,82.8,77.4,85.6,5.2,1.3
Narino,2022,12,2022-12-01,99.5,7.9,72.6,44.5,54.5,6.0,0.3
Norte_de_Santander,2022,12,2022-12-01,99.3,60.9,86.2,83.5,85.2,9.0,0.5
Putumayo,2022,12,2022-12-01,87.9,13.2,54.4,54.6,63.7,0.5,10.5
Quindio,2022,12,2022-12-01,99.7,81.4,97.8,88.7,95.6,15.2,0.0
Risaralda,2022,12,2022-12-01,99.7,80.3,96.0,85.9,91.1,20.5,0.1
Santander,2022,12,2022-12-01,99.7,73.8,87.8,76.1,80.8,23.9,0.2
Sucre,2022,12,2022-12-01,98.9,53.9,81.8,53.4,62.0,2.3,0.8
Tolima,2022,12,2022-12-01,99.5,77.3,88.4,72.2,76.7,12.5,0.2
Valle,2022,12,2022-12-01,99.5,82.0,96.9,89.6,95.2,23.5,0.1
Vaupes,2022,12,2022-12-01,91.4,0.0,29.4,26.0,28.8,0.1,8.6
Vichada,2022,12,2022-12-01,45.1,0.0,36.8,2.0,32.8,0.4,51.9
Amazonas,2023,1,2023-01-01,89.8,0.0,41.7,38.7,57.6,0.5,8.3
Antioquia,2023,1,2023-01-01,99.9,65.8,94.3,81.6,92.1,21.5,0.1
Arauca,2023,1,2023-01-01,98.4,24.8,70.9,51.3,66.8,0.6,1.4
Atlantico,2023,1,2023-01-01,99.9,92.2,96.3,89.7,95.4,21.1,0.0
Bogota_DC,2023,1,2023-01-01,100.0,92.7,99.4,99.3,99.9,34.8,0.0
Bolivar,2023,1,2023-01-01,99.4,67.8,86.8,48.2,74.1,11.6,0.6
Boyaca,2023,1,2023-01-01,99.7,65.0,95.3,65.6,69.5,2.4,0.1
Caldas,2023,1,2023-01-01,99.8,70.5,93.5,83.6,87.6,14.4,0.1
Caqueta,2023,1,2023-01-01,98.5,55.6,79.2,66.2,75.5,1.6,1.3
Casanare,2023,1,2023-01-01,97.8,85.5,83.2,72.2,78.9,1.8,1.4
Cauca,2023,1,2023-01-01,98.8,28.9,78.9,42.9,45.0,2.8,0.9
Cesar,2023,1,2023-01-01,98.0,69.8,89.2,75.9,79.6,5.2,1.8
Choco,2023,1,2023-01-01,95.5,0.0,28.4,16.2,49.5,0.6,4.4
Cordoba,2023,1,2023-01-01,99.6,51.7,75.1,46.5,58.4,1.9,0.3
Cundinamarca,2023,1,2023-01-01,99.8,80.7,97.1,80.2,88.7,11.4,0.0
Guainia,2023,1,2023-01-01,82.6,0.0,35.1,29.3,34.1,0.2,15.6
Guaviare,2023,1,2023-01-01,94.5,19.0,59.1,51.3,67.4,0.1,4.5
Huila,2023,1,2023-01-01,99.4,68.4,90.0,68.1,69.2,9.3,0.3
La_Guajira,2023,1,2023-01-01,69.1,42.5,54.6,43.6,51.1,1.3,29.9
Magdalena,2023,1,2023-01-01,99.8,66.8,87.6,54.1,78.4,5.3,0.2
Meta,2023,1,2023-01-01,98.4,69.8,83.8,77.8,85.9,5.6,1.2
Narino,2023,1,2023-01-01,97.9,13.7,74.5,43.4,58.8,3.9,2.0
Norte_de_Santander,2023,1,2023-01-01,99.5,61.3,87.2,84.0,85.9,8.2,0.4
Putumayo,2023,1,2023-01-01,94.5,17.1,54.5,55.3,63.2,0.3,5.2
Quindio,2023,1,2023-01-01,99.6,84.8,97.7,88.5,95.0,16.3,0.0
Risaralda,2023,1,2023-01-01,99.6,82.3,96.7,86.0,91.5,27.4,0.3
Santander,2023,1,2023-01-01,99.6,71.3,91.9,77.1,81.0,23.3,0.2
Sucre,2023,1,2023-01-01,99.4,54.1,89.6,53.3,62.3,2.5,0.4
Tolima,2023,1,2023-01-01,99.5,77.8,89.0,74.3,76.7,8.5,0.2
Valle,2023,1,2023-01-01,99.5,83.6,97.1,90.6,94.8,16.7,0.3
Vaupes,2023,1,2023-01-01,88.7,0.0,27.0,24.1,28.0,0.0,11.2
Vichada,2023,1,2023-01-01,35.8,0.0,23.5,1.8,24.4,0.3,63.6
Amazonas,2023,2,2023-02-01,89.8,0.0,41.7,38.7,57.6,0.5,8.3
Antioquia,2023,2,2023-02-01,99.9,65.8,94.3,81.6,92.1,21.5,0.1
Arauca,2023,2,2023-02-01,98.4,24.8,70.9,51.3,66.8,0.6,1.4
Atlantico,2023,2,2023-02-01,99.9,92.2,96.3,89.7,95.4,21.1,0.0
Bogota_DC,2023,2,2023-02-01,100.0,92.7,99.4,99.3,99.9,34.8,0.0
Bolivar,2023,2,2023-02-01,99.4,67.8,86.8,48.2,74.1,11.6,0.6
Boyaca,2023,2,2023-02-01,99.7,65.0,95.3,65.6,69.5,2.4,0.1
Caldas,2023,2,2023-02-01,99.8,70.5,93.5,83.6,87.6,14.4,0.1
Caqueta,2023,2,2023-02-01,98.5,55.6,79.2,66.2,75.5,1.6,1.3
Casanare,2023,2,2023-02-01,97.8,85.5,83.2,72.2,78.9,1.8,1.4
Cauca,2023,2,2023-02-01,98.8,28.9,78.9,42.9,45.0,2.8,0.9
Cesar,2023,2,2023-02-01,98.0,69.8,89.2,75.9,79.6,5.2,1.8
Choco,2023,2,2023-02-01,95.5,0.0,28.4,16.2,49.5,0.6,4.4
Cordoba,2023,2,2023-02-01,99.6,51.7,75.1,46.5,58.4,1.9,0.3
Cundinamarca,2023,2,2023-02-01,99.8,80.7,97.1,80.2,88.7,11.4,0.0
Guainia,2023,2,2023-02-01,82.6,0.0,35.1,29.3,34.1,0.2,15.6
Guaviare,2023,2,2023-02-01,94.5,19.0,59.1,51.3,67.4,0.1,4.5
Huila,2023,2,2023-02-01,99.4,68.4,90.0,68.1,69.2,9.3,0.3
La_Guajira,2023,2,2023-02-01,69.1,42.5,54.6,43.6,51.1,1.3,29.9
Magdalena,2023,2,2023-02-01,99.8,66.8,87.6,54.1,78.4,5.3,0.2
Meta,2023,2,2023-02-01,98.4,69.8,83.8,77.8,85.9,5.6,1.2
Narino,2023,2,2023-02-01,97.9,13.7,74.5,43.4,58.8,3.9,2.0
Norte_de_Santander,2023,2,2023-02-01,99.5,61.3,87.2,84.0,85.9,8.2,0.4
Putumayo,2023,2,2023-02-01,94.5,17.1,54.5,55.3,63.2,0.3,5.2
Quindio,2023,2,2023-02-01,99.6,84.8,97.7,88.5,95.0,16.3,0.0
Risaralda,2023,2,2023-02-01,99.6,82.3,96.7,86.0,91.5,27.4,0.3
Santander,2023,2,2023-02-01,99.6,71.3,91.9,77.1,81.0,23.3,0.2
Sucre,2023,2,2023-02-01,99.4,54.1,89.6,53.3,62.3,2.5,0.4
Tolima,2023,2,2023-02-01,99.5,77.8,89.0,74.3,76.7,8.5,0.2
Valle,2023,2,2023-02-01,99.5,83.6,97.1,90.6,94.8,16.7,0.3
Vaupes,2023,2,2023-02-01,88.7,0.0,27.0,24.1,28.0,0.0,11.2
Vichada,2023,2,2023-02-01,35.8,0.0,23.5,1.8,24.4,0.3,63.6
Amazonas,2023,3,2023-03-01,89.8,0.0,41.7,38.7,57.6,0.5,8.3
Antioquia,2023,3,2023-03-01,99.9,65.8,94.3,81.6,92.1,21.5,0.1
Arauca,2023,3,2023-03-01,98.4,24.8,70.9,51.3,66.8,0.6,1.4
Atlantico,2023,3,2023-03-01,99.9,92.2,96.3,89.7,95.4,21.1,0.0
Bogota_DC,2023,3,2023-03-01,100.0,92.7,99.4,99.3,99.9,34.8,0.0
Bolivar,2023,3,2023-03-01,99.4,67.8,86.8,48.2,74.1,11.6,0.6
Boyaca,2023,3,2023-03-01,99.7,65.0,95.3,65.6,69.5,2.4,0.1
Caldas,2023,3,2023-03-01,99.8,70.5,93.5,83.6,87.6,14.4,0.1
Caqueta,2023,3,2023-03-01,98.5,55.6,79.2,66.2,75.5,1.6,1.3
Casanare,2023,3,2023-03-01,97.8,85.5,83.2,72.2,78.9,1.8,1.4
Cauca,2023,3,2023-03-01,98.8,28.9,78.9,42.9,45.0,2.8,0.9
Cesar,2023,3,2023-03-01,98.0,69.8,89.2,75.9,79.6,5.2,1.8
Choco,2023,3,2023-03-01,95.5,0.0,28.4,16.2,49.5,0.6,4.4
Cordoba,2023,3,2023-03-01,99.6,51.7,75.1,46.5,58.4,1.9,0.3
Cundinamarca,2023,3,2023-03-01,99.8,80.7,97.1,80.2,88.7,11.4,0.0
Guainia,2023,3,2023-03-01,82.6,0.0,35.1,29.3,34.1,0.2,15.6
Guaviare,2023,3,2023-03-01,94.5,19.0,59.1,51.3,67.4,0.1,4.5
Huila,2023,3,2023-03-01,99.4,68.4,90.0,68.1,69.2,9.3,0.3
La_Guajira,2023,3,2023-03-01,69.1,42.5,54.6,43.6,51.1,1.3,29.9
Magdalena,2023,3,2023-03-01,99.8,66.8,87.6,54.1,78.4,5.3,0.2
Meta,2023,3,2023-03-01,98.4,69.8,83.8,77.8,85.9,5.6,1.2
Narino,2023,3,2023-03-01,97.9,13.7,74.5,43.4,58.8,3.9,2.0
Norte_de_Santander,2023,3,2023-03-01,99.5,61.3,87.2,84.0,85.9,8.2,0.4
Putumayo,2023,3,2023-03-01,94.5,17.1,54.5,55.3,63.2,0.3,5.2
Quindio,2023,3,2023-03-01,99.6,84.8,97.7,88.5,95.0,16.3,0.0
Risaralda,2023,3,2023-03-01,99.6,82.3,96.7,86.0,91.5,27.4,0.3
Santander,2023,3,2023-03-01,99.6,71.3,91.9,77.1,81.0,23.3,0.2
Sucre,2023,3,2023-03-01,99.4,54.1,89.6,53.3,62.3,2.5,0.4
Tolima,2023,3,2023-03-01,99.5,77.8,89.0,74.3,76.7,8.5,0.2
Valle,2023,3,2023-03-01,99.5,83.6,97.1,90.6,94.8,16.7,0.3
Vaupes,2023,3,2023-03-01,88.7,0.0,27.0,24.1,28.0,0.0,11.2
Vichada,2023,3,2023-03-01,35.8,0.0,23.5,1.8,24.4,0.3,63.6
Amazonas,2023,4,2023-04-01,89.8,0.0,41.7,38.7,57.6,0.5,8.3
Antioquia,2023,4,2023-04-01,99.9,65.8,94.3,81.6,92.1,21.5,0.1
Arauca,2023,4,2023-04-01,98.4,24.8,70.9,51.3,66.8,0.6,1.4
Atlantico,2023,4,2023-04-01,99.9,92.2,96.3,89.7,95.4,21.1,0.0
Bogota_DC,2023,4,2023-04-01,100.0,92.7,99.4,99.3,99.9,34.8,0.0
Bolivar,2023,4,2023-04-01,99.4,67.8,86.8,48.2,74.1,11.6,0.6
Boyaca,2023,4,2023-04-01,99.7,65.0,95.3,65.6,69.5,2.4,0.1
Caldas,2023,4,2023-04-01,99.8,70.5,93.5,83.6,87.6,14.4,0.1
Caqueta,2023,4,2023-04-01,98.5,55.6,79.2,66.2,75.5,1.6,1.3
Casanare,2023,4,2023-04-01,97.8,85.5,83.2,72.2,78.9,1.8,1.4
Cauca,2023,4,2023-04-01,98.8,28.9,78.9,42.9,45.0,2.8,0.9
Cesar,2023,4,2023-04-01,98.0,69.8,89.2,75.9,79.6,5.2,1.8
Choco,2023,4,2023-04-01,95.5,0.0,28.4,16.2,49.5,0.6,4.4
Cordoba,2023,4,2023-04-01,99.6,51.7,75.1,46.5,58.4,1.9,0.3
Cundinamarca,2023,4,2023-04-01,99.8,80.7,97.1,80.2,88.7,11.4,0.0
Guainia,2023,4,2023-04-01,82.6,0.0,35.1,29.3,34.1,0.2,15.6
Guaviare,2023,4,2023-04-01,94.5,19.0,59.1,51.3,67.4,0.1,4.5
Huila,2023,4,2023-04-01,99.4,68.4,90.0,68.1,69.2,9.3,0.3
La_Guajira,2023,4,2023-04-01,69.1,42.5,54.6,43.6,51.1,1.3,29.9
Magdalena,2023,4,2023-04-01,99.8,66.8,87.6,54.1,78.4,5.3,0.2
Meta,2023,4,2023-04-01,98.4,69.8,83.8,77.8,85.9,5.6,1.2
Narino,2023,4,2023-04-01,97.9,13.7,74.5,43.4,58.8,3.9,2.0
Norte_de_Santander,2023,4,2023-04-01,99.5,61.3,87.2,84.0,85.9,8.2,0.4
Putumayo,2023,4,2023-04-01,94.5,17.1,54.5,55.3,63.2,0.3,5.2
Quindio,2023,4,2023-04-01,99.6,84.8,97.7,88.5,95.0,16.3,0.0
Risaralda,2023,4,2023-04-01,99.6,82.3,96.7,86.0,91.5,27.4,0.3
Santander,2023,4,2023-04-01,99.6,71.3,91.9,77.1,81.0,23.3,0.2
Sucre,2023,4,2023-04-01,99.4,54.1,89.6,53.3,62.3,2.5,0.4
Tolima,2023,4,2023-04-01,99.5,77.8,89.0,74.3,76.7,8.5,0.2
Valle,2023,4,2023-04-01,99.5,83.6,97.1,90.6,94.8,16.7,0.3
Vaupes,2023,4,2023-04-01,88.7,0.0,27.0,24.1,28.0,0.0,11.2
Vichada,2023,4,2023-04-01,35.8,0.0,23.5,1.8,24.4,0.3,63.6
Amazonas,2023,5,2023-05-01,89.8,0.0,41.7,38.7,57.6,0.5,8.3
Antioquia,2023,5,2023-05-01,99.9,65.8,94.3,81.6,92.1,21.5,0.1
Arauca,2023,5,2023-05-01,98.4,24.8,70.9,51.3,66.8,0.6,1.4
Atlantico,2023,5,2023-05-01,99.9,92.2,96.3,89.7,95.4,21.1,0.0
Bogota_DC,2023,5,2023-05-01,100.0,92.7,99.4,99.3,99.9,34.8,0.0
Bolivar,2023,5,2023-05-01,99.4,67.8,86.8,48.2,74.1,11.6,0.6
Boyaca,2023,5,2023-05-01,99.7,65.0,95.3,65.6,69.5,2.4,0.1
Caldas,2023,5,2023-05-01,99.8,70.5,93.5,83.6,87.6,14.4,0.1
Caqueta,2023,5,2023-05-01,98.5,55.6,79.2,66.2,75.5,1.6,1.3
Casanare,2023,5,2023-05-01,97.8,85.5,83.2,72.2,78.9,1.8,1.4
Cauca,2023,5,2023-05-01,98.8,28.9,78.9,42.9,45.0,2.8,0.9
Cesar,2023,5,2023-05-01,98.0,69.8,89.2,75.9,79.6,5.2,1.8
Choco,2023,5,2023-05-01,95.5,0.0,28.4,16.2,49.5,0.6,4.4
Cordoba,2023,5,2023-05-01,99.6,51.7,75.1,46.5,58.4,1.9,0.3
Cundinamarca,2023,5,2023-05-01,99.8,80.7,97.1,80.2,88.7,11.4,0.0
Guainia,2023,5,2023-05-01,82.6,0.0,35.1,29.3,34.1,0.2,15.6
Guaviare,2023,5,2023-05-01,94.5,19.0,59.1,51.3,67.4,0.1,4.5
Huila,2023,5,2023-05-01,99.4,68.4,90.0,68.1,69.2,9.3,0.3
La_Guajira,2023,5,2023-05-01,69.1,42.5,54.6,43.6,51.1,1.3,29.9
Magdalena,2023,5,2023-05-01,99.8,66.8,87.6,54.1,78.4,5.3,0.2
Meta,2023,5,2023-05-01,98.4,69.8,83.8,77.8,85.9,5.6,1.2
Narino,2023,5,2023-05-01,97.9,13.7,74.5,43.4,58.8,3.9,2.0
Norte_de_Santander,2023,5,2023-05-01,99.5,61.3,87.2,84.0,85.9,8.2,0.4
Putumayo,2023,5,2023-05-01,94.5,17.1,54.5,55.3,63.2,0.3,5.2
Quindio,2023,5,2023-05-01,99.6,84.8,97.7,88.5,95.0,16.3,0.0
Risaralda,2023,5,2023-05-01,99.6,82.3,96.7,86.0,91.5,27.4,0.3
Santander,2023,5,2023-05-01,99.6,71.3,91.9,77.1,81.0,23.3,0.2
Sucre,2023,5,2023-05-01,99.4,54.1,89.6,53.3,62.3,2.5,0.4
Tolima,2023,5,2023-05-01,99.5,77.8,89.0,74.3,76.7,8.5,0.2
Valle,2023,5,2023-05-01,99.5,83.6,97.1,90.6,94.8,16.7,0.3
Vaupes,2023,5,2023-05-01,88.7,0.0,27.0,24.1,28.0,0.0,11.2
Vichada,2023,5,2023-05-01,35.8,0.0,23.5,1.8,24.4,0.3,63.6
Amazonas,2023,6,2023-06-01,89.8,0.0,41.7,38.7,57.6,0.5,8.3
Antioquia,2023,6,2023-06-01,99.9,65.8,94.3,81.6,92.1,21.5,0.1
Arauca,2023,6,2023-06-01,98.4,24.8,70.9,51.3,66.8,0.6,1.4
Atlantico,2023,6,2023-06-01,99.9,92.2,96.3,89.7,95.4,21.1,0.0
Bogota_DC,2023,6,2023-06-01,100.0,92.7,99.4,99.3,99.9,34.8,0.0
Bolivar,2023,6,2023-06-01,99.4,67.8,86.8,48.2,74.1,11.6,0.6
Boyaca,2023,6,2023-06-01,99.7,65.0,95.3,65.6,69.5,2.4,0.1
Caldas,2023,6,2023-06-01,99.8,70.5,93.5,83.6,87.6,14.4,0.1
Caqueta,2023,6,2023-06-01,98.5,55.6,79.2,66.2,75.5,1.6,1.3
Casanare,2023,6,2023-06-01,97.8,85.5,83.2,72.2,78.9,1.8,1.4
Cauca,2023,6,2023-06-01,98.8,28.9,78.9,42.9,45.0,2.8,0.9
Cesar,2023,6,2023-06-01,98.0,69.8,89.2,75.9,79.6,5.2,1.8
Choco,2023,6,2023-06-01,95.5,0.0,28.4,16.2,49.5,0.6,4.4
Cordoba,2023,6,2023-06-01,99.6,51.7,75.1,46.5,58.4,1.9,0.3
Cundinamarca,2023,6,2023-06-01,99.8,80.7,97.1,80.2,88.7,11.4,0.0
Guainia,2023,6,2023-06-01,82.6,0.0,35.1,29.3,34.1,0.2,15.6
Guaviare,2023,6,2023-06-01,94.5,19.0,59.1,51.3,67.4,0.1,4.5
Huila,2023,6,2023-06-01,99.4,68.4,90.0,68.1,69.2,9.3,0.3
La_Guajira,2023,6,2023-06-01,69.1,42.5,54.6,43.6,51.1,1.3,29.9
Magdalena,2023,6,2023-06-01,99.8,66.8,87.6,54.1,78.4,5.3,0.2
Meta,2023,6,2023-06-01,98.4,69.8,83.8,77.8,85.9,5.6,1.2
Narino,2023,6,2023-06-01,97.9,13.7,74.5,43.4,58.8,3.9,2.0
Norte_de_Santander,2023,6,2023-06-01,99.5,61.3,87.2,84.0,85.9,8.2,0.4
Putumayo,2023,6,2023-06-01,94.5,17.1,54.5,55.3,63.2,0.3,5.2
Quindio,2023,6,2023-06-01,99.6,84.8,97.7,88.5,95.0,16.3,0.0
Risaralda,2023,6,2023-06-01,99.6,82.3,96.7,86.0,91.5,27.4,0.3
Santander,2023,6,2023-06-01,99.6,71.3,91.9,77.1,81.0,23.3,0.2
Sucre,2023,6,2023-06-01,99.4,54.1,89.6,53.3,62.3,2.5,0.4
Tolima,2023,6,2023-06-01,99.5,77.8,89.0,74.3,76.7,8.5,0.2
Valle,2023,6,2023-06-01,99.5,83.6,97.1,90.6,94.8,16.7,0.3
Vaupes,2023,6,2023-06-01,88.7,0.0,27.0,24.1,28.0,0.0,11.2
Vichada,2023,6,2023-06-01,35.8,0.0,23.5,1.8,24.4,0.3,63.6
Amazonas,2023,7,2023-07-01,89.8,0.0,41.7,38.7,57.6,0.5,8.3
Antioquia,2023,7,2023-07-01,99.9,65.8,94.3,81.6,92.1,21.5,0.1
Arauca,2023,7,2023-07-01,98.4,24.8,70.9,51.3,66.8,0.6,1.4
Atlantico,2023,7,2023-07-01,99.9,92.2,96.3,89.7,95.4,21.1,0.0
Bogota_DC,2023,7,2023-07-01,100.0,92.7,99.4,99.3,99.9,34.8,0.0
Bolivar,2023,7,2023-07-01,99.4,67.8,86.8,48.2,74.1,11.6,0.6
Boyaca,2023,7,2023-07-01,99.7,65.0,95.3,65.6,69.5,2.4,0.1
Caldas,2023,7,2023-07-01,99.8,70.5,93.5,83.6,87.6,14.4,0.1
Caqueta,2023,7,2023-07-01,98.5,55.6,79.2,66.2,75.5,1.6,1.3
Casanare,2023,7,2023-07-01,97.8,85.5,83.2,72.2,78.9,1.8,1.4
Cauca,2023,7,2023-07-01,98.8,28.9,78.9,42.9,45.0,2.8,0.9
Cesar,2023,7,2023-07-01,98.0,69.8,89.2,75.9,79.6,5.2,1.8
Choco,2023,7,2023-07-01,95.5,0.0,28.4,16.2,49.5,0.6,4.4
Cordoba,2023,7,2023-07-01,99.6,51.7,75.1,46.5,58.4,1.9,0.3
Cundinamarca,2023,7,2023-07-01,99.8,80.7,97.1,80.2,88.7,11.4,0.0
Guainia,2023,7,2023-07-01,82.6,0.0,35.1,29.3,34.1,0.2,15.6
Guaviare,2023,7,2023-07-01,94.5,19.0,59.1,51.3,67.4,0.1,4.5
Huila,2023,7,2023-07-01,99.4,68.4,90.0,68.1,69.2,9.3,0.3
La_Guajira,2023,7,2023-07-01,69.1,42.5,54.6,43.6,51.1,1.3,29.9
Magdalena,2023,7,2023-07-01,99.8,66.8,87.6,54.1,78.4,5.3,0.2
Meta,2023,7,2023-07-01,98.4,69.8,83.8,77.8,85.9,5.6,1.2
Narino,2023,7,2023-07-01,97.9,13.7,74.5,43.4,58.8,3.9,2.0
Norte_de_Santander,2023,7,2023-07-01,99.5,61.3,87.2,84.0,85.9,8.2,0.4
Putumayo,2023,7,2023-07-01,94.5,17.1,54.5,55.3,63.2,0.3,5.2
Quindio,2023,7,2023-07-01,99.6,84.8,97.7,88.5,95.0,16.3,0.0
Risaralda,2023,7,2023-07-01,99.6,82.3,96.7,86.0,91.5,27.4,0.3
Santander,2023,7,2023-07-01,99.6,71.3,91.9,77.1,81.0,23.3,0.2
Sucre,2023,7,2023-07-01,99.4,54.1,89.6,53.3,62.3,2.5,0.4
Tolima,2023,7,2023-07-01,99.5,77.8,89.0,74.3,76.7,8.5,0.2
Valle,2023,7,2023-07-01,99.5,83.6,97.1,90.6,94.8,16.7,0.3
Vaupes,2023,7,2023-07-01,88.7,0.0,27.0,24.1,28.0,0.0,11.2
Vichada,2023,7,2023-07-01,35.8,0.0,23.5,1.8,24.4,0.3,63.6
Amazonas,2023,8,2023-08-01,89.8,0.0,41.7,38.7,57.6,0.5,8.3
