Tolima,444,437,"98,4",297,"66,9",381,"85,8",319,"71,9",326,"73,5",98,"22,2",5,"1,0",479,473,"98,7",322,"67,2",413,"86,1",335,"69,9",346,"72,3",90,"18,9",4,"0,8",467,465,"99,5",327,"70,1",422,"90,4",337,"72,1",348,"74,5",76,"16,2",1,"0,3",480,475,"98,9",351,"73,2",430,"89,6",345,"71,9",364,"75,9",78,"16,3",3,"0,6",488,485,"99,5",377,"77,3",431,"88,4",352,"72,2",374,"76,7",61,"12,5",1,"0,2",496,493,"99,5",385,"77,8",441,"89,0",368,"74,3",380,"76,7",42,"8,5",1,"0,2",504,502,"99,6",399,"79,2",456,"90,4",379,"75,3",390,"77,4"
Valle,1.460,1.446,"99,1",1.108,"75,9",1393,"95,4",1289,"88,3",1.387,"95,0",527,"36,1",7,"0,5",1472,1.463,"99,4",1.169,"79,4",1.397,"94,9",1.307,"88,8",1.405,"95,4",479,"32,6",3,"0,2",1.551,1.549,"99,9",1.279,"82,5",1.507,"97,2",1410,"90,9",1.477,"95,3",519,"33,5",1,"0,1",1511,1.502,"99,4",1.258,"83,2",1.450,"95,9",1.337,"88,5",1.441,"95,4",411,"27,2",6,"0,4",1.544,1.537,"99,5",1.267,"82,0",1497,"96,9",1384,"89,6",1471,"95,2",363,"23,5",2,"0,1",1.577,1.570,"99,5",1.318,"83,6",1532,"97,1",1430,"90,6",1494,"94,8",263,"16,7",5,"0,3",1.610,1.605,"99,7",1.347,"83,7",1570,"97,5",1467,"91,1",1548,"96,1"
Vaupés,9,4,"40,9",0,"0,0",2,"24,6",2,"20,3",2,"23,4",0,"0,1",5,"57,5",10,5,"49,6",0,"0,0",2,"25,2",2,"19,6",2,"22,1",0,"0,7",5,"46,5",11,10,"87,1",0,"0,0",3,"31,4",3,"28,3",4,"32,5",0,"1,1",1,"12,7",12,11,"88,3",0,"0,0",4,"30,3",4,"29,3",4,"31,4",0,"0,2",1,"11,5",14,13,"91,4",0,"0,0",4,"29,4",4,"26,0",4,"28,8",0,"0,1",1,"8,6",15,13,"88,7",0,"0,0",4,"27,0",4,"24,1",4,"28,0",0,"0,0",2,"11,2",15,14,"89,9",0,"0,0",4,"27,7",4,"24,6",4,"28,4"
Vichada,31,16,"51,5",0,"0,0",14,"45,6",1,"2,6",10,"30,9",0,"0,3",14,"43,4",31,12,"39,4",0,"0,0",10,"33,5",0,"0,9",10,"32,0",0,"0,1",18,"58,2",37,13,"34,1",0,"0,0",13,"34,9",0,"1,2",10,"25,9",0,"0,1",21,"57,9",43,11,"24,8",0,"0,0",8,"19,1",1,"1,5",10,"22,5",0,"0,1",32,"73,8",33,15,"45,1",0,"0,0",12,"36,8",1,"2,0",11,"32,8",0,"0,4",17,"51,9",49,17,"35,8",0,"0,0",11,"23,5",1,"1,8",12,"24,4",0,"0,3",31,"63,6",41,18,"43,4",0,"0,0",20,"48,0",0,"0,3",10,"23,7"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: DANE - Encuesta Nacional de Calidad de Vida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notas: 
- Datos expandidos con proyecciones de población con base en el CNPV 2018
- Resultados en miles. La diferencia en la sumatoria de variables obedece al sistema de aproximación de dígitos.
* En 2024 no se indagó por el acceso a teléfono fijo (pregunta pasó a ser bienal).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actualizado el 24 de abril de 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
