Atlántico,647,645,"99,7",579,"89,5",637,"98,5",533,"82,4",617,"95,4",212,"32,7",1,"0,2",679,677,"99,7",596,"87,7",664,"97,8",576,"84,8",654,"96,3",177,"26,1",2,"0,3",720,718,"99,8",647,"89,9",699,"97,1",639,"88,7",687,"95,5",234,"32,5",1,"0,2",754,754,"99,9",676,"89,6",738,"97,8",669,"88,8",720,"95,4",225,"29,9",1,"0,1",774,774,"99,9",721,"93,1",757,"97,7",674,"87,0",743,"96,0",205,"26,4",1,"0,1",795,795,"99,9",733,"92,2",766,"96,3",713,"89,7",758,"95,4",168,"21,1",0,"0,0",817,816,"99,9",741,"90,7",799,"97,8",698,"85,4",790,"96,7"
Bogotá D.C.,2.601,2.598,"99,9",2.407,"92,5",2.590,"99,6",2.585,"99,4",2.582,"99,2",1.492,"57,4",0,"0,0",2.692,2.692,"100,0",2.434,"90,4",2.689,"99,9",2.684,"99,7",2.687,"99,8",1.359,"50,5",0,"0,0",2.692,2.692,"100,0",2.520,"93,6",2.675,"99,4",2.671,"99,2",2.688,"99,8",1.373,"51,0",0,"0,0",2.865,2.864,"100,0",2.659,"92,8",2.838,"99,1",2.828,"98,7",2.847,"99,4",1.390,"48,5",1,"0,0",2.940,2.940,"100,0",2.750,"93,5",2.927,"99,6",2.914,"99,1",2.927,"99,6",1.209,"41,1",0,"0,0",3.018,3.018,"100,0",2.797,"92,7",3.001,"99,4",2.997,"99,3",3.015,"99,9",1.051,"34,8",0,"0,0",3.098,3.095,"99,9",2.945,"95,1",3.094,"99,9",3.077,"99,3",3.092,"99,8"
Bolívar,582,561,"96,3",400,"68,7",446,"76,5",267,"45,9",421,"72,3",88,"15,2",20,"3,4",601,591,"98,3",411,"68,3",490,"81,4",273,"45,4",427,"71,0",84,"14,0",9,"1,6",656,638,"97,3",417,"63,5",524,"79,9",296,"45,2",483,"73,6",104,"15,9",16,"2,4",656,629,"95,9",423,"64,5",529,"80,7",307,"46,9",458,"69,7",102,"15,5",23,"3,6",674,664,"98,5",453,"67,2",580,"86,1",342,"50,8",510,"75,7",59,"8,8",6,"1,0",692,688,"99,4",469,"67,8",600,"86,8",334,"48,2",512,"74,1",80,"11,6",4,"0,6",710,703,"99,0",481,"67,8",607,"85,5",370,"52,1",533,"75,1"
Boyacá,424,418,"98,6",209,"49,2",347,"81,8",256,"60,3",264,"62,2",30,"7,0",5,"1,1",447,440,"98,4",248,"55,4",382,"85,5",277,"61,9",285,"63,7",18,"4,0",5,"1,1",423,421,"99,5",245,"57,8",394,"93,2",267,"63,2",278,"65,7",22,"5,2",1,"0,2",433,428,"98,9",261,"60,3",384,"88,6",271,"62,5",285,"65,8",18,"4,1",3,"0,8",441,438,"99,4",279,"63,3",394,"89,5",289,"65,6",296,"67,1",10,"2,3",1,"0,3",448,447,"99,7",291,"65,0",427,"95,3",294,"65,6",311,"69,5",11,"2,4",0,"0,1",455,454,"99,6",293,"64,3",427,"93,7",296,"65,0",315,"69,3"
Caldas,340,339,"99,8",218,"64,2",308,"90,8",283,"83,1",292,"85,9",86,"25,5",0,"0,1",350,349,"99,8",223,"63,7",311,"88,8",285,"81,3",300,"85,7",73,"20,8",0,"0,1",367,366,"99,9",243,"66,2",338,"92,1",306,"83,6",326,"89,0",80,"21,7",0,"0,1",355,353,"99,2",246,"69,1",320,"89,9",296,"83,3",304,"85,5",72,"20,1",3,"0,7",363,362,"99,8",256,"70,6",334,"92,1",304,"83,6",315,"86,6",74,"20,4",0,"0,1",371,370,"99,8",262,"70,5",347,"93,5",310,"83,6",325,"87,6",53,"14,4",0,"0,1",380,380,"100,0",274,"72,3",352,"92,8",310,"81,6",339,"89,3"
Caquetá,133,122,"91,7",45,"33,7",96,"72,1",84,"63,1",92,"69,2",8,"5,8",9,"7,0",134,123,"92,2",45,"33,4",96,"71,8",81,"60,5",94,"70,1",6,"4,1",10,"7,1",131,124,"94,5",58,"44,0",101,"77,3",85,"65,1",98,"74,9",4,"2,7",6,"4,7",139,128,"91,6",67,"48,1",102,"72,9",89,"63,8",103,"73,8",3,"1,8",11,"7,8",144,140,"97,4",67,"46,4",116,"80,6",92,"64,1",108,"74,9",3,"2,4",3,"2,2",148,146,"98,5",82,"55,6",117,"79,2",98,"66,2",112,"75,5",2,"1,6",2,"1,3",153,151,"98,6",88,"57,4",116,"76,0",105,"68,9",112,"73,5"
Casanare,140,136,"97,7",102,"73,0",118,"84,4",99,"70,9",108,"77,6",4,"3,0",2,"1,5",146,141,"96,6",108,"74,3",121,"82,8",102,"69,6",112,"76,8",4,"2,6",3,"2,2",148,143,"96,5",112,"76,0",121,"81,9",102,"69,2",114,"77,1",3,"2,1",3,"2,2",154,147,"96,0",121,"78,7",125,"81,1",110,"71,6",120,"78,0",2,"1,6",4,"2,5",157,153,"97,2",132,"83,8",129,"82,2",111,"70,8",123,"78,5",2,"1,5",3,"1,7",161,157,"97,8",137,"85,5",134,"83,2",116,"72,2",127,"78,9",3,"1,8",2,"1,4",165,162,"98,3",141,"85,7",140,"84,7",116,"70,3",133,"80,7"
Cauca,456,445,"97,5",134,"29,5",358,"78,4",203,"44,4",205,"45,0",23,"5,1",9,"1,9",481,471,"98,1",139,"28,9",379,"78,9",201,"41,8",205,"42,7",19,"4,0",6,"1,2",480,467,"97,3",132,"27,6",395,"82,3",202,"42,0",208,"43,4",27,"5,6",9,"2,0",559,509,"91,1",156,"27,9",406,"72,6",228,"40,8",247,"44,2",19,"3,3",43,"7,7",574,559,"97,3",152,"26,5",430,"74,8",233,"40,5",245,"42,6",27,"4,8",13,"2,3",590,583,"98,8",171,"28,9",465,"78,9",253,"42,9",265,"45,0",17,"2,8",5,"0,9",604,601,"99,4",166,"27,4",513,"84,8",257,"42,5",264,"43,7"
Cesar,341,328,"96,4",219,"64,4",298,"87,5",257,"75,5",270,"79,3",39,"11,4",11,"3,1",365,353,"96,5",246,"67,2",316,"86,5",267,"73,1",288,"78,8",31,"8,6",11,"2,9",376,366,"97,5",238,"63,4",337,"89,7",270,"71,9",304,"80,9",29,"7,7",8,"2,2",400,390,"97,6",276,"69,0",350,"87,5",309,"77,4",321,"80,5",37,"9,2",8,"2,1",412,405,"98,2",282,"68,5",362,"87,8",305,"74,1",322,"78,1",38,"9,3",7,"1,6",425,416,"98,0",296,"69,8",379,"89,2",322,"75,9",338,"79,6",22,"5,2",8,"1,8",438,436,"99,6",323,"73,9",398,"90,9",337,"77,0",359,"82,1"
Córdoba,495,485,"98,0",234,"47,4",376,"76,0",192,"38,9",275,"55,6",31,"6,3",9,"1,9",510,502,"98,5",240,"47,2",349,"68,5",205,"40,2",287,"56,4",35,"6,9",5,"1,0",532,530,"99,5",253,"47,6",391,"73,5",228,"42,9",290,"54,6",21,"3,9",2,"0,3",589,580,"98,6",296,"50,3",417,"70,9",250,"42,5",337,"57,3",23,"4,0",8,"1,3",603,601,"99,7",295,"49,0",428,"71,0",260,"43,1",337,"55,9",22,"3,6",1,"0,2",618,615,"99,6",319,"51,7",464,"75,1",287,"46,5",361,"58,4",12,"1,9",2,"0,3",632,629,"99,6",315,"49,8",455,"72,0",273,"43,3",382,"60,4"
