departamento,fecha,temperatura_media
Amazonas,2025-01-01,24.871845756745127
Antioquia,2025-01-01,21.202885612281605
Arauca,2025-01-01,28.54278912766163
Atlantico,2025-01-01,27.69817230619077
Bolivar,2025-01-01,25.90452372238656
Boyaca,2025-01-01,16.781879412432755
Caldas,2025-01-01,18.14263495446211
Caqueta,2025-01-01,24.7105217642784
Casanare,2025-01-01,28.905137383009105
Cauca,2025-01-01,17.87828113612291
Cesar,2025-01-01,25.313382510257654
Choco,2025-01-01,24.28575823244661
Cordoba,2025-01-01,26.22772906175012
Cundinamarca,2025-01-01,18.33735988951179
Guainia,2025-01-01,25.633676941029403
Guajira,2025-01-01,25.98103196906284
Guaviare,2025-01-01,25.752788142133305
Huila,2025-01-01,19.08339458830421
Magdalena,2025-01-01,26.50108179722153
Meta,2025-01-01,26.38891153892557
Narino,2025-01-01,18.55724107721513
Norte De Santander,2025-01-01,20.260930062485475
Putumayo,2025-01-01,24.32053905498836
Quindio,2025-01-01,17.192330888632227
Risaralda,2025-01-01,17.480538468988
Santander,2025-01-01,21.232868348656496
Sucre,2025-01-01,26.74759204549358
Tolima,2025-01-01,20.49022078494628
Valle Del Cauca,2025-01-01,18.442055305719336
Vaupes,2025-01-01,24.1569948470679
Vichada,2025-01-01,28.88218173524516
Amazonas,2025-01-02,25.094142914725943
Antioquia,2025-01-02,21.3121351394072
Arauca,2025-01-02,27.803738623753325
Atlantico,2025-01-02,27.8357630066398
Bolivar,2025-01-02,26.05736159537821
Boyaca,2025-01-02,16.66318385939675
Caldas,2025-01-02,18.51669787931357
Caqueta,2025-01-02,24.50221308924283
Casanare,2025-01-02,28.48872180912596
Cauca,2025-01-02,17.86999287424496
Cesar,2025-01-02,25.82661704167525
Choco,2025-01-02,24.63345649588734
Cordoba,2025-01-02,26.5714717797397
Cundinamarca,2025-01-02,18.018059381006346
Guainia,2025-01-02,25.47241365381696
Guajira,2025-01-02,25.84114864863484
Guaviare,2025-01-02,25.82267956383332
Huila,2025-01-02,19.031108933310588
Magdalena,2025-01-02,26.88745082743861
Meta,2025-01-02,26.4660751210998
Narino,2025-01-02,18.73305170969293
Norte De Santander,2025-01-02,20.20085732169516
Putumayo,2025-01-02,24.11642282467943
Quindio,2025-01-02,17.34255105584425
Risaralda,2025-01-02,18.30588471397714
Santander,2025-01-02,21.02960877646816
Sucre,2025-01-02,27.009800132628328
Tolima,2025-01-02,20.564882189491787
Valle Del Cauca,2025-01-02,18.20526177843664
Vaupes,2025-01-02,25.169700972886265
Vichada,2025-01-02,28.2886799057026
Amazonas,2025-01-03,25.718957503126266
Antioquia,2025-01-03,21.13678129570237
Arauca,2025-01-03,26.49366413075488
Atlantico,2025-01-03,27.7340718240036
Bolivar,2025-01-03,25.740740522458985
Boyaca,2025-01-03,15.65398685850033
Caldas,2025-01-03,17.824957531236418
Caqueta,2025-01-03,23.832165096361003
Casanare,2025-01-03,26.316729982794246
Cauca,2025-01-03,17.15995450851116
Cesar,2025-01-03,25.89504846269032
Choco,2025-01-03,24.04035237786632
Cordoba,2025-01-03,26.52138919128397
Cundinamarca,2025-01-03,16.744237738918535
Guainia,2025-01-03,25.921795754271965
Guajira,2025-01-03,25.863801478493407
Guaviare,2025-01-03,24.60413542792449
Huila,2025-01-03,18.012479266105284
Magdalena,2025-01-03,26.97130808412196
Meta,2025-01-03,24.557087113986324
Narino,2025-01-03,18.506165661617995
Norte De Santander,2025-01-03,20.067833150196904
Putumayo,2025-01-03,23.707317467507053
Quindio,2025-01-03,16.9738120616857
Risaralda,2025-01-03,17.888478221450516
Santander,2025-01-03,20.52490093497415
Sucre,2025-01-03,26.817841232236976
Tolima,2025-01-03,19.76982703059376
Valle Del Cauca,2025-01-03,18.242405047833017
Vaupes,2025-01-03,25.32011012033293
Vichada,2025-01-03,27.39378581773902
Amazonas,2025-01-04,25.64931489733468
Antioquia,2025-01-04,20.94013766462576
Arauca,2025-01-04,26.222304015456608
Atlantico,2025-01-04,27.35920304958952
Bolivar,2025-01-04,25.47205503516744
Boyaca,2025-01-04,16.23230594664555
Caldas,2025-01-04,17.64695830231372
Caqueta,2025-01-04,24.26480857889436
Casanare,2025-01-04,26.336356520632474
Cauca,2025-01-04,17.2537713891578
Cesar,2025-01-04,25.313350665667524
Choco,2025-01-04,23.555536032836407
Cordoba,2025-01-04,26.028695814475608
Cundinamarca,2025-01-04,17.375562859639818
Guainia,2025-01-04,25.81935530375146
Guajira,2025-01-04,25.014357549363133
Guaviare,2025-01-04,24.73671234192589
Huila,2025-01-04,19.02950934951817
Magdalena,2025-01-04,26.365391206286205
Meta,2025-01-04,25.099702836033963
Narino,2025-01-04,18.207404261734936
Norte De Santander,2025-01-04,20.182636386848447
Putumayo,2025-01-04,23.72347235014557
Quindio,2025-01-04,16.844977691138585
Risaralda,2025-01-04,17.266155998889303
Santander,2025-01-04,20.73390333466349
Sucre,2025-01-04,26.520387290725804
Tolima,2025-01-04,19.58704618666716
Valle Del Cauca,2025-01-04,18.42469688616176
Vaupes,2025-01-04,25.140608327376807
Vichada,2025-01-04,26.964569952076825
Amazonas,2025-01-05,26.049709162684664
Antioquia,2025-01-05,21.333020401001
Arauca,2025-01-05,25.472986283396185
Atlantico,2025-01-05,27.02789701007793
Bolivar,2025-01-05,25.143838861707327
Boyaca,2025-01-05,15.777248121318218
Caldas,2025-01-05,17.952495343223635
Caqueta,2025-01-05,23.40410274435805
Casanare,2025-01-05,25.181153460210727
Cauca,2025-01-05,17.02068870601867
Cesar,2025-01-05,25.005468051079887
Choco,2025-01-05,24.455234986591304
Cordoba,2025-01-05,26.30934952772445
Cundinamarca,2025-01-05,16.796843952507718
Guainia,2025-01-05,24.88498676513528
Guajira,2025-01-05,24.766553186419145
Guaviare,2025-01-05,23.683003584893783
Huila,2025-01-05,18.063941800016693
Magdalena,2025-01-05,25.957682426318744
Meta,2025-01-05,23.76533584812088
Narino,2025-01-05,18.35965355411863
Norte De Santander,2025-01-05,19.582525126792103
Putumayo,2025-01-05,23.40980044168519
Quindio,2025-01-05,17.556141285926312
Risaralda,2025-01-05,17.710822564108238
Santander,2025-01-05,20.72735591605856
Sucre,2025-01-05,26.443832825194708
Tolima,2025-01-05,19.43807536586842
Valle Del Cauca,2025-01-05,18.255599485350004
Vaupes,2025-01-05,24.698299382160343
Vichada,2025-01-05,26.05185786083263
Amazonas,2025-01-06,25.588235596670724
Antioquia,2025-01-06,21.677007090938
Arauca,2025-01-06,25.578111507803754
Atlantico,2025-01-06,27.610667792177782
Bolivar,2025-01-06,25.838687872113365
Boyaca,2025-01-06,15.970239129705332
Caldas,2025-01-06,18.207290373468048
Caqueta,2025-01-06,24.507526983828857
Casanare,2025-01-06,26.04039737880914
Cauca,2025-01-06,17.88793924500284
Cesar,2025-01-06,25.74135179348272
Choco,2025-01-06,24.73038598220563
Cordoba,2025-01-06,26.60640675944672
Cundinamarca,2025-01-06,17.177691185690907
Guainia,2025-01-06,25.833341086437063
Guajira,2025-01-06,25.94427328288977
Guaviare,2025-01-06,24.44893264163976
Huila,2025-01-06,18.730535632225028
Magdalena,2025-01-06,26.73113038253589
Meta,2025-01-06,24.90813079613909
Narino,2025-01-06,19.05178651014445
Norte De Santander,2025-01-06,20.22286224842088
Putumayo,2025-01-06,24.35205450826315
Quindio,2025-01-06,17.43947595960192
Risaralda,2025-01-06,17.974064782890594
Santander,2025-01-06,21.09002486345328
Sucre,2025-01-06,26.99173517053059
Tolima,2025-01-06,19.621894005589866
Valle Del Cauca,2025-01-06,18.81298101824147
Vaupes,2025-01-06,24.99439783202768
Vichada,2025-01-06,26.79737278775732
Amazonas,2025-01-07,25.930776124197376
Antioquia,2025-01-07,22.16571956007993
Arauca,2025-01-07,26.86141976945997
Atlantico,2025-01-07,28.374070282745915
Bolivar,2025-01-07,26.74149559839768
Boyaca,2025-01-07,16.874866405883683
