departamento,fecha,ndvi_medio
Amazonas,2022-01-01,0.5044141389308543
Antioquia,2022-01-01,0.6511748486867374
Arauca,2022-01-01,0.6246450167897457
Atlantico,2022-01-01,0.6303202571317453
Bolivar,2022-01-01,0.6806134741393607
Boyaca,2022-01-01,0.6584145151188828
Caldas,2022-01-01,0.6166054644191435
Caqueta,2022-01-01,0.6688377169126111
Casanare,2022-01-01,0.5642807979266126
Cauca,2022-01-01,0.6273474974678287
Cesar,2022-01-01,0.6433439127981587
Choco,2022-01-01,0.6178561515454314
Cordoba,2022-01-01,0.6562989673571233
Cundinamarca,2022-01-01,0.6135459679622359
Guainia,2022-01-01,0.6790319004862965
Guajira,2022-01-01,0.4688278128082224
Guaviare,2022-01-01,0.6993385894677542
Huila,2022-01-01,0.6686671427701081
Magdalena,2022-01-01,0.6125996729231983
Meta,2022-01-01,0.5827087732995607
Narino,2022-01-01,0.698668668340965
Norte De Santander,2022-01-01,0.7268464191541323
Putumayo,2022-01-01,0.7719351330295396
Quindio,2022-01-01,0.5501327578283602
Risaralda,2022-01-01,0.6168237039622143
Santander,2022-01-01,0.7111248526728813
Sucre,2022-01-01,0.6115085315821329
Tolima,2022-01-01,0.6065577875425052
Valle Del Cauca,2022-01-01,0.6057316935297307
Vaupes,2022-01-01,0.7314469069439452
Vichada,2022-01-01,0.5425879808628351
Amazonas,2022-01-17,0.474000088131478
Antioquia,2022-01-17,0.6983673022239079
Arauca,2022-01-17,0.5774389712264429
Atlantico,2022-01-17,0.5643533735232159
Bolivar,2022-01-17,0.6621498303487362
Boyaca,2022-01-17,0.654734688596294
Caldas,2022-01-17,0.7184888883685651
Caqueta,2022-01-17,0.681171467146038
Casanare,2022-01-17,0.5215724087098633
Cauca,2022-01-17,0.6073375539066247
Cesar,2022-01-17,0.5945879511045924
Choco,2022-01-17,0.5870174486782087
Cordoba,2022-01-17,0.6368404543811494
Cundinamarca,2022-01-17,0.6706943541091872
Guainia,2022-01-17,0.6510343997414434
Guajira,2022-01-17,0.4247112498321094
Guaviare,2022-01-17,0.6684623287557832
Huila,2022-01-17,0.6563246672323033
Magdalena,2022-01-17,0.5500735108781835
Meta,2022-01-17,0.5533080253960767
Narino,2022-01-17,0.5981665765408728
Norte De Santander,2022-01-17,0.7123560128701834
Putumayo,2022-01-17,0.5558802518838045
Quindio,2022-01-17,0.6065297680476068
Risaralda,2022-01-17,0.7398928932261554
Santander,2022-01-17,0.7137050580894215
Sucre,2022-01-17,0.58031623400392
Tolima,2022-01-17,0.6224458461752789
Valle Del Cauca,2022-01-17,0.6327172312646702
Vaupes,2022-01-17,0.7021178048887513
Vichada,2022-01-17,0.4938910263481082
Amazonas,2022-02-02,0.4091234784950781
Antioquia,2022-02-02,0.6403224153754989
Arauca,2022-02-02,0.5236732765166198
Atlantico,2022-02-02,0.5118719365603122
Bolivar,2022-02-02,0.6173155650429472
Boyaca,2022-02-02,0.5881832324014596
Caldas,2022-02-02,0.6196996126738841
Caqueta,2022-02-02,0.6259699096161451
Casanare,2022-02-02,0.4891233077028115
Cauca,2022-02-02,0.4936792331299832
Cesar,2022-02-02,0.5589893749952212
Choco,2022-02-02,0.5215604001114142
Cordoba,2022-02-02,0.5452419478611475
Cundinamarca,2022-02-02,0.5294990905778524
Guainia,2022-02-02,0.6570156236264371
Guajira,2022-02-02,0.3933678450310644
Guaviare,2022-02-02,0.624271193367085
Huila,2022-02-02,0.5275000052568062
Magdalena,2022-02-02,0.5143880117043991
Meta,2022-02-02,0.5494251623801595
Narino,2022-02-02,0.480803901974404
Norte De Santander,2022-02-02,0.6395146325715881
Putumayo,2022-02-02,0.5936286873035516
Quindio,2022-02-02,0.5909540224833507
Risaralda,2022-02-02,0.5670670050703489
Santander,2022-02-02,0.6844709893136721
Sucre,2022-02-02,0.5070101774706249
Tolima,2022-02-02,0.5486525365094572
Valle Del Cauca,2022-02-02,0.5724196602213474
Vaupes,2022-02-02,0.6883599664981201
Vichada,2022-02-02,0.4683183708334723
Amazonas,2022-02-18,0.3886917256279684
Antioquia,2022-02-18,0.6110062920072058
Arauca,2022-02-18,0.4999370407730374
Atlantico,2022-02-18,0.4718081684218379
Bolivar,2022-02-18,0.6083590058999628
Boyaca,2022-02-18,0.5980273935573523
Caldas,2022-02-18,0.6722800842750608
Caqueta,2022-02-18,0.7197878333002841
Casanare,2022-02-18,0.4766185030378271
Cauca,2022-02-18,0.6145592736476656
Cesar,2022-02-18,0.54689355619865
Choco,2022-02-18,0.5954550213269156
Cordoba,2022-02-18,0.5481664181067166
Cundinamarca,2022-02-18,0.4717299252070043
Guainia,2022-02-18,0.6404053818417853
Guajira,2022-02-18,0.3856891676991986
Guaviare,2022-02-18,0.6452193738665891
Huila,2022-02-18,0.5536755408606794
Magdalena,2022-02-18,0.5057273175524459
Meta,2022-02-18,0.558068435882212
Narino,2022-02-18,0.6024662795056266
Norte De Santander,2022-02-18,0.4018553790359928
Putumayo,2022-02-18,0.6633972484254742
Quindio,2022-02-18,0.4171823394391237
Risaralda,2022-02-18,0.5603210066441721
Santander,2022-02-18,0.6562006237429894
Sucre,2022-02-18,0.48918387174161
Tolima,2022-02-18,0.4525382031161483
Valle Del Cauca,2022-02-18,0.536935606166191
Vaupes,2022-02-18,0.7055381726183313
Vichada,2022-02-18,0.4422891109987891
Amazonas,2022-03-06,0.3537103252710168
Antioquia,2022-03-06,0.6551470401327588
Arauca,2022-03-06,0.4125349296629239
Atlantico,2022-03-06,0.4882652407045024
Bolivar,2022-03-06,0.6062172032643051
Boyaca,2022-03-06,0.6009022124221944
Caldas,2022-03-06,0.6960717557977361
Caqueta,2022-03-06,0.741773283654206
Casanare,2022-03-06,0.4491385782738052
Cauca,2022-03-06,0.6170229419289861
Cesar,2022-03-06,0.6233761262217845
Choco,2022-03-06,0.6288369890012895
Cordoba,2022-03-06,0.5853004800944824
