departamento,año,mes,fecha,clave,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Boyaca,2022,febrero,2022-02-01,Boyaca_2022_febrero,-2.3962388378709583,0.2913566403289298,-4.176349894593584,2.6721924942155244,-0.5460316600058261,-0.36237343235936825,-0.522065307498928
Caldas,2022,febrero,2022-02-01,Caldas_2022_febrero,-6.7434153836454485,-2.4691534789574345,0.4627162220565009,0.942459902897822,0.3781552315711043,-1.6280276780268361,0.7799888136033618
Caqueta,2022,febrero,2022-02-01,Caqueta_2022_febrero,0.7576660727816884,-0.11938669208339486,-1.5530890972131572,-0.9446743517168049,-0.7929459475861479,-0.10909290810783383,-1.4355154921444417
Casanare,2022,febrero,2022-02-01,Casanare_2022_febrero,-0.705472204682846,1.2375908044456403,-0.6481744446968484,1.4977516211527326,-0.4846411975219105,-2.136297201470596,-2.7923092322201457
Cauca,2022,febrero,2022-02-01,Cauca_2022_febrero,1.8415480131471202,-0.14049020345420338,-5.257170805077638,1.1195155335489517,-0.7819478522099681,0.09540731914145294,-0.33987068960098
Cesar,2022,febrero,2022-02-01,Cesar_2022_febrero,3.712314651728371,3.964968769643347,1.637300268998668,1.587548824114553,-0.7299750273254146,-2.584208576478886,-2.0708325229616955
Choco,2022,febrero,2022-02-01,Choco_2022_febrero,9.255141124637507,2.8466096549081668,-3.0630190728199556,1.6084529840224349,1.6295574457471882,-2.9549655851471477,0.5564799159233493
Cundinamarca,2022,febrero,2022-02-01,Cundinamarca_2022_febrero,-1.7517593609802373,3.443281722899862,0.589687661217786,5.348959638546645,1.7296521806733058,0.2569906279733171,-0.6354734691869257
Cordoba,2022,febrero,2022-02-01,Cordoba_2022_febrero,4.051308652038924,0.49668961659727034,-1.9815117441826013,-1.1975593842156156,-1.6706997218014317,-2.944068356798437,-0.4797577559246864
Guainia,2022,febrero,2022-02-01,Guainia_2022_febrero,5.803711050453947,-5.916502265832242,-0.4599567433849071,1.6996803588062492,1.635837487812572,-1.127626190916125,-2.517505780942616
Guaviare,2022,febrero,2022-02-01,Guaviare_2022_febrero,7.005795552667908,4.620031657679993,2.224681523499173,2.1740682084369327,3.6669335359497963,2.8519449127327303,-1.0233399551027436
Huila,2022,febrero,2022-02-01,Huila_2022_febrero,0.10485877900982327,1.3810478503982906,-1.466935789867869,0.41613495283356533,-0.21160123260391991,-0.7912428913112428,-0.3362379520653421
Guajira,2022,febrero,2022-02-01,Guajira_2022_febrero,7.387012698837482,-1.4479055314640823,-0.1991638788846881,1.9876525377039693,-3.507826891073131,-2.7107799492729625,-3.663403539073825
Magdalena,2022,febrero,2022-02-01,Magdalena_2022_febrero,5.119865447198372,3.785559146746432,2.138157374146579,0.2537526895674485,-1.0211822714286989,-2.585745451434947,-1.5231696520901399
Meta,2022,febrero,2022-02-01,Meta_2022_febrero,-1.9394382106153356,0.28096596305243127,0.0846622753741936,1.1376558928455898,0.08336801414745063,-1.0752188473148405,-2.319938640996335
Narino,2022,febrero,2022-02-01,Narino_2022_febrero,5.307422141458279,4.3212640484696685,-4.8074588485576335,2.651793281176086,0.5828158944361311,0.2832243443702213,-0.6315547179835758
