departamento,año,mes,fecha,clave,PC1,PC2,PC3,PC4,PC5,PC6,PC7,FIES_moderado_grave,FIES_grave
Choco,2022,enero,2022-01-01,Choco_2022_enero,9.097701399934248,3.1115942574970945,-2.464920919309109,1.7380861263933818,1.0152638806398993,-3.1254052825574057,0.5545218634748068,43.2,10.4
Cundinamarca,2022,enero,2022-01-01,Cundinamarca_2022_enero,-1.9738637523868932,3.562753937850512,0.4822948188539045,5.194979396410343,1.7467058759971754,0.1665124496130426,-0.2435888374036001,23.0,3.7
Cordoba,2022,enero,2022-01-01,Cordoba_2022_enero,3.786879953275278,0.3723735682896665,-2.168957559636321,-1.1492223168997495,-1.7880198200331705,-2.92228245917888,-0.0714664045971968,38.9,8.1
Guainia,2022,enero,2022-01-01,Guainia_2022_enero,6.010910375695171,-5.6650797706834775,-0.0555194055823765,1.8895946618860695,1.6152382213686345,-1.149365653325444,-2.490427648102916,29.8,4.4
Guaviare,2022,enero,2022-01-01,Guaviare_2022_enero,6.863617583008258,4.4221457788832925,2.257821892540456,2.24711192464992,3.444415647334334,2.6631630503150983,-0.928454793109289,30.4,6.2
Huila,2022,enero,2022-01-01,Huila_2022_enero,0.3104799115355675,2.001007541579254,-1.089938715687136,0.4113076562422657,0.0027918067966603,-0.5897942113202804,0.1184837679013395,19.0,2.4
Guajira,2022,enero,2022-01-01,Guajira_2022_enero,7.275153507730402,-1.4817987294498896,-0.2964055942552107,1.9701189432934256,-3.445701966465158,-2.826752012492597,-3.5064678961519764,59.7,17.5
Magdalena,2022,enero,2022-01-01,Magdalena_2022_enero,5.091334866511719,3.843079653975854,2.134775164256426,0.2675197295922571,-0.9990465533156088,-2.4257605430050653,-1.1789892115777345,45.3,10.4
Meta,2022,enero,2022-01-01,Meta_2022_enero,-1.935956779000636,0.246561116831393,0.2635627091396492,1.2809605495548215,-0.0830372324485404,-1.222626421292129,-2.338637458222059,25.5,4.1
Narino,2022,enero,2022-01-01,Narino_2022_enero,5.206823482500178,4.462529798044141,-4.747299122760232,2.5430761955260888,0.519826922173194,0.3420956825661387,-0.2967365298371414,37.1,7.4
Norte De Santander,2022,enero,2022-01-01,Norte De Santander_2022_enero,-1.9627716004918243,-0.4704177889403168,0.4333125401393385,0.6767256170371801,-1.434617876597788,0.0115862665920038,-1.5849847133320958,25.8,2.9
Putumayo,2022,enero,2022-01-01,Putumayo_2022_enero,3.118120011628993,0.0020191691987878,-4.784344375764602,1.7498104816614677,-0.243575981873095,0.867851688047854,-2.6494642554859893,24.4,3.0
Quindio,2022,enero,2022-01-01,Quindio_2022_enero,-5.811228035149891,-1.2230748708842163,-0.252240070011163,1.64129391935553,-0.3384124220284973,-1.3131878132610222,-0.2682326752482803,17.3,2.2
Risaralda,2022,enero,2022-01-01,Risaralda_2022_enero,-6.438292680120485,-1.752123084321866,1.0636878998035286,1.1670650031141094,0.3662883672272325,-0.8184066323136421,0.0677254944311701,17.5,2.5
Santander,2022,enero,2022-01-01,Santander_2022_enero,-3.528447157014697,-0.2392808640143097,-0.2055174852596802,1.25057108032998,-0.5013240422180988,-1.5323529520027994,-0.5236761378618575,20.5,2.5
Sucre,2022,enero,2022-01-01,Sucre_2022_enero,6.578488197924724,5.280274352536074,2.396462579740706,-1.4012634328654816,0.2232463747580031,-1.4256973727823032,-0.3901548643772733,47.9,10.4
Tolima,2022,enero,2022-01-01,Tolima_2022_enero,-1.8822451262652269,1.130606811672807,-1.3955617817532129,1.451542388659988,-0.3914785761222035,-1.3195718950446746,0.1853450457061972,27.4,3.3
Valle Del Cauca,2022,enero,2022-01-01,Valle Del Cauca_2022_enero,-3.729736385783125,1.509076542796229,0.431811908806635,3.466181633670262,0.4347235712627275,-1.1239466442859165,-0.6919096160936685,28.0,4.5
Vaupes,2022,enero,2022-01-01,Vaupes_2022_enero,8.627420025230963,-2.6043734874107547,-2.495557435523347,2.759204033987739,5.614252351769887,-3.107544305548094,1.907258727307696,36.5,8.7
Vichada,2022,enero,2022-01-01,Vichada_2022_enero,11.476042578826403,-7.575716892042327,1.48303290065344,4.765751799165874,-3.3081159695925884,-2.9833274909557854,1.0630427925635129,30.7,9.2
Amazonas,2022,febrero,2022-02-01,Amazonas_2022_febrero,1.5176022864641168,-7.143652725112567,0.7060382103299857,-1.9220852949666196,2.882676282322346,-2.559823434417003,-4.086355717157831,18.6,3.4
Antioquia,2022,febrero,2022-02-01,Antioquia_2022_febrero,-4.7734121862397325,-0.7431523781598253,0.6674469038530054,1.4668531661775348,0.4061896081127465,-2.468651599204008,-0.1790689597923456,20.9,3.3
Arauca,2022,febrero,2022-02-01,Arauca_2022_febrero,4.235468513290195,1.6823319942638042,1.5009751347217886,0.4124159583438686,-0.2055004541451288,-0.831877214691968,-2.26437545429521,39.3,11.0
Atlantico,2022,febrero,2022-02-01,Atlantico_2022_febrero,0.6428921982238265,5.494636056771555,3.94426977359152,1.6080939657753468,0.7844545781097882,-2.624521053246782,-1.8026568593822985,46.1,8.3
Bogotá,2022,febrero,2022-02-01,Bogotá_2022_febrero,-6.672091782587617,1.7265085024760465,0.6848575012275535,6.867489685433989,1.6551915290129986,-0.3005011598556165,-1.9307366836102413,25.4,4.2
Bolivar,2022,febrero,2022-02-01,Bolivar_2022_febrero,1.6002687916578886,0.2705068819615023,2.494192457418811,-1.6760309158367837,-0.7421368880931856,-2.909293428817474,-0.4692148120667365,32.6,5.1
Boyaca,2022,febrero,2022-02-01,Boyaca_2022_febrero,-2.3962388378709583,0.2913566403289298,-4.176349894593584,2.6721924942155244,-0.5460316600058261,-0.3623734323593682,-0.522065307498928,20.7,2.1
Caldas,2022,febrero,2022-02-01,Caldas_2022_febrero,-6.7434153836454485,-2.4691534789574345,0.4627162220565009,0.942459902897822,0.3781552315711043,-1.628027678026836,0.7799888136033618,14.6,2.5
Caqueta,2022,febrero,2022-02-01,Caqueta_2022_febrero,0.7576660727816884,-0.1193866920833948,-1.5530890972131572,-0.9446743517168048,-0.7929459475861479,-0.1090929081078338,-1.4355154921444415,27.2,3.2
Casanare,2022,febrero,2022-02-01,Casanare_2022_febrero,-0.705472204682846,1.2375908044456403,-0.6481744446968484,1.4977516211527326,-0.4846411975219105,-2.136297201470596,-2.7923092322201457,28.2,4.3
Cauca,2022,febrero,2022-02-01,Cauca_2022_febrero,1.84154801314712,-0.1404902034542033,-5.257170805077638,1.1195155335489515,-0.7819478522099681,0.0954073191414529,-0.33987068960098,22.3,2.8
Cesar,2022,febrero,2022-02-01,Cesar_2022_febrero,3.712314651728371,3.964968769643347,1.637300268998668,1.587548824114553,-0.7299750273254146,-2.584208576478886,-2.0708325229616955,41.1,9.4
Choco,2022,febrero,2022-02-01,Choco_2022_febrero,9.255141124637507,2.8466096549081668,-3.063019072819956,1.6084529840224349,1.6295574457471882,-2.954965585147148,0.5564799159233493,43.2,10.4
Cundinamarca,2022,febrero,2022-02-01,Cundinamarca_2022_febrero,-1.751759360980237,3.443281722899862,0.589687661217786,5.348959638546645,1.7296521806733058,0.2569906279733171,-0.6354734691869257,23.0,3.7
Cordoba,2022,febrero,2022-02-01,Cordoba_2022_febrero,4.051308652038924,0.4966896165972703,-1.9815117441826011,-1.1975593842156156,-1.6706997218014317,-2.944068356798437,-0.4797577559246864,38.9,8.1
Guainia,2022,febrero,2022-02-01,Guainia_2022_febrero,5.803711050453947,-5.916502265832242,-0.4599567433849071,1.6996803588062492,1.635837487812572,-1.127626190916125,-2.517505780942616,29.8,4.4
Guaviare,2022,febrero,2022-02-01,Guaviare_2022_febrero,7.005795552667908,4.620031657679993,2.224681523499173,2.1740682084369327,3.666933535949796,2.8519449127327303,-1.0233399551027436,30.4,6.2
Huila,2022,febrero,2022-02-01,Huila_2022_febrero,0.1048587790098232,1.3810478503982906,-1.466935789867869,0.4161349528335653,-0.2116012326039199,-0.7912428913112428,-0.3362379520653421,19.0,2.4
Guajira,2022,febrero,2022-02-01,Guajira_2022_febrero,7.387012698837482,-1.4479055314640823,-0.1991638788846881,1.987652537703969,-3.507826891073131,-2.7107799492729625,-3.663403539073825,59.7,17.5
Magdalena,2022,febrero,2022-02-01,Magdalena_2022_febrero,5.119865447198372,3.785559146746432,2.138157374146579,0.2537526895674485,-1.0211822714286989,-2.585745451434947,-1.52316965209014,45.3,10.4
Meta,2022,febrero,2022-02-01,Meta_2022_febrero,-1.939438210615336,0.2809659630524312,0.0846622753741936,1.1376558928455898,0.0833680141474506,-1.0752188473148403,-2.319938640996335,25.5,4.1
Narino,2022,febrero,2022-02-01,Narino_2022_febrero,5.307422141458279,4.3212640484696685,-4.8074588485576335,2.651793281176086,0.5828158944361311,0.2832243443702213,-0.6315547179835758,37.1,7.4
Norte De Santander,2022,febrero,2022-02-01,Norte De Santander_2022_febrero,-1.5194814784280035,-0.1854517654622344,0.8141601785314606,0.8735968762910683,-1.3201442048211154,0.0616197625831671,-2.260464209034979,25.8,2.9
Putumayo,2022,febrero,2022-02-01,Putumayo_2022_febrero,3.0516671538303384,-0.2099124913088691,-5.032623117999343,1.7691147433859131,-0.1916947029588284,0.9246517715731796,-2.665571905833389,24.4,3.0
Quindio,2022,febrero,2022-02-01,Quindio_2022_febrero,-5.854696161974619,-1.527130491274155,-0.6563300404128166,1.6515884781851726,-0.1309070080133439,-1.4997857401953731,-0.5403242785810569,17.3,2.2
Risaralda,2022,febrero,2022-02-01,Risaralda_2022_febrero,-6.39477696190228,-2.076606573693275,0.7846473360869093,1.2047156338991951,0.4568147447601568,-0.8875397603635841,-0.2956950787643125,17.5,2.5
Santander,2022,febrero,2022-02-01,Santander_2022_febrero,-3.4986413867850943,-0.3746671531487056,-0.2735014661104796,1.223102849766603,-0.490246036665435,-1.5308150404467151,-0.6190835187338285,20.5,2.5
Sucre,2022,febrero,2022-02-01,Sucre_2022_febrero,6.800364880315136,5.365870013356983,2.540121827417817,-1.3994902237224105,0.2518646478133515,-1.422635153689478,-0.7942878597464533,47.9,10.4
Tolima,2022,febrero,2022-02-01,Tolima_2022_febrero,-1.773508107573527,1.1307490002279237,-1.504359056316904,1.4849062395156454,-0.2086703315505407,-1.4109396650976194,-0.2363855111281445,27.4,3.3
Valle Del Cauca,2022,febrero,2022-02-01,Valle Del Cauca_2022_febrero,-3.677515824571514,1.392884948416751,0.2892942729518726,3.482939913539709,0.6204368469955193,-1.2510765833140147,-0.8912418682346118,28.0,4.5
Vaupes,2022,febrero,2022-02-01,Vaupes_2022_febrero,8.475183969662766,-2.695619204338617,-2.9381706801506318,2.601610859380919,5.842375053117646,-3.202528846290133,1.8040390748205144,36.5,8.7
Vichada,2022,febrero,2022-02-01,Vichada_2022_febrero,11.44919778941988,-7.816309094729857,1.405267812052815,4.79472594274031,-3.4251216127599915,-3.000319439968044,0.8524557318480833,30.7,9.2
Amazonas,2022,marzo,2022-03-01,Amazonas_2022_marzo,1.5042967975318855,-7.156583699868676,0.5289334335370736,-2.065764108143388,2.9461858377019854,-2.2491098752856864,-3.946206910569172,18.6,3.4
Antioquia,2022,marzo,2022-03-01,Antioquia_2022_marzo,-4.8147755401108885,-0.8020646435437814,0.5871804159011945,1.3965453531674896,0.3842734809653672,-2.283137050290564,-0.0112383585332806,20.9,3.3
Arauca,2022,marzo,2022-03-01,Arauca_2022_marzo,4.21588097054549,1.4849649198475543,1.452968108202265,0.4339136067576543,-0.2588650892185421,-1.0947268111399544,-2.669030376614652,39.3,11.0
Atlantico,2022,marzo,2022-03-01,Atlantico_2022_marzo,0.7700643533782273,5.661347247607725,4.084770921597976,1.524331355510063,0.8446719503127381,-2.433715034440208,-1.7377547037411805,46.1,8.3
Bogotá,2022,marzo,2022-03-01,Bogotá_2022_marzo,-6.73909722532677,1.69833507498622,0.6060886254290913,6.75101501931972,1.740774296851727,-0.2708422557893001,-1.617843316749834,25.4,4.2
Bolivar,2022,marzo,2022-03-01,Bolivar_2022_marzo,1.6147767117240583,0.3336387690412049,2.4369232389057567,-1.7235283375365087,-0.6345818071632142,-2.8182668027059297,-0.3998620868718327,32.6,5.1
Boyaca,2022,marzo,2022-03-01,Boyaca_2022_marzo,-2.29508333351362,0.4156888832001193,-4.139201516751531,2.5809632869544656,-0.4344390220013755,-0.2214335573141709,-0.4821494466882083,20.7,2.1
Caldas,2022,marzo,2022-03-01,Caldas_2022_marzo,-6.667053235129639,-2.4236859765658,0.4379177131010642,0.8486996589571705,0.5209026267246387,-1.3411123295713243,1.0758816536680145,14.6,2.5
Caqueta,2022,marzo,2022-03-01,Caqueta_2022_marzo,0.8304146328339824,-0.1044363165458407,-1.513198924188628,-0.9184658712616164,-0.7614443788359375,0.1718546800546356,-1.1619320679457048,27.2,3.2
Casanare,2022,marzo,2022-03-01,Casanare_2022_marzo,-0.5056951627311398,1.4132739146889186,-0.4625274159212826,1.5253593682506656,-0.4588103110918368,-1.8440020704909368,-2.719487806342461,28.2,4.3
Cauca,2022,marzo,2022-03-01,Cauca_2022_marzo,1.8270050116677887,-0.0784473881626309,-5.135007883648251,0.9731056105777404,-0.9572924471356512,0.6150858320431253,0.1873839747645073,22.3,2.8
Cesar,2022,marzo,2022-03-01,Cesar_2022_marzo,3.71692548830068,3.971460958571096,1.6071913107721298,1.4174519751512238,-0.7596423524497812,-2.0424766070314258,-1.574985385204511,41.1,9.4
Choco,2022,marzo,2022-03-01,Choco_2022_marzo,9.07420598213531,2.9036174743941423,-2.7983641069483403,1.5453952009466136,1.2184785425781417,-2.9647049752306804,0.6965164435404698,43.2,10.4
Cundinamarca,2022,marzo,2022-03-01,Cundinamarca_2022_marzo,-1.7730916747890069,3.7534785126735786,0.5328861820578679,5.031923044170753,1.8778421151969984,0.5828984745569021,-0.3279210087423364,23.0,3.7
