departamento,año,mes,fecha,Analfabetismo,Bajo_logro_educativo,Barreras_acceso_salud,Desempleo_larga_duracion,Inasistencia_escolar,Rezago_escolar,Sin_aseguramiento_salud,Trabajo_informal,IPM_Total,Vida_general,Salud,Seguridad,Trabajo_actividad,Tiempo_libre,Ingreso,Propia_totalmente_pagada,Propia_la_estan_pagando,En_arriendo_o_subarriendo,Con_permiso_sin_pago,Posesion_sin_titulo,Propiedad_colectiva,Deficit_cuantitativo,Deficit_cualitativo,Deficit_habitacional,No_alcanzan_gastos_minimos,Alcanzan_gastos_minimos,Cubren_mas_gastos_minimos,Pobreza_monetaria,No_pobres,Energia,Gas_natural,Acueducto,Alcantarillado,Recoleccion_basura,Telefono_fijo,Ningun_servicio,precipitacion_promedio,temperatura_promedio,ndvi_promedio,IPC_Total,FIES_preocupacion_alimentos,FIES_no_alimentos_saludables,FIES_poca_variedad_alimentos,FIES_saltar_comida,FIES_comio_menos,FIES_sin_alimentos,FIES_hambre_sin_comer,FIES_no_comio_dia_entero,FIES_leve_moderado,FIES_grave,FIES_moderada,FIES_inseguridad_alimentaria
Valle Del Cauca,2022,julio,2022-07-01,6.2,37.8,1.6,13.7,2.4,22.6,9.3,67.3,9.7,7.9,7.7,7.1,7.0,7.4,6.7,31.4,4.2,47.0,13.6,2.0,1.7,4.5,14.1,18.6,42.7,50.0,7.3,40.6,59.4,99.5,82.0,96.9,89.6,95.2,23.5,0.1,3.604785357898142,18.15348733952685,0.6129432937040868,158.3,,,,,,,,,28.0,4.5,23.5,moderado
Vaupes,2022,julio,2022-07-01,11.3,58.9,0.3,36.1,6.4,34.7,2.3,86.9,47.1,7.3,7.2,7.0,6.2,6.9,6.0,19.8,0.0,7.6,4.4,1.2,67.0,83.0,8.3,91.3,63.8,34.9,1.3,66.5,33.5,91.4,0.0,29.4,26.0,28.8,0.1,8.6,15.125960591981,24.24730178048144,0.6617148593425283,146.8,,,,,,,,,36.5,8.7,27.8,severo
Vichada,2022,julio,2022-07-01,25.0,75.3,0.2,35.8,20.9,39.7,19.0,95.2,75.4,7.5,7.4,7.4,6.8,7.1,6.8,29.1,0.3,16.0,8.5,11.7,34.4,26.6,67.6,94.2,51.1,46.9,2.0,85.8,14.2,45.1,0.0,36.8,2.0,32.8,0.4,51.9,13.64447353688636,25.7942843099679,0.5936988641262463,146.8,,,,,,,,,30.7,9.2,21.5,severo
Amazonas,2022,agosto,2022-08-01,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6,27.9,8.5,8.3,7.7,7.9,8.2,7.5,20.1,0.3,20.3,7.6,7.9,43.7,61.3,23.3,84.5,43.9,52.2,3.9,54.6,45.4,83.2,0.0,43.3,42.3,53.3,0.4,13.6,7.288750997471288,25.05468821358137,0.5329022087473229,149.73,,,,,,,,,18.6,3.4,15.2,moderado
Antioquia,2022,agosto,2022-08-01,7.0,39.9,0.4,14.0,1.5,22.9,6.3,66.0,10.7,8.2,7.9,8.0,7.4,7.6,7.1,37.7,3.4,45.3,10.0,1.4,2.2,4.8,19.8,24.7,34.4,54.6,11.0,48.7,51.3,99.9,64.5,93.1,80.9,91.6,24.2,0.0,11.23165610670802,21.86569931121181,0.6810760853894366,153.8,,,,,,,,,20.9,3.3,17.6,moderado
Arauca,2022,agosto,2022-08-01,7.6,60.4,0.2,13.7,3.9,24.3,15.4,93.4,22.6,8.0,7.9,7.4,7.0,7.4,6.8,34.3,0.8,32.2,20.4,11.5,0.8,30.3,22.6,52.9,48.0,49.6,2.4,74.5,25.5,99.5,12.6,73.0,54.9,64.4,1.4,0.4,8.813313353414651,25.58501742296195,0.6600133842962839,149.73,,,,,,,,,39.3,11.0,28.3,severo
Atlantico,2022,agosto,2022-08-01,7.0,28.1,1.5,11.2,1.8,30.2,9.1,75.9,10.2,8.0,8.1,7.1,6.9,7.5,6.6,45.7,2.3,31.4,16.4,3.9,0.3,3.5,28.0,31.5,52.9,40.6,6.5,56.9,43.1,99.9,93.1,97.7,87.0,96.0,26.4,0.1,6.124251992803301,27.67811750698016,0.7059491090649721,150.87,,,,,,,,,46.1,8.3,37.8,severo
Bogotá,2022,agosto,2022-08-01,1.8,21.7,4.3,12.1,1.3,18.8,13.1,54.2,3.8,7.8,7.7,6.4,6.8,7.1,6.6,31.2,7.5,52.7,6.7,1.0,1.0,1.4,9.8,11.2,28.5,56.8,14.7,32.3,67.7,100.0,93.5,99.6,99.1,99.6,41.1,0.0,4.387028749071419,17.90340774391063,0.6626736926463433,153.46,,,,,,,,,25.4,4.2,21.2,moderado
Bolivar,2022,agosto,2022-08-01,12.4,45.8,0.3,12.1,3.0,28.9,5.5,83.7,19.4,8.3,8.2,7.7,7.6,7.8,7.2,35.6,1.2,25.7,16.3,15.0,6.3,14.3,44.8,59.1,61.7,32.9,5.4,66.9,33.1,98.5,67.2,86.1,50.8,75.7,8.8,1.0,9.4606399742384,26.17110716496102,0.7005993521091454,152.11,,,,,,,,,32.6,5.1,27.5,moderado
Boyaca,2022,agosto,2022-08-01,6.3,48.3,2.0,16.0,2.0,23.0,5.2,77.5,9.6,7.5,7.2,7.3,6.7,6.8,6.0,36.8,4.1,38.4,15.6,2.6,2.5,2.8,21.2,24.0,36.8,59.3,3.9,43.4,56.6,99.4,63.3,89.5,65.6,67.1,2.3,0.3,5.460981543632149,16.12138777434893,0.6597374301049596,154.27,,,,,,,,,20.7,2.1,18.6,moderado
Caldas,2022,agosto,2022-08-01,7.4,45.8,1.5,18.2,1.3,20.7,6.3,68.4,10.5,8.4,8.1,8.3,7.9,7.9,7.3,34.9,6.5,40.7,15.3,1.6,1.0,2.9,18.6,21.4,32.2,56.2,11.6,33.4,66.6,99.8,70.6,92.1,83.6,86.6,20.4,0.1,6.365691905483937,18.85875593792798,0.7054440655235077,155.24,,,,,,,,,14.6,2.5,12.1,leve
Caqueta,2022,agosto,2022-08-01,11.1,58.0,1.7,11.4,4.7,30.6,6.3,89.2,19.6,8.1,7.8,7.5,7.1,7.1,6.5,28.5,1.9,37.2,24.7,7.2,0.4,24.3,22.9,47.2,39.7,57.2,3.1,69.1,30.9,97.4,46.4,80.6,64.1,74.9,2.4,2.2,7.792899490925066,23.67809734583593,0.739282462004148,161.16,,,,,,,,,27.2,3.2,24.0,moderado
Casanare,2022,agosto,2022-08-01,5.5,45.8,1.1,11.9,3.3,26.8,8.7,80.0,13.3,8.2,7.6,7.1,6.9,6.9,6.3,37.9,2.1,42.1,14.3,3.1,0.7,7.2,24.2,31.4,47.3,48.8,3.9,46.5,53.5,97.2,83.8,82.2,70.8,78.5,1.5,1.7,9.568939937068173,25.67165097884178,0.6330887949434401,149.73,,,,,,,,,28.2,4.3,23.9,moderado
Cauca,2022,agosto,2022-08-01,9.5,59.9,3.1,14.7,2.8,22.5,5.3,88.9,18.3,7.5,7.3,6.8,6.6,6.7,5.9,37.4,1.8,19.9,23.3,9.3,8.4,12.4,37.8,50.2,50.6,46.4,3.0,58.3,41.7,97.3,26.5,74.8,40.5,42.6,4.8,2.3,2.381265439708028,17.57548337841459,0.722645643698099,166.55,,,,,,,,,22.3,2.8,19.5,moderado
Cesar,2022,agosto,2022-08-01,14.0,45.5,0.4,9.9,4.4,32.9,9.8,84.6,19.1,7.9,7.8,6.7,6.7,7.1,6.3,31.7,1.8,38.0,18.4,5.9,4.1,7.9,38.6,46.5,65.4,31.5,3.1,70.5,29.5,98.2,68.5,87.8,74.1,78.1,9.3,1.6,7.906929317509073,25.56187822029628,0.7439758946856834,152.39,,,,,,,,,41.1,9.4,31.7,severo
Choco,2022,agosto,2022-08-01,21.9,58.9,2.2,19.4,4.0,35.8,3.5,92.1,36.8,7.2,7.2,6.4,6.2,6.7,6.2,61.0,0.6,19.3,16.7,1.4,1.0,43.5,40.8,84.3,68.3,29.4,2.2,83.4,16.6,91.4,0.0,41.1,21.8,50.9,1.7,8.1,16.03874557814089,24.49171112068917,0.6128599121407555,149.73,,,,,,,,,43.2,10.4,32.8,severo
Cundinamarca,2022,agosto,2022-08-01,4.2,38.1,2.3,15.4,2.0,24.1,8.9,67.0,7.3,7.8,7.5,6.9,6.7,6.9,6.3,28.2,9.9,47.4,11.3,1.6,1.6,2.3,16.0,18.3,47.1,48.6,4.3,39.2,60.8,99.7,77.4,96.2,80.0,87.1,11.9,0.1,4.387028749071419,17.90340774391063,0.6626736926463433,153.46,,,,,,,,,23.0,3.7,19.3,moderado
Cordoba,2022,agosto,2022-08-01,18.1,55.6,1.3,16.2,2.0,26.5,3.1,89.8,26.9,7.6,7.7,7.5,6.9,7.2,6.2,40.0,1.0,19.6,19.9,18.7,0.8,21.3,39.3,60.6,66.2,31.5,2.2,83.7,16.3,99.7,49.0,71.0,43.1,55.9,3.6,0.2,8.790891643665423,26.36216145243204,0.7225429922296845,152.54,,,,,,,,,38.9,8.1,30.8,severo
Guainia,2022,agosto,2022-08-01,14.0,67.0,0.2,7.9,8.9,38.0,12.7,91.2,46.5,7.7,7.6,7.3,7.0,7.3,6.9,16.9,0.6,18.2,6.7,6.4,51.2,56.2,30.8,87.0,46.0,49.6,4.4,53.3,46.7,76.5,0.0,24.4,26.5,37.6,0.1,22.1,13.82641646467025,25.4878695808028,0.6289896859386903,149.73,,,,,,,,,29.8,4.4,25.4,moderado
Guaviare,2022,agosto,2022-08-01,10.0,57.7,5.5,9.9,4.5,26.8,13.2,86.5,26.9,7.8,7.4,7.4,6.9,7.1,5.9,36.0,3.0,32.3,21.9,5.1,1.7,47.9,19.2,67.0,58.3,39.9,1.8,55.9,44.1,93.0,15.9,50.9,47.3,60.4,0.3,6.4,11.61704632013058,24.57839591413991,0.7465253124560125,149.73,,,,,,,,,30.4,6.2,24.2,moderado
Huila,2022,agosto,2022-08-01,8.8,55.3,2.8,12.3,3.9,27.1,4.0,84.0,13.3,7.9,7.8,7.3,7.0,7.3,6.3,39.8,3.5,32.6,19.2,3.0,1.8,4.3,27.4,31.8,52.6,44.2,3.2,65.7,34.3,99.6,65.8,87.8,67.4,69.2,7.4,0.3,1.953339311351247,18.7844919606291,0.7174978209153575,165.47,,,,,,,,,19.0,2.4,16.6,moderado
Guajira,2022,agosto,2022-08-01,23.2,56.5,0.9,8.4,5.1,38.3,13.8,90.6,42.9,7.6,7.7,7.2,6.3,7.1,5.6,21.6,0.5,24.6,18.1,13.9,21.3,8.7,48.9,57.6,71.1,27.4,1.5,80.8,19.2,68.4,40.7,49.7,41.6,53.4,2.0,31.4,4.216704418951082,27.59077073354672,0.5464266516332486,154.51,,,,,,,,,59.7,17.5,42.2,severo
Magdalena,2022,agosto,2022-08-01,15.5,48.9,0.5,12.6,3.2,33.4,7.4,87.2,23.0,7.9,7.8,7.3,6.7,7.2,6.5,39.7,0.8,26.1,20.0,11.9,1.5,10.3,51.6,61.9,54.0,43.7,2.3,71.6,28.4,98.7,66.3,85.4,51.5,75.7,3.4,1.0,6.10132237754314,26.42475063633313,0.7253166299264678,150.4,,,,,,,,,45.3,10.4,34.9,severo
Meta,2022,agosto,2022-08-01,6.5,44.1,2.1,10.7,4.1,27.5,8.3,74.8,11.3,8.1,7.7,7.2,7.3,7.3,6.7,32.2,3.0,46.4,12.4,4.1,1.9,9.2,19.0,28.2,46.8,48.9,4.2,43.2,56.8,98.6,68.7,82.8,77.4,85.6,5.2,1.3,10.15117241271686,24.88768973998666,0.6728533076796879,160.09,,,,,,,,,25.5,4.1,21.4,moderado
Narino,2022,agosto,2022-08-01,10.4,61.6,3.0,11.2,1.9,23.6,4.2,87.9,17.6,7.1,6.7,6.5,6.1,6.6,5.3,39.7,1.4,23.3,24.7,10.5,0.4,20.4,27.6,48.0,63.6,32.7,3.7,71.5,28.5,99.5,7.9,72.6,44.5,54.5,6.0,0.3,4.867313325900916,18.59918418447316,0.6524509964762034,152.73,,,,,,,,,37.1,7.4,29.7,severo
Norte De Santander,2022,agosto,2022-08-01,8.7,47.9,2.1,9.3,4.8,27.8,16.9,86.7,18.5,8.1,7.9,7.5,7.5,7.6,6.8,32.9,2.5,41.4,18.7,3.3,1.1,6.8,27.1,33.9,41.0,54.4,4.6,52.3,47.7,99.3,60.9,86.2,83.5,85.2,9.0,0.5,6.29642814478556,21.05560568758447,0.7250366135964992,163.36,,,,,,,,,25.8,2.9,22.9,moderado
Putumayo,2022,agosto,2022-08-01,8.5,57.4,4.3,11.2,4.5,23.8,10.4,92.3,20.8,7.5,7.2,6.6,6.3,6.6,5.7,31.7,0.9,35.4,23.1,6.4,2.4,41.4,25.3,66.7,43.6,54.0,2.4,71.6,28.4,87.9,13.2,54.4,54.6,63.7,0.5,10.5,8.566105672298814,23.04939675749378,0.7669643564697791,149.73,,,,,,,,,24.4,3.0,21.4,moderado
Quindio,2022,agosto,2022-08-01,6.1,40.1,0.8,17.7,1.9,18.3,8.8,69.3,10.0,8.4,7.9,7.9,7.2,7.7,6.8,32.7,3.6,46.1,12.9,2.3,2.4,3.2,9.3,12.4,35.6,59.3,5.1,37.9,62.1,99.7,81.4,97.8,88.7,95.6,15.2,0.0,3.001335524971796,17.47926966563407,0.6553380139907098,156.93,,,,,,,,,17.3,2.2,15.1,moderado
Risaralda,2022,agosto,2022-08-01,7.1,43.5,2.7,16.1,1.8,19.1,9.3,71.0,10.0,8.4,8.1,8.2,7.7,7.8,7.3,32.1,3.3,48.5,12.9,1.5,1.7,2.9,14.4,17.3,33.5,56.4,10.1,30.5,69.5,99.7,80.3,96.0,85.9,91.1,20.5,0.1,4.681517700778858,17.95552604913835,0.6847406556853066,157.08,,,,,,,,,17.5,2.5,15.0,moderado
Santander,2022,agosto,2022-08-01,7.7,44.3,0.9,12.1,1.9,24.6,6.7,75.5,10.4,8.2,7.9,7.2,7.1,7.6,6.7,32.3,3.4,46.0,11.7,5.2,1.3,5.9,22.6,28.4,43.1,51.0,6.0,49.5,50.5,99.7,73.8,87.8,76.1,80.8,23.9,0.2,8.634502102392151,21.49470381392455,0.7423944483934861,157.73,,,,,,,,,20.5,2.5,18.0,moderado
Sucre,2022,agosto,2022-08-01,19.8,53.9,4.3,11.4,1.9,31.1,3.6,92.6,26.0,8.1,8.0,7.6,7.0,7.4,5.7,42.7,1.3,20.6,24.2,10.3,1.0,8.2,53.1,61.3,72.0,24.3,3.7,78.7,21.3,98.9,53.9,81.8,53.4,62.0,2.3,0.8,9.257090406918744,27.01681698081127,0.6672113602313477,150.57,,,,,,,,,47.9,10.4,37.5,severo
Tolima,2022,agosto,2022-08-01,6.0,49.0,0.8,16.5,2.1,21.6,5.4,79.7,10.5,7.7,7.5,7.6,7.0,7.4,6.3,40.9,3.8,38.8,14.1,2.0,0.4,4.0,24.1,28.1,42.4,52.4,5.2,54.0,46.0,99.5,77.3,88.4,72.2,76.7,12.5,0.2,3.011866155450666,21.52609416814797,0.7028405897587504,160.14,,,,,,,,,27.4,3.3,24.1,moderado
Valle Del Cauca,2022,agosto,2022-08-01,6.2,37.8,1.6,13.7,2.4,22.6,9.3,67.3,9.7,7.9,7.7,7.1,7.0,7.4,6.7,31.4,4.2,47.0,13.6,2.0,1.7,4.5,14.1,18.6,42.7,50.0,7.3,40.6,59.4,99.5,82.0,96.9,89.6,95.2,23.5,0.1,3.022952735258523,18.10388327944177,0.6485401844494703,161.86,,,,,,,,,28.0,4.5,23.5,moderado
Vaupes,2022,agosto,2022-08-01,11.3,58.9,0.3,36.1,6.4,34.7,2.3,86.9,47.1,7.3,7.2,7.0,6.2,6.9,6.0,19.8,0.0,7.6,4.4,1.2,67.0,83.0,8.3,91.3,63.8,34.9,1.3,66.5,33.5,91.4,0.0,29.4,26.0,28.8,0.1,8.6,9.770203603071227,24.57944625294461,0.7281374346781437,149.73,,,,,,,,,36.5,8.7,27.8,severo
Vichada,2022,agosto,2022-08-01,25.0,75.3,0.2,35.8,20.9,39.7,19.0,95.2,75.4,7.5,7.4,7.4,6.8,7.1,6.8,29.1,0.3,16.0,8.5,11.7,34.4,26.6,67.6,94.2,51.1,46.9,2.0,85.8,14.2,45.1,0.0,36.8,2.0,32.8,0.4,51.9,11.59334420099965,26.11107440583166,0.5910838034577646,149.73,,,,,,,,,30.7,9.2,21.5,severo
Amazonas,2022,septiembre,2022-09-01,8.7,49.5,2.3,6.4,5.3,41.7,5.3,83.6,27.9,8.5,8.3,7.7,7.9,8.2,7.5,20.1,0.3,20.3,7.6,7.9,43.7,61.3,23.3,84.5,43.9,52.2,3.9,54.6,45.4,83.2,0.0,43.3,42.3,53.3,0.4,13.6,4.405182603941697,26.31251007300214,0.5065052950132843,152.32,,,,,,,,,18.6,3.4,15.2,moderado
Antioquia,2022,septiembre,2022-09-01,7.0,39.9,0.4,14.0,1.5,22.9,6.3,66.0,10.7,8.2,7.9,8.0,7.4,7.6,7.1,37.7,3.4,45.3,10.0,1.4,2.2,4.8,19.8,24.7,34.4,54.6,11.0,48.7,51.3,99.9,64.5,93.1,80.9,91.6,24.2,0.0,11.0589952088175,21.93581078046244,0.6469092132790675,156.73,,,,,,,,,20.9,3.3,17.6,moderado
Arauca,2022,septiembre,2022-09-01,7.6,60.4,0.2,13.7,3.9,24.3,15.4,93.4,22.6,8.0,7.9,7.4,7.0,7.4,6.8,34.3,0.8,32.2,20.4,11.5,0.8,30.3,22.6,52.9,48.0,49.6,2.4,74.5,25.5,99.5,12.6,73.0,54.9,64.4,1.4,0.4,8.229270340361973,26.78768159932588,0.6217629480673506,152.32,,,,,,,,,39.3,11.0,28.3,severo
Atlantico,2022,septiembre,2022-09-01,7.0,28.1,1.5,11.2,1.8,30.2,9.1,75.9,10.2,8.0,8.1,7.1,6.9,7.5,6.6,45.7,2.3,31.4,16.4,3.9,0.3,3.5,28.0,31.5,52.9,40.6,6.5,56.9,43.1,99.9,93.1,97.7,87.0,96.0,26.4,0.1,7.671355565466125,27.5275970518003,0.7002199897450565,152.03,,,,,,,,,46.1,8.3,37.8,severo
Bogotá,2022,septiembre,2022-09-01,1.8,21.7,4.3,12.1,1.3,18.8,13.1,54.2,3.8,7.8,7.7,6.4,6.8,7.1,6.6,31.2,7.5,52.7,6.7,1.0,1.0,1.4,9.8,11.2,28.5,56.8,14.7,32.3,67.7,100.0,93.5,99.6,99.1,99.6,41.1,0.0,5.600095755932244,18.16816618092872,0.6113818267097697,156.28,,,,,,,,,25.4,4.2,21.2,moderado
Bolivar,2022,septiembre,2022-09-01,12.4,45.8,0.3,12.1,3.0,28.9,5.5,83.7,19.4,8.3,8.2,7.7,7.6,7.8,7.2,35.6,1.2,25.7,16.3,15.0,6.3,14.3,44.8,59.1,61.7,32.9,5.4,66.9,33.1,98.5,67.2,86.1,50.8,75.7,8.8,1.0,9.184679347524527,26.0892995046209,0.6439435144650494,154.18,,,,,,,,,32.6,5.1,27.5,moderado
Boyaca,2022,septiembre,2022-09-01,6.3,48.3,2.0,16.0,2.0,23.0,5.2,77.5,9.6,7.5,7.2,7.3,6.7,6.8,6.0,36.8,4.1,38.4,15.6,2.6,2.5,2.8,21.2,24.0,36.8,59.3,3.9,43.4,56.6,99.4,63.3,89.5,65.6,67.1,2.3,0.3,6.446169098218567,16.39199107421654,0.613800400876545,157.1,,,,,,,,,20.7,2.1,18.6,moderado
Caldas,2022,septiembre,2022-09-01,7.4,45.8,1.5,18.2,1.3,20.7,6.3,68.4,10.5,8.4,8.1,8.3,7.9,7.9,7.3,34.9,6.5,40.7,15.3,1.6,1.0,2.9,18.6,21.4,32.2,56.2,11.6,33.4,66.6,99.8,70.6,92.1,83.6,86.6,20.4,0.1,8.497079490368378,18.8770045050726,0.6622547865607464,157.43,,,,,,,,,14.6,2.5,12.1,leve
Caqueta,2022,septiembre,2022-09-01,11.1,58.0,1.7,11.4,4.7,30.6,6.3,89.2,19.6,8.1,7.8,7.5,7.1,7.1,6.5,28.5,1.9,37.2,24.7,7.2,0.4,24.3,22.9,47.2,39.7,57.2,3.1,69.1,30.9,97.4,46.4,80.6,64.1,74.9,2.4,2.2,7.194381245850127,24.7840269311228,0.7400850370430145,164.18,,,,,,,,,27.2,3.2,24.0,moderado
Casanare,2022,septiembre,2022-09-01,5.5,45.8,1.1,11.9,3.3,26.8,8.7,80.0,13.3,8.2,7.6,7.1,6.9,6.9,6.3,37.9,2.1,42.1,14.3,3.1,0.7,7.2,24.2,31.4,47.3,48.8,3.9,46.5,53.5,97.2,83.8,82.2,70.8,78.5,1.5,1.7,8.416137826512633,26.6557580102427,0.6042441651663337,152.32,,,,,,,,,28.2,4.3,23.9,moderado
Cauca,2022,septiembre,2022-09-01,9.5,59.9,3.1,14.7,2.8,22.5,5.3,88.9,18.3,7.5,7.3,6.8,6.6,6.7,5.9,37.4,1.8,19.9,23.3,9.3,8.4,12.4,37.8,50.2,50.6,46.4,3.0,58.3,41.7,97.3,26.5,74.8,40.5,42.6,4.8,2.3,5.033570441838358,17.90946007994756,0.6572317609890537,168.77,,,,,,,,,22.3,2.8,19.5,moderado
Cesar,2022,septiembre,2022-09-01,14.0,45.5,0.4,9.9,4.4,32.9,9.8,84.6,19.1,7.9,7.8,6.7,6.7,7.1,6.3,31.7,1.8,38.0,18.4,5.9,4.1,7.9,38.6,46.5,65.4,31.5,3.1,70.5,29.5,98.2,68.5,87.8,74.1,78.1,9.3,1.6,9.041395596863856,25.34940037805082,0.6683205604743523,152.78,,,,,,,,,41.1,9.4,31.7,severo
Choco,2022,septiembre,2022-09-01,21.9,58.9,2.2,19.4,4.0,35.8,3.5,92.1,36.8,7.2,7.2,6.4,6.2,6.7,6.2,61.0,0.6,19.3,16.7,1.4,1.0,43.5,40.8,84.3,68.3,29.4,2.2,83.4,16.6,91.4,0.0,41.1,21.8,50.9,1.7,8.1,14.57579112104054,24.64730061623746,0.5605327807914551,152.32,,,,,,,,,43.2,10.4,32.8,severo
Cundinamarca,2022,septiembre,2022-09-01,4.2,38.1,2.3,15.4,2.0,24.1,8.9,67.0,7.3,7.8,7.5,6.9,6.7,6.9,6.3,28.2,9.9,47.4,11.3,1.6,1.6,2.3,16.0,18.3,47.1,48.6,4.3,39.2,60.8,99.7,77.4,96.2,80.0,87.1,11.9,0.1,5.600095755932244,18.16816618092872,0.6113818267097697,156.28,,,,,,,,,23.0,3.7,19.3,moderado
Cordoba,2022,septiembre,2022-09-01,18.1,55.6,1.3,16.2,2.0,26.5,3.1,89.8,26.9,7.6,7.7,7.5,6.9,7.2,6.2,40.0,1.0,19.6,19.9,18.7,0.8,21.3,39.3,60.6,66.2,31.5,2.2,83.7,16.3,99.7,49.0,71.0,43.1,55.9,3.6,0.2,8.229151263300384,26.3912987879233,0.6226239187192464,154.67,,,,,,,,,38.9,8.1,30.8,severo
Guainia,2022,septiembre,2022-09-01,14.0,67.0,0.2,7.9,8.9,38.0,12.7,91.2,46.5,7.7,7.6,7.3,7.0,7.3,6.9,16.9,0.6,18.2,6.7,6.4,51.2,56.2,30.8,87.0,46.0,49.6,4.4,53.3,46.7,76.5,0.0,24.4,26.5,37.6,0.1,22.1,6.932950945292016,26.37807093100873,0.6540081023066078,152.32,,,,,,,,,29.8,4.4,25.4,moderado
Guaviare,2022,septiembre,2022-09-01,10.0,57.7,5.5,9.9,4.5,26.8,13.2,86.5,26.9,7.8,7.4,7.4,6.9,7.1,5.9,36.0,3.0,32.3,21.9,5.1,1.7,47.9,19.2,67.0,58.3,39.9,1.8,55.9,44.1,93.0,15.9,50.9,47.3,60.4,0.3,6.4,8.115314255202902,25.23922596057339,0.7409826591086679,152.32,,,,,,,,,30.4,6.2,24.2,moderado
Huila,2022,septiembre,2022-09-01,8.8,55.3,2.8,12.3,3.9,27.1,4.0,84.0,13.3,7.9,7.8,7.3,7.0,7.3,6.3,39.8,3.5,32.6,19.2,3.0,1.8,4.3,27.4,31.8,52.6,44.2,3.2,65.7,34.3,99.6,65.8,87.8,67.4,69.2,7.4,0.3,4.421831065753045,19.37317568253365,0.6597595815125753,168.75,,,,,,,,,19.0,2.4,16.6,moderado
Guajira,2022,septiembre,2022-09-01,23.2,56.5,0.9,8.4,5.1,38.3,13.8,90.6,42.9,7.6,7.7,7.2,6.3,7.1,5.6,21.6,0.5,24.6,18.1,13.9,21.3,8.7,48.9,57.6,71.1,27.4,1.5,80.8,19.2,68.4,40.7,49.7,41.6,53.4,2.0,31.4,4.850779325616974,26.88744795777112,0.611991517410305,156.19,,,,,,,,,59.7,17.5,42.2,severo
Magdalena,2022,septiembre,2022-09-01,15.5,48.9,0.5,12.6,3.2,33.4,7.4,87.2,23.0,7.9,7.8,7.3,6.7,7.2,6.5,39.7,0.8,26.1,20.0,11.9,1.5,10.3,51.6,61.9,54.0,43.7,2.3,71.6,28.4,98.7,66.3,85.4,51.5,75.7,3.4,1.0,7.438902310751085,26.21350316400612,0.6678390233967342,151.84,,,,,,,,,45.3,10.4,34.9,severo
Meta,2022,septiembre,2022-09-01,6.5,44.1,2.1,10.7,4.1,27.5,8.3,74.8,11.3,8.1,7.7,7.2,7.3,7.3,6.7,32.2,3.0,46.4,12.4,4.1,1.9,9.2,19.0,28.2,46.8,48.9,4.2,43.2,56.8,98.6,68.7,82.8,77.4,85.6,5.2,1.3,10.61775999271334,25.68471375281541,0.671439044047265,162.06,,,,,,,,,25.5,4.1,21.4,moderado
Narino,2022,septiembre,2022-09-01,10.4,61.6,3.0,11.2,1.9,23.6,4.2,87.9,17.6,7.1,6.7,6.5,6.1,6.6,5.3,39.7,1.4,23.3,24.7,10.5,0.4,20.4,27.6,48.0,63.6,32.7,3.7,71.5,28.5,99.5,7.9,72.6,44.5,54.5,6.0,0.3,5.814874089991585,18.84106215071974,0.5621601021142218,156.13,,,,,,,,,37.1,7.4,29.7,severo
Norte De Santander,2022,septiembre,2022-09-01,8.7,47.9,2.1,9.3,4.8,27.8,16.9,86.7,18.5,8.1,7.9,7.5,7.5,7.6,6.8,32.9,2.5,41.4,18.7,3.3,1.1,6.8,27.1,33.9,41.0,54.4,4.6,52.3,47.7,99.3,60.9,86.2,83.5,85.2,9.0,0.5,8.880520095158754,21.13479227234047,0.7133953593058119,166.35,,,,,,,,,25.8,2.9,22.9,moderado
Putumayo,2022,septiembre,2022-09-01,8.5,57.4,4.3,11.2,4.5,23.8,10.4,92.3,20.8,7.5,7.2,6.6,6.3,6.6,5.7,31.7,0.9,35.4,23.1,6.4,2.4,41.4,25.3,66.7,43.6,54.0,2.4,71.6,28.4,87.9,13.2,54.4,54.6,63.7,0.5,10.5,9.356559116476417,24.34581418538826,0.7679861507905189,152.32,,,,,,,,,24.4,3.0,21.4,moderado
Quindio,2022,septiembre,2022-09-01,6.1,40.1,0.8,17.7,1.9,18.3,8.8,69.3,10.0,8.4,7.9,7.9,7.2,7.7,6.8,32.7,3.6,46.1,12.9,2.3,2.4,3.2,9.3,12.4,35.6,59.3,5.1,37.9,62.1,99.7,81.4,97.8,88.7,95.6,15.2,0.0,4.44044060433014,17.33418941164586,0.5454523664945516,159.23,,,,,,,,,17.3,2.2,15.1,moderado
Risaralda,2022,septiembre,2022-09-01,7.1,43.5,2.7,16.1,1.8,19.1,9.3,71.0,10.0,8.4,8.1,8.2,7.7,7.8,7.3,32.1,3.3,48.5,12.9,1.5,1.7,2.9,14.4,17.3,33.5,56.4,10.1,30.5,69.5,99.7,80.3,96.0,85.9,91.1,20.5,0.1,5.819929908147524,17.95399298361636,0.5972232947394932,158.39,,,,,,,,,17.5,2.5,15.0,moderado
Santander,2022,septiembre,2022-09-01,7.7,44.3,0.9,12.1,1.9,24.6,6.7,75.5,10.4,8.2,7.9,7.2,7.1,7.6,6.7,32.3,3.4,46.0,11.7,5.2,1.3,5.9,22.6,28.4,43.1,51.0,6.0,49.5,50.5,99.7,73.8,87.8,76.1,80.8,23.9,0.2,8.771735799921862,21.8002893104169,0.6837213969438827,160.42,,,,,,,,,20.5,2.5,18.0,moderado
